"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-22,1,NA,NA,NA,1,NA,NA,NA
2020-04-05,3,NA,NA,NA,3,NA,NA,NA
2020-04-19,4,NA,NA,NA,4,NA,NA,NA
2020-05-03,5,NA,NA,NA,5,NA,NA,NA
2020-05-24,6,NA,NA,NA,6,NA,NA,NA
2020-06-07,7,NA,NA,NA,7,NA,NA,NA
2020-06-28,8,NA,NA,NA,8,NA,NA,NA
2020-07-05,12,NA,NA,NA,12,NA,NA,NA
2020-07-19,13,NA,NA,NA,13,NA,NA,NA
2020-07-26,15,NA,NA,NA,15,NA,NA,NA
2020-08-02,19,NA,NA,NA,19,NA,NA,NA
2020-08-09,21,NA,NA,NA,21,NA,NA,NA
2020-08-23,27,NA,NA,NA,27,NA,NA,NA
2020-08-30,28,NA,NA,NA,28,NA,NA,NA
2020-09-06,29,NA,NA,NA,29,NA,NA,NA
2020-09-13,32,NA,NA,NA,32,NA,NA,NA
2020-09-20,34,NA,NA,NA,34,NA,NA,NA
2020-09-27,36,NA,NA,NA,36,NA,NA,NA
2020-10-04,41,NA,NA,NA,41,NA,NA,NA
2020-10-11,46,NA,NA,NA,46,NA,NA,NA
2020-10-18,48,NA,NA,NA,48,NA,NA,NA
2020-10-25,50,NA,NA,NA,50,NA,NA,NA
2020-11-08,52,NA,NA,NA,52,NA,NA,NA
2020-11-15,53,NA,NA,NA,53,NA,NA,NA
2020-11-22,55,NA,NA,NA,55,NA,NA,NA
2020-12-06,58,NA,NA,NA,58,NA,NA,NA
2020-12-13,59,NA,NA,NA,59,NA,NA,NA
2020-12-20,64,NA,NA,NA,64,NA,NA,NA
2020-12-27,69,NA,NA,NA,69,NA,NA,NA
2021-01-03,74,NA,NA,NA,74,NA,NA,NA
2021-01-10,79,NA,NA,NA,79,NA,NA,NA
2021-01-17,85,NA,NA,NA,85,NA,NA,NA
2021-01-24,92,NA,NA,NA,92,NA,NA,NA
2021-01-31,95,NA,NA,NA,95,NA,NA,NA
2021-02-07,107,NA,NA,NA,107,NA,NA,NA
2021-02-14,112,NA,NA,NA,112,NA,NA,NA
2021-02-21,120,NA,NA,NA,120,NA,NA,NA
2021-02-28,129,NA,NA,NA,129,NA,NA,NA
2021-03-07,141,NA,NA,NA,141,NA,NA,NA
2021-03-14,150,NA,NA,NA,150,NA,NA,NA
2021-03-21,162,NA,NA,NA,162,NA,NA,NA
2021-03-28,175,NA,NA,NA,175,NA,NA,NA
2021-04-04,190,NA,NA,NA,190,NA,NA,NA
2021-04-11,198,NA,NA,NA,198,NA,NA,NA
2021-04-18,214,NA,NA,NA,214,NA,NA,NA
2021-04-25,225,NA,NA,NA,225,NA,NA,NA
2021-05-02,233,NA,NA,NA,233,NA,NA,NA
2021-05-09,234,NA,NA,NA,234,NA,NA,NA
2021-05-16,239,NA,NA,NA,239,NA,NA,NA
2021-05-23,246,NA,NA,NA,246,NA,NA,NA
2021-05-30,264,NA,NA,NA,264,NA,NA,NA
2021-06-06,276,NA,NA,NA,276,NA,NA,NA
2021-06-13,284,NA,NA,NA,284,NA,NA,NA
2021-06-20,289,NA,NA,NA,289,NA,NA,NA
2021-06-27,291,NA,NA,NA,291,NA,NA,NA
2021-07-04,298,NA,NA,NA,298,NA,NA,NA
2021-07-11,300,NA,NA,NA,300,NA,NA,NA
2021-07-18,303,NA,NA,NA,303,NA,NA,NA
2021-07-25,308,NA,NA,NA,308,NA,NA,NA
2021-08-01,311,NA,NA,NA,311,NA,NA,NA
2021-08-08,315,NA,NA,NA,315,NA,NA,NA
2021-08-15,316,NA,NA,NA,316,NA,NA,NA
2021-08-22,318,NA,NA,NA,317,NA,NA,NA
2021-08-29,321,321,317,342,318,318,318,318
2021-09-05,NA,323,318,348,NA,318,318,318
