"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-07-26,1,NA,NA,NA,1,NA,NA,NA
2020-08-16,2,NA,NA,NA,2,NA,NA,NA
2020-08-23,3,NA,NA,NA,3,NA,NA,NA
2020-08-30,5,NA,NA,NA,5,NA,NA,NA
2020-09-06,6,NA,NA,NA,6,NA,NA,NA
2020-09-13,8,NA,NA,NA,8,NA,NA,NA
2020-09-20,9,NA,NA,NA,9,NA,NA,NA
2020-09-27,10,NA,NA,NA,10,NA,NA,NA
2020-10-11,13,NA,NA,NA,13,NA,NA,NA
2020-10-18,14,NA,NA,NA,14,NA,NA,NA
2020-10-25,16,NA,NA,NA,16,NA,NA,NA
2020-11-01,17,NA,NA,NA,17,NA,NA,NA
2020-12-20,18,NA,NA,NA,18,NA,NA,NA
2021-01-03,19,NA,NA,NA,19,NA,NA,NA
2021-01-10,20,NA,NA,NA,20,NA,NA,NA
2021-01-17,25,NA,NA,NA,25,NA,NA,NA
2021-01-31,28,NA,NA,NA,28,NA,NA,NA
2021-02-07,30,NA,NA,NA,30,NA,NA,NA
2021-02-14,35,NA,NA,NA,35,NA,NA,NA
2021-02-21,36,NA,NA,NA,36,NA,NA,NA
2021-02-28,39,NA,NA,NA,39,NA,NA,NA
2021-03-07,40,NA,NA,NA,40,NA,NA,NA
2021-03-14,41,NA,NA,NA,41,NA,NA,NA
2021-03-21,42,NA,NA,NA,42,NA,NA,NA
2021-03-28,45,NA,NA,NA,45,NA,NA,NA
2021-04-04,48,NA,NA,NA,48,NA,NA,NA
2021-04-11,53,NA,NA,NA,53,NA,NA,NA
2021-04-18,61,NA,NA,NA,61,NA,NA,NA
2021-04-25,63,NA,NA,NA,63,NA,NA,NA
2021-05-02,67,NA,NA,NA,67,NA,NA,NA
2021-05-09,70,NA,NA,NA,70,NA,NA,NA
2021-05-16,73,NA,NA,NA,73,NA,NA,NA
2021-05-23,78,NA,NA,NA,78,NA,NA,NA
2021-06-06,81,NA,NA,NA,81,NA,NA,NA
2021-06-13,83,NA,NA,NA,83,NA,NA,NA
2021-06-20,84,NA,NA,NA,84,NA,NA,NA
2021-06-27,86,NA,NA,NA,86,NA,NA,NA
2021-07-04,87,NA,NA,NA,87,NA,NA,NA
2021-07-11,89,NA,NA,NA,89,NA,NA,NA
2021-07-18,90,NA,NA,NA,90,NA,NA,NA
2021-07-25,93,NA,NA,NA,93,NA,NA,NA
2021-08-01,95,NA,NA,NA,95,NA,NA,NA
2021-08-08,97,NA,NA,NA,97,NA,NA,NA
2021-08-15,98,NA,NA,NA,98,NA,NA,NA
2021-08-22,100,NA,NA,NA,100,NA,NA,NA
2021-08-29,101,101,101,109,101,101,101,101
2021-09-05,NA,103,103,112,NA,101,101,102
