"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,3,NA,NA,NA,3,NA,NA,NA
2020-03-22,5,NA,NA,NA,5,NA,NA,NA
2020-03-29,8,NA,NA,NA,8,NA,NA,NA
2020-04-05,11,NA,NA,NA,11,NA,NA,NA
2020-04-19,12,NA,NA,NA,12,NA,NA,NA
2020-04-26,14,NA,NA,NA,14,NA,NA,NA
2020-05-03,16,NA,NA,NA,16,NA,NA,NA
2020-05-10,18,NA,NA,NA,18,NA,NA,NA
2020-05-24,21,NA,NA,NA,21,NA,NA,NA
2020-06-07,22,NA,NA,NA,22,NA,NA,NA
2020-06-14,24,NA,NA,NA,24,NA,NA,NA
2020-06-28,26,NA,NA,NA,26,NA,NA,NA
2020-07-05,31,NA,NA,NA,31,NA,NA,NA
2020-07-12,32,NA,NA,NA,32,NA,NA,NA
2020-07-19,35,NA,NA,NA,35,NA,NA,NA
2020-07-26,37,NA,NA,NA,37,NA,NA,NA
2020-08-02,42,NA,NA,NA,42,NA,NA,NA
2020-08-09,47,NA,NA,NA,47,NA,NA,NA
2020-08-16,48,NA,NA,NA,48,NA,NA,NA
2020-08-23,54,NA,NA,NA,54,NA,NA,NA
2020-08-30,58,NA,NA,NA,58,NA,NA,NA
2020-09-06,62,NA,NA,NA,62,NA,NA,NA
2020-09-13,66,NA,NA,NA,66,NA,NA,NA
2020-09-20,71,NA,NA,NA,71,NA,NA,NA
2020-09-27,75,NA,NA,NA,75,NA,NA,NA
2020-10-04,82,NA,NA,NA,82,NA,NA,NA
2020-10-11,88,NA,NA,NA,88,NA,NA,NA
2020-10-18,90,NA,NA,NA,90,NA,NA,NA
2020-10-25,94,NA,NA,NA,94,NA,NA,NA
2020-11-01,96,NA,NA,NA,96,NA,NA,NA
2020-11-08,100,NA,NA,NA,100,NA,NA,NA
2020-11-15,101,NA,NA,NA,101,NA,NA,NA
2020-11-22,104,NA,NA,NA,104,NA,NA,NA
2020-11-29,106,NA,NA,NA,106,NA,NA,NA
2020-12-06,111,NA,NA,NA,111,NA,NA,NA
2020-12-13,113,NA,NA,NA,113,NA,NA,NA
2020-12-20,119,NA,NA,NA,119,NA,NA,NA
2020-12-27,126,NA,NA,NA,126,NA,NA,NA
2021-01-03,132,NA,NA,NA,132,NA,NA,NA
2021-01-10,139,NA,NA,NA,139,NA,NA,NA
2021-01-17,145,NA,NA,NA,145,NA,NA,NA
2021-01-24,153,NA,NA,NA,153,NA,NA,NA
2021-01-31,157,NA,NA,NA,157,NA,NA,NA
2021-02-07,169,NA,NA,NA,169,NA,NA,NA
2021-02-14,175,NA,NA,NA,175,NA,NA,NA
2021-02-21,185,NA,NA,NA,185,NA,NA,NA
2021-02-28,198,NA,NA,NA,198,NA,NA,NA
2021-03-07,211,NA,NA,NA,211,NA,NA,NA
2021-03-14,222,NA,NA,NA,222,NA,NA,NA
2021-03-21,235,NA,NA,NA,235,NA,NA,NA
2021-03-28,249,NA,NA,NA,249,NA,NA,NA
2021-04-04,264,NA,NA,NA,264,NA,NA,NA
2021-04-11,272,NA,NA,NA,272,NA,NA,NA
2021-04-18,290,NA,NA,NA,290,NA,NA,NA
2021-04-25,301,NA,NA,NA,301,NA,NA,NA
2021-05-02,310,NA,NA,NA,310,NA,NA,NA
2021-05-09,311,NA,NA,NA,311,NA,NA,NA
2021-05-16,317,NA,NA,NA,317,NA,NA,NA
2021-05-23,324,NA,NA,NA,324,NA,NA,NA
2021-05-30,343,NA,NA,NA,343,NA,NA,NA
2021-06-06,358,NA,NA,NA,358,NA,NA,NA
2021-06-13,366,NA,NA,NA,366,NA,NA,NA
2021-06-20,372,NA,NA,NA,372,NA,NA,NA
2021-06-27,374,NA,NA,NA,374,NA,NA,NA
2021-07-04,382,NA,NA,NA,382,NA,NA,NA
2021-07-11,384,NA,NA,NA,384,NA,NA,NA
2021-07-18,388,NA,NA,NA,388,NA,NA,NA
2021-07-25,394,NA,NA,NA,394,NA,NA,NA
2021-08-01,397,NA,NA,NA,397,NA,NA,NA
2021-08-08,405,NA,NA,NA,405,NA,NA,NA
2021-08-15,408,NA,NA,NA,408,NA,NA,NA
2021-08-22,409,NA,NA,NA,409,NA,NA,NA
2021-08-29,412,NA,NA,NA,412,NA,NA,NA
2021-09-05,413,NA,NA,NA,413,NA,NA,NA
2021-09-12,413,NA,NA,NA,413,NA,NA,NA
2021-09-19,414,414,413,431,414,414,414,414
2021-09-26,NA,414,413,434,NA,414,414,414
