"dt_sin_pri","n.casos"
2020-04-05,1
2020-04-26,1
2020-05-03,2
2020-05-10,1
2020-05-31,1
2020-06-07,1
2020-06-14,2
2020-07-05,2
2020-07-12,1
2020-07-19,1
2020-08-02,3
2020-08-09,3
2020-08-16,6
2020-08-30,1
2020-10-11,2
2020-10-18,1
2020-10-25,3
2020-11-01,2
2020-11-08,4
2020-11-15,13
2020-11-22,9
2020-11-29,8
2020-12-06,6
2020-12-13,5
2020-12-20,2
2020-12-27,5
2021-01-03,7
2021-01-10,3
2021-01-17,2
2021-01-24,2
2021-01-31,2
2021-02-07,14
2021-02-14,10
2021-02-21,10
2021-02-28,14
2021-03-07,15
2021-03-14,22
2021-03-21,24
2021-03-28,15
2021-04-04,15
2021-04-11,24
2021-04-18,20
2021-04-25,19
2021-05-02,37
2021-05-09,43
2021-05-16,54
2021-05-23,58
2021-05-30,61
2021-06-06,36
2021-06-13,21
2021-06-20,16
2021-06-27,17
2021-07-04,12
2021-07-11,7
2021-07-18,5
2021-07-25,3
2021-08-01,3
2021-08-08,3
2021-08-15,1
2021-08-22,1
