"dt_notific","n.notific"
2020-03-29,4
2020-04-05,1
2020-04-26,1
2020-05-03,1
2020-05-10,1
2020-05-17,2
2020-05-24,1
2020-06-07,4
2020-06-14,1
2020-07-05,2
2020-07-12,2
2020-07-19,1
2020-07-26,1
2020-08-09,3
2020-08-16,1
2020-08-23,2
2020-09-06,3
2020-10-04,1
2020-10-11,2
2020-10-25,2
2020-11-01,1
2020-11-15,5
2020-11-22,11
2020-11-29,12
2020-12-06,11
2020-12-13,4
2020-12-20,6
2020-12-27,8
2021-01-03,5
2021-01-10,9
2021-01-17,1
2021-01-24,3
2021-01-31,3
2021-02-07,3
2021-02-14,10
2021-02-21,9
2021-02-28,8
2021-03-07,13
2021-03-14,19
2021-03-21,12
2021-03-28,18
2021-04-04,15
2021-04-11,12
2021-04-18,12
2021-04-25,14
2021-05-02,12
2021-05-09,19
2021-05-16,14
2021-05-23,24
2021-05-30,38
2021-06-06,26
2021-06-13,25
2021-06-20,19
2021-06-27,20
2021-07-04,14
2021-07-11,6
2021-07-18,3
2021-07-25,1
2021-08-01,3
2021-08-08,3
2021-08-22,3
2021-08-29,1
2021-09-05,2
