"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
2.16272347532737e-07,1.70569206499604,3.54075466715255,1.96256650301958,0.670942113938429,0.577786780969943,0.0197779338646033,3.36039637284947e-07,0.000317143918019756,0.00567187625616371,-17.4848515916844,-1.60415330479999,-0.873784349165619,-1.46387117941329,-2.53719665048241,-2.68667460582479,-6.06131265042944,-17.0441609522335,-10.194279123454,-7.31035954300712,2.13812423640253,0.949978955139551
3.61947687098066e-07,2.85460117703393,5.92571346719931,3.28449945010448,1.1228709961635,0.966968691992639,0.0330998275994951,5.62387059076746e-07,0.000530763682523462,0.00949230225613632,-17.4848515916844,-1.60415330479999,-0.873784349165619,-1.46387117941329,-2.53719665048241,-2.68667460582479,-6.06131265042944,-17.0441609522335,-10.194279123454,-7.31035954300712,2.65308544534229,3.05558681074214
2.465160880099e-07,1.94421774216282,4.03589732625026,2.23701375743574,0.764767327381777,0.658585059872174,0.0225436998342218,3.83031754844255e-07,0.000361493639377676,0.00646503708077644,-17.4848515916844,-1.60415330479999,-0.873784349165619,-1.46387117941329,-2.53719665048241,-2.68667460582479,-6.06131265042944,-17.0441609522335,-10.194279123454,-7.31035954300712,2.2690130118513,5.96964929467891
1.60301122078169e-07,1.26425941669361,2.62440831027717,1.45465481914856,0.497302475054278,0.428255717238171,0.0146594098924451,2.49072669409871e-07,0.000235067157215457,0.00420399620443359,-17.4848515916844,-1.60415330479999,-0.873784349165619,-1.46387117941329,-2.53719665048241,-2.68667460582479,-6.06131265042944,-17.0441609522335,-10.194279123454,-7.31035954300712,1.83863981419285,3.39158230198524
1.70746263548006e-07,1.34663793214466,2.79541345185125,1.54943940442661,0.529706457246672,0.45616064699679,0.0156146097575854,2.65302120798161e-07,0.000250384016387724,0.00447792650838088,-17.4848515916844,-1.60415330479999,-0.873784349165619,-1.46387117941329,-2.53719665048241,-2.68667460582479,-6.06131265042944,-17.0441609522335,-10.194279123454,-7.31035954300712,1.90176437036095,3.62524940995701
1.79015758911602e-07,1.41185760902024,2.93079948079893,1.6244810580759,0.555360928397292,0.478253185228729,0.016370848519779,2.7815109688879e-07,0.000262510486505501,0.00469479914576759,-17.4848515916844,-1.60415330479999,-0.873784349165619,-1.46387117941329,-2.53719665048241,-2.68667460582479,-6.06131265042944,-17.0441609522335,-10.194279123454,-7.31035954300712,1.94905959531591,3.15813275821538
1.52971313898422e-07,1.20645084434136,2.50440659568977,1.38814037025466,0.47456319723635,0.40867361938046,0.013989104774509,2.37683760424558e-07,0.000224318653715229,0.00401176744541184,-17.4848515916844,-1.60415330479999,-0.873784349165619,-1.46387117941329,-2.53719665048241,-2.68667460582479,-6.06131265042944,-17.0441609522335,-10.194279123454,-7.31035954300712,1.79183616769187,6.45778611302772
1.8046491236502e-07,1.42328676108085,2.95452464452026,1.63763142176252,0.559856639904333,0.482124700558978,0.0165033724484659,2.80402762468844e-07,0.000264635539519777,0.00473280409257539,-17.4848515916844,-1.60415330479999,-0.873784349165619,-1.46387117941329,-2.53719665048241,-2.68667460582479,-6.06131265042944,-17.0441609522335,-10.194279123454,-7.31035954300712,1.95712212228499,7.35395664032689
2.60907945041323e-07,3.38359770904347,4.28422251817338,3.6658641115955,0.737295346172649,1.31689133842183,0.0402600242791766,4.26074971225668e-07,0.000674600958997514,0.00822165858441012,-17.7571123720873,-1.37907462488799,-1.14307508633847,-1.29895009774178,-2.9027809052514,-2.32274026679465,-5.81041043496999,-17.2666646966274,-9.8994033930171,-7.39899749526744,2.59801417925884,7.98471611660743
1.37708842097352e-07,1.78588399276929,2.2612393891325,1.93486596206987,0.389149086238523,0.695063469046066,0.0212494921356978,2.24885029564187e-07,0.000356058597320972,0.00433944272413609,-17.7571123720873,-1.37907462488799,-1.14307508633847,-1.29895009774178,-2.9027809052514,-2.32274026679465,-5.81041043496999,-17.2666646966274,-9.8994033930171,-7.39899749526744,1.95898815157611,2.35892633901677
1.13224073731915e-07,1.46835205201283,1.85918878861572,1.59084487977831,0.319957993705513,0.571480496597291,0.0174713114110504,1.84900248820472e-07,0.000292751026455165,0.0035678855146111,-17.7571123720873,-1.37907462488799,-1.14307508633847,-1.29895009774178,-2.9027809052514,-2.32274026679465,-5.81041043496999,-17.2666646966274,-9.8994033930171,-7.39899749526744,1.76321534377614,2.27540041297087
1.09839240096979e-07,1.42445566805698,1.80360834058924,1.54328657278973,0.310392849622944,0.554396087400243,0.0169490065640212,1.79372655962459e-07,0.000283999234646704,0.00346122357870466,-17.7571123720873,-1.37907462488799,-1.14307508633847,-1.29895009774178,-2.9027809052514,-2.32274026679465,-5.81041043496999,-17.2666646966274,-9.8994033930171,-7.39899749526744,1.73286437830443,3.03927956119601
1.46731579345028e-07,1.9028958111549,2.409396679191,2.06163913741098,0.414646286721998,0.740604299657562,0.0226417671796737,2.39619584744449e-07,0.000379387696015535,0.00462376471032736,-17.7571123720873,-1.37907462488799,-1.14307508633847,-1.29895009774178,-2.9027809052514,-2.32274026679465,-5.81041043496999,-17.2666646966274,-9.8994033930171,-7.39899749526744,2.02245146191595,6.07307869884323
1.28475201773029e-07,1.66613706730651,2.10961897835539,1.80512951161815,0.363055898320167,0.648458138712881,0.0198246731882199,2.09806059719589e-07,0.00033218418975228,0.00404847481886284,-17.7571123720873,-1.37907462488799,-1.14307508633847,-1.29895009774178,-2.9027809052514,-2.32274026679465,-5.81041043496999,-17.2666646966274,-9.8994033930171,-7.39899749526744,1.88958243854161,2.64869741306313
4.49904072389505e-08,0.583460342070211,0.738762155228255,0.632133755977472,0.127137630379316,0.22708192192331,0.00694235235911775,7.34714554849254e-08,0.000116326744531593,0.00141772519742026,-17.7571123720873,-1.37907462488799,-1.14307508633847,-1.29895009774178,-2.9027809052514,-2.32274026679465,-5.81041043496999,-17.2666646966274,-9.8994033930171,-7.39899749526744,0.840295829718948,5.97062984663496
