"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-22,1,NA,NA,NA,1,NA,NA,NA
2020-03-29,7,NA,NA,NA,7,NA,NA,NA
2020-04-05,11,NA,NA,NA,11,NA,NA,NA
2020-04-12,12,NA,NA,NA,12,NA,NA,NA
2020-04-19,15,NA,NA,NA,15,NA,NA,NA
2020-04-26,17,NA,NA,NA,17,NA,NA,NA
2020-05-03,22,NA,NA,NA,22,NA,NA,NA
2020-05-10,26,NA,NA,NA,26,NA,NA,NA
2020-05-17,28,NA,NA,NA,28,NA,NA,NA
2020-05-24,29,NA,NA,NA,29,NA,NA,NA
2020-05-31,33,NA,NA,NA,33,NA,NA,NA
2020-06-07,41,NA,NA,NA,41,NA,NA,NA
2020-06-14,43,NA,NA,NA,43,NA,NA,NA
2020-06-21,46,NA,NA,NA,46,NA,NA,NA
2020-06-28,49,NA,NA,NA,49,NA,NA,NA
2020-07-05,52,NA,NA,NA,52,NA,NA,NA
2020-07-12,55,NA,NA,NA,55,NA,NA,NA
2020-07-19,62,NA,NA,NA,62,NA,NA,NA
2020-07-26,65,NA,NA,NA,65,NA,NA,NA
2020-08-02,76,NA,NA,NA,76,NA,NA,NA
2020-08-09,84,NA,NA,NA,84,NA,NA,NA
2020-08-16,92,NA,NA,NA,92,NA,NA,NA
2020-08-23,94,NA,NA,NA,94,NA,NA,NA
2020-08-30,98,NA,NA,NA,98,NA,NA,NA
2020-09-06,102,NA,NA,NA,102,NA,NA,NA
2020-09-13,106,NA,NA,NA,106,NA,NA,NA
2020-09-20,111,NA,NA,NA,111,NA,NA,NA
2020-09-27,113,NA,NA,NA,113,NA,NA,NA
2020-10-04,118,NA,NA,NA,118,NA,NA,NA
2020-10-11,125,NA,NA,NA,125,NA,NA,NA
2020-10-18,132,NA,NA,NA,132,NA,NA,NA
2020-10-25,144,NA,NA,NA,144,NA,NA,NA
2020-11-01,150,NA,NA,NA,150,NA,NA,NA
2020-11-08,157,NA,NA,NA,157,NA,NA,NA
2020-11-15,175,NA,NA,NA,175,NA,NA,NA
2020-11-22,187,NA,NA,NA,187,NA,NA,NA
2020-11-29,196,NA,NA,NA,196,NA,NA,NA
2020-12-06,204,NA,NA,NA,204,NA,NA,NA
2020-12-13,214,NA,NA,NA,214,NA,NA,NA
2020-12-20,219,NA,NA,NA,219,NA,NA,NA
2020-12-27,228,NA,NA,NA,228,NA,NA,NA
2021-01-03,238,NA,NA,NA,238,NA,NA,NA
2021-01-10,246,NA,NA,NA,246,NA,NA,NA
2021-01-17,253,NA,NA,NA,253,NA,NA,NA
2021-01-24,260,NA,NA,NA,260,NA,NA,NA
2021-01-31,264,NA,NA,NA,264,NA,NA,NA
2021-02-07,281,NA,NA,NA,281,NA,NA,NA
2021-02-14,295,NA,NA,NA,295,NA,NA,NA
2021-02-21,310,NA,NA,NA,310,NA,NA,NA
2021-02-28,327,NA,NA,NA,327,NA,NA,NA
2021-03-07,346,NA,NA,NA,346,NA,NA,NA
2021-03-14,371,NA,NA,NA,371,NA,NA,NA
2021-03-21,401,NA,NA,NA,401,NA,NA,NA
2021-03-28,418,NA,NA,NA,418,NA,NA,NA
2021-04-04,438,NA,NA,NA,438,NA,NA,NA
2021-04-11,466,NA,NA,NA,466,NA,NA,NA
2021-04-18,490,NA,NA,NA,490,NA,NA,NA
2021-04-25,514,NA,NA,NA,514,NA,NA,NA
2021-05-02,554,NA,NA,NA,554,NA,NA,NA
2021-05-09,602,NA,NA,NA,602,NA,NA,NA
2021-05-16,662,NA,NA,NA,662,NA,NA,NA
2021-05-23,725,NA,NA,NA,725,NA,NA,NA
2021-05-30,789,NA,NA,NA,789,NA,NA,NA
2021-06-06,828,NA,NA,NA,828,NA,NA,NA
2021-06-13,851,NA,NA,NA,851,NA,NA,NA
2021-06-20,869,NA,NA,NA,869,NA,NA,NA
2021-06-27,892,NA,NA,NA,892,NA,NA,NA
2021-07-04,909,NA,NA,NA,909,NA,NA,NA
2021-07-11,920,NA,NA,NA,920,NA,NA,NA
2021-07-18,935,NA,NA,NA,935,NA,NA,NA
2021-07-25,941,NA,NA,NA,941,NA,NA,NA
2021-08-01,948,NA,NA,NA,948,NA,NA,NA
2021-08-08,954,NA,NA,NA,954,NA,NA,NA
2021-08-15,963,NA,NA,NA,962,NA,NA,NA
2021-08-22,973,NA,NA,NA,971,NA,NA,NA
2021-08-29,983,NA,NA,NA,980,NA,NA,NA
2021-09-05,987,NA,NA,NA,987,NA,NA,NA
2021-09-12,987,NA,NA,NA,987,NA,NA,NA
2021-09-19,989,989,984,1012,988,988,988,988
2021-09-26,NA,990,984,1017,NA,988,988,989
