"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-29,1,NA,1,NA,NA,NA
2020-04-05,3,NA,3,NA,NA,NA
2020-04-19,1,NA,1,NA,NA,NA
2020-04-26,1,NA,1,NA,NA,NA
2020-05-10,1,NA,1,NA,NA,NA
2020-05-24,4,NA,4,NA,NA,NA
2020-06-07,2,NA,2,NA,NA,NA
2020-07-05,1,NA,1,NA,NA,NA
2020-07-12,3,NA,3,NA,NA,NA
2020-07-19,2,NA,2,NA,NA,NA
2020-07-26,1,NA,1,NA,NA,NA
2020-08-02,2,NA,2,NA,NA,NA
2020-08-16,2,NA,2,NA,NA,NA
2020-08-23,1,NA,1,NA,NA,NA
2020-08-30,1,NA,1,NA,NA,NA
2020-09-06,2,NA,2,NA,NA,NA
2020-09-13,2,NA,2,NA,NA,NA
2020-10-04,1,NA,1,NA,NA,NA
2020-10-11,1,NA,1,NA,NA,NA
2020-11-01,3,NA,3,NA,NA,NA
2020-11-15,1,NA,1,NA,NA,NA
2020-11-22,9,NA,9,NA,NA,NA
2020-11-29,11,NA,11,NA,NA,NA
2020-12-06,12,NA,12,NA,NA,NA
2020-12-13,6,NA,6,NA,NA,NA
2020-12-20,7,NA,7,NA,NA,NA
2020-12-27,8,NA,8,NA,NA,NA
2021-01-03,5,NA,5,NA,NA,NA
2021-01-10,7,NA,7,NA,NA,NA
2021-01-17,4,NA,4,NA,NA,NA
2021-01-24,6,NA,6,NA,NA,NA
2021-01-31,3,NA,3,NA,NA,NA
2021-02-14,5,NA,5,NA,NA,NA
2021-02-21,10,NA,10,NA,NA,NA
2021-02-28,11,NA,11,NA,NA,NA
2021-03-07,8,NA,8,NA,NA,NA
2021-03-14,11,NA,11,NA,NA,NA
2021-03-21,16,NA,16,NA,NA,NA
2021-03-28,18,NA,18,NA,NA,NA
2021-04-04,15,NA,15,NA,NA,NA
2021-04-11,15,NA,15,NA,NA,NA
2021-04-18,8,NA,8,NA,NA,NA
2021-04-25,10,NA,10,NA,NA,NA
2021-05-02,15,NA,15,NA,NA,NA
2021-05-09,17,NA,17,NA,NA,NA
2021-05-16,19,NA,19,NA,NA,NA
2021-05-23,19,NA,19,NA,NA,NA
2021-05-30,22,NA,22,NA,NA,NA
2021-06-06,28,NA,28,NA,NA,NA
2021-06-13,27,NA,27,NA,NA,NA
2021-06-20,17,NA,17,NA,NA,NA
2021-06-27,23,NA,23,NA,NA,NA
2021-07-04,NA,20,20,NA,20,22
2021-07-11,NA,14,14,NA,14,15
2021-07-18,NA,8,8,NA,8,9
2021-07-25,NA,6,6,NA,6,7
2021-08-01,NA,1,1,NA,1,2
2021-08-08,NA,4,4,NA,4,6
2021-08-15,NA,2,2,NA,2,4
2021-08-22,NA,3,3,NA,3,5
2021-08-29,NA,1,1,NA,0,5
