"dt_sin_pri","n.casos"
2020-02-02,1
2020-02-09,1
2020-03-22,12
2020-03-29,14
2020-04-05,4
2020-04-12,6
2020-04-19,6
2020-04-26,7
2020-05-03,6
2020-05-10,3
2020-05-17,6
2020-05-24,3
2020-05-31,10
2020-06-07,10
2020-06-14,12
2020-06-21,13
2020-06-28,17
2020-07-05,12
2020-07-12,12
2020-07-19,18
2020-07-26,21
2020-08-02,18
2020-08-09,17
2020-08-16,30
2020-08-23,16
2020-08-30,18
2020-09-06,16
2020-09-13,18
2020-09-20,15
2020-09-27,23
2020-10-04,15
2020-10-11,8
2020-10-18,6
2020-10-25,6
2020-11-01,5
2020-11-08,6
2020-11-15,9
2020-11-22,4
2020-11-29,10
2020-12-06,6
2020-12-13,7
2020-12-20,13
2020-12-27,16
2021-01-03,13
2021-01-10,15
2021-01-17,16
2021-01-24,10
2021-01-31,18
2021-02-07,16
2021-02-14,7
2021-02-21,20
2021-02-28,29
2021-03-07,46
2021-03-14,49
2021-03-21,51
2021-03-28,34
2021-04-04,33
2021-04-11,33
2021-04-18,41
2021-04-25,31
2021-05-02,25
2021-05-09,26
2021-05-16,39
2021-05-23,34
2021-05-30,26
2021-06-06,26
2021-06-13,25
2021-06-20,14
2021-06-27,6
2021-07-04,6
2021-07-11,9
2021-07-18,8
2021-07-25,3
2021-08-01,7
2021-08-08,11
2021-08-15,4
2021-08-22,3
2021-08-29,2
2021-09-05,1
2021-09-12,3
2021-09-19,1
2021-09-26,2
2021-10-03,1
2021-10-17,2
