"dt_notific","n.notific"
2020-03-29,3
2020-04-05,4
2020-04-26,2
2020-05-10,1
2020-06-07,2
2020-06-14,1
2020-06-21,1
2020-06-28,3
2020-07-05,3
2020-07-12,5
2020-07-19,2
2020-07-26,3
2020-08-02,4
2020-08-09,3
2020-08-16,2
2020-08-23,6
2020-08-30,9
2020-09-06,7
2020-09-13,2
2020-09-20,1
2020-09-27,3
2020-10-04,1
2020-10-11,1
2020-10-18,2
2020-11-01,2
2020-11-08,1
2020-11-15,1
2020-11-22,1
2020-12-20,1
2020-12-27,1
2021-01-03,1
2021-01-10,3
2021-01-17,1
2021-01-31,1
2021-02-07,2
2021-02-14,1
2021-02-21,1
2021-02-28,2
2021-03-07,5
2021-03-14,6
2021-03-21,4
2021-03-28,5
2021-04-04,5
2021-04-11,9
2021-04-18,2
2021-04-25,2
2021-05-02,2
2021-05-09,3
2021-05-23,2
2021-05-30,2
2021-06-06,2
2021-06-13,3
2021-06-20,2
2021-06-27,1
2021-07-11,1
2021-07-18,1
2021-08-15,1
