"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.015996987557602,0.458547734060841,0.391448492166493,1.48895258112647e-05,0.0254161874973044,6.3043450439529e-05,0.1173044986151,0.00176501736892686,0.00468535327260478,7.04035875629632e-10,-4.15048206099253,-0.794818092394485,-0.953028546427992,-11.1299797667699,-3.68749621377934,-9.68681358865676,-2.15810938156705,-6.35472195676737,-5.37844116997003,-21.0893190102416,0.0151272088738321,7.78623135231349
0.0138770414433839,0.397780262466238,0.339573118325214,1.2916342280773e-05,0.0220479940965697,5.46888325900784e-05,0.101759120766681,0.00153111447319035,0.00406444284004791,6.10735926908855e-10,-4.15048206099253,-0.794818092394485,-0.953028546427992,-11.1299797667699,-3.68749621377934,-9.68681358865676,-2.15810938156705,-6.35472195676737,-5.37844116997003,-21.0893190102416,-0.127037438125131,7.16073462067576
0.0199383913554988,0.571526616743384,0.48789518678012,1.85580686147199e-05,0.0316783326398959,7.85763558756405e-05,0.146206464981401,0.00219988963073195,0.00583974994364285,8.77499139514191e-10,-4.15048206099253,-0.794818092394485,-0.953028546427992,-11.1299797667699,-3.68749621377934,-9.68681358865676,-2.15810938156705,-6.35472195676737,-5.37844116997003,-21.0893190102416,0.23537386904194,4.1110601809148
0.0141150492679227,1.53097812304125,0.879686754213067,2.929800118672e-05,0.105786134679154,0.000142613422944963,0.141413401164962,0.00872975514235893,0.00792547837420495,2.42993440322246e-09,-5.24961118249077,-0.563190628426617,-1.11728685167425,-11.4270887188252,-3.23543327600159,-9.84447038003885,-2.94516521082588,-5.73011541303738,-5.82677005403849,-20.8244990301906,0.98909745567365,1.61008396047861
0.0525130480667405,2.185901081291,1.49603629747818,4.56720164560722e-05,0.152790084942611,0.000144237253801435,1.06520802655222,0.0405923378278847,0.0101577526970333,1.32735546158372e-08,-4.55680899883167,-0.828087255452121,-1.20729625089397,-11.6041401721646,-3.48880568664623,-10.4541664115141,-1.54694528298916,-4.81429134680816,-6.19963344570716,-19.7476075490813,1.61011539317209,4.620983489194
0.0568133535061725,2.36490501756964,1.61854704984313,4.94121082623269e-05,0.165302099719108,0.000156048875292207,1.15243815390814,0.0439164535969534,0.0109895733736762,1.43605290196566e-08,-4.55680899883167,-0.828087255452121,-1.20729625089397,-11.6041401721646,-3.48880568664623,-10.4541664115141,-1.54694528298916,-4.81429134680816,-6.19963344570716,-19.7476075490813,1.68882511488534,4.15796239909985
0.0333493033841809,1.38819362066231,0.950083268732325,2.90047900290431e-05,0.0970319393833308,9.16003186524561e-05,0.676478455404191,0.0257788538112432,0.00645085343292797,8.4295963796932e-09,-4.55680899883167,-0.828087255452121,-1.20729625089397,-11.6041401721646,-3.48880568664623,-10.4541664115141,-1.54694528298916,-4.81429134680816,-6.19963344570716,-19.7476075490813,1.15609060396245,10.1158699148557
0.0222460587392258,0.926011451301287,0.633764608510548,1.93479982256862e-05,0.0647263362066652,6.11031074862251e-05,0.451253187551761,0.0171960982065627,0.00430312030011167,5.62306486736307e-09,-4.55680899883167,-0.828087255452121,-1.20729625089397,-11.6041401721646,-3.48880568664623,-10.4541664115141,-1.54694528298916,-4.81429134680816,-6.19963344570716,-19.7476075490813,0.751218577455777,14.6033701603615
0.0285469856650957,1.18829298869919,0.813270764330693,2.48280845821494e-05,0.0830592876475586,7.84098232387738e-05,0.57906519205825,0.0220666849239565,0.00552192705064958,7.21572994318648e-09,-4.55680899883167,-0.828087255452121,-1.20729625089397,-11.6041401721646,-3.48880568664623,-10.4541664115141,-1.54694528298916,-4.81429134680816,-6.19963344570716,-19.7476075490813,1.00060506947017,18.3472639813624
0.0282004453915709,1.17386794984702,0.803398230802032,2.45266891450573e-05,0.0820510064721716,7.74579832823255e-05,0.572035749006057,0.021798810931268,0.00545489475053337,7.12813607049085e-09,-4.55680899883167,-0.828087255452121,-1.20729625089397,-11.6041401721646,-3.48880568664623,-10.4541664115141,-1.54694528298916,-4.81429134680816,-6.19963344570716,-19.7476075490813,0.988391491696219,19.1378738842266
