"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.676466524576397,0.669394300992085,2.64649488217436e-10,0.0129573014625512,0.00102212472823011,7.97799828517302e-06,0.000409484802177198,4.04612061578082e-08,0.229659498788943,5.8084893056198e-08,-1.74213772001727,-1.75264740801152,-23.4038802555997,-5.69736123438534,-8.23713715553358,-13.0900884235898,-9.15187617264453,-18.3741875986981,-2.82242291120543,-18.0126256273074,1.35126540416428,14.2958432290655
0.6993871171252,0.692075266672003,2.73616558822266e-10,0.0133963313576981,0.0010567571949948,8.24831535395038e-06,0.000423359301453431,4.18321458668454e-08,0.237441009928759,6.00529729516747e-08,-1.74213772001727,-1.75264740801152,-23.4038802555997,-5.69736123438534,-8.23713715553358,-13.0900884235898,-9.15187617264453,-18.3741875986981,-2.82242291120543,-18.0126256273074,1.38458684559942,71.284259294155
0.475630731861424,0.470658177038552,1.86077840062275e-10,0.00911041500751504,0.000718666652198607,5.60941454648061e-06,0.000287913073403938,2.84486998213033e-08,0.161476010296762,4.08400995329546e-08,-1.74213772001727,-1.75264740801152,-23.4038802555997,-5.69736123438534,-8.23713715553358,-13.0900884235898,-9.15187617264453,-18.3741875986981,-2.82242291120543,-18.0126256273074,0.99902422079828,148.878730281996
0.495572942085875,0.490391898351359,1.93879698008063e-10,0.00949239581561134,0.000748798854555167,5.84460566561672e-06,0.000299984671497945,2.96414948079276e-08,0.168246364539729,4.25524402122171e-08,-1.74213772001727,-1.75264740801152,-23.4038802555997,-5.69736123438534,-8.23713715553358,-13.0900884235898,-9.15187617264453,-18.3741875986981,-2.82242291120543,-18.0126256273074,1.04009699302421,55.7502780240384
0.436203900427828,0.431643539493329,1.70653143670284e-10,0.0083552182283127,0.000659093653535778,5.14442894536162e-06,0.000264046869115161,2.60904794263136e-08,0.148090652681991,3.7454709119439e-08,-1.74213772001727,-1.75264740801152,-23.4038802555997,-5.69736123438534,-8.23713715553358,-13.0900884235898,-9.15187617264453,-18.3741875986981,-2.82242291120543,-18.0126256273074,0.912492236596309,58.1339198785225
0.493866564693986,0.488703360545017,1.93212123357932e-10,0.00945971120303656,0.000746220559156094,5.8244812759954e-06,0.000298951751784445,2.9539431978611e-08,0.167667051650874,4.24059218780195e-08,-1.74213772001727,-1.75264740801152,-23.4038802555997,-5.69736123438534,-8.23713715553358,-13.0900884235898,-9.15187617264453,-18.3741875986981,-2.82242291120543,-18.0126256273074,1.03664780978076,102.212906597751
0.522563565794484,0.691333127060139,2.97109631681642e-10,0.00922214116834501,0.000991607553926339,5.22620475003892e-06,0.000575684057639203,2.33324711429303e-08,0.157120847861853,3.72043916783801e-08,-1.94010945690096,-1.66023428861202,-23.2280207263775,-5.97724884891613,-8.20728395129652,-13.4529260239025,-8.75105237017975,-18.8645206466462,-3.14184084950222,-18.397939838146,1.29110081138111,199.801588585442
0.551893806908807,0.730135999350258,3.13785683563218e-10,0.00973975785990795,0.00104726411047028,5.51953910295808e-06,0.000607995824707307,2.46420668537884e-08,0.165939664659515,3.92925850578393e-08,-1.94010945690096,-1.66023428861202,-23.2280207263775,-5.97724884891613,-8.20728395129652,-13.4529260239025,-8.75105237017975,-18.8645206466462,-3.14184084950222,-18.397939838146,1.34570982690035,195.09846173485
0.498353657001257,0.659304273448012,2.83344804672192e-10,0.00879488750739668,0.000945667251137082,4.9840792965722e-06,0.000549013123342491,2.22514983479133e-08,0.149841577653899,3.54807450481913e-08,-1.94010945690096,-1.66023428861202,-23.2280207263775,-5.97724884891613,-8.20728395129652,-13.4529260239025,-8.75105237017975,-18.8645206466462,-3.14184084950222,-18.397939838146,1.243664157524,290.333028431584
0.510901421236864,0.675904522019546,2.90478982893749e-10,0.00901632899452361,0.000969477670797698,5.10957060393266e-06,0.000562836413564556,2.28117562114528e-08,0.153614353799269,3.63740946153388e-08,-1.94010945690096,-1.66023428861202,-23.2280207263775,-5.97724884891613,-8.20728395129652,-13.4529260239025,-8.75105237017975,-18.8645206466462,-3.14184084950222,-18.397939838146,1.26853083608154,398.503173447064
0.579591380030312,0.336286176143613,3.36859023792544e-10,0.0442938788307716,0.00220483706838155,5.32633581747691e-06,0.00137880700657562,5.20351962354195e-08,0.282698575774224,7.32427888565094e-08,-1.89355708115233,-2.43791790704164,-23.1594817403571,-4.46503392708844,-7.4652268049366,-13.4909721603189,-7.93466178191962,-18.1194706368766,-2.61149919246846,-17.7776111797729,1.34812514023268,127.762213664441
0.547205916992205,0.162139383722266,7.00261152832298e-10,0.0307248838994941,0.000882550569553136,6.85736173470728e-06,0.00106993196698012,3.95722179182293e-08,0.293128953775567,4.23594075531199e-08,-1.98423496713378,-3.20060378794689,-22.4608726426041,-4.86398726985376,-8.41399933580704,-13.2714926445946,-8.2214650824096,-18.4264434002395,-2.60844751913069,-18.3583801699274,1.38130486761827,148.658082360859
0.637768299383851,0.188973393394736,8.16154121690157e-10,0.0358098411308403,0.00102861237129527,7.99225263469958e-06,0.00124700532258143,4.61214057466338e-08,0.341641690165192,4.93698742633398e-08,-1.98423496713378,-3.20060378794689,-22.4608726426041,-4.86398726985376,-8.41399933580704,-13.2714926445946,-8.2214650824096,-18.4264434002395,-2.60844751913069,-18.3583801699274,1.53445473842533,107.00509345638
0.591345830503438,0.175218223245062,7.56747140577444e-10,0.0332032812922359,0.000953740782596685,7.41050515747756e-06,0.0011562371457417,4.27642782050761e-08,0.316773958819393,4.57762941907115e-08,-1.98423496713378,-3.20060378794689,-22.4608726426041,-4.86398726985376,-8.41399933580704,-13.2714926445946,-8.2214650824096,-18.4264434002395,-2.60844751913069,-18.3583801699274,1.45888069601379,68.4550566366427
0.668276996152394,0.198013246836766,8.55196198003918e-10,0.0375228638468424,0.00107781773781872,8.37457519975214e-06,0.00130665787554173,4.83276991353494e-08,0.35798468297122,5.17315634925733e-08,-1.98423496713378,-3.20060378794689,-22.4608726426041,-4.86398726985376,-8.41399933580704,-13.2714926445946,-8.2214650824096,-18.4264434002395,-2.60844751913069,-18.3583801699274,1.58118244063735,53.2241444670127
0.792186831736987,0.234728245258647,1.01376400880294e-09,0.0444802361889917,0.00127766333994508,9.92736280439306e-06,0.00154893430201739,5.72884703253204e-08,0.424361085966021,6.13234685915135e-08,-1.98423496713378,-3.20060378794689,-22.4608726426041,-4.86398726985376,-8.41399933580704,-13.2714926445946,-8.2214650824096,-18.4264434002395,-2.60844751913069,-18.3583801699274,1.75127695080417,51.411187525733
0.524251133535419,0.155337786137906,6.70885843415289e-10,0.0294360033615708,0.000845528387254542,6.56970173539609e-06,0.00102504930790633,3.79121998792967e-08,0.280832464556632,4.05824694800007e-08,-1.98423496713378,-3.20060378794689,-22.4608726426041,-4.86398726985376,-8.41399933580704,-13.2714926445946,-8.2214650824096,-18.4264434002395,-2.60844751913069,-18.3583801699274,1.33845052013528,62.256159892224
0.516410869997783,0.153014683520157,6.60852633223497e-10,0.0289957829994457,0.000832883368559165,6.47145074522309e-06,0.00100971952376479,3.73452165781054e-08,0.276632567997134,3.99755518495405e-08,-1.98423496713378,-3.20060378794689,-22.4608726426041,-4.86398726985376,-8.41399933580704,-13.2714926445946,-8.2214650824096,-18.4264434002395,-2.60844751913069,-18.3583801699274,1.32338239647227,32.0640079159865
0.506953910770192,0.150212547261331,6.48750532413987e-10,0.0284647873261768,0.000817630893223321,6.35293998296667e-06,0.000991228672928154,3.66613189085498e-08,0.271566634902845,3.92434852221608e-08,-1.98423496713378,-3.20060378794689,-22.4608726426041,-4.86398726985376,-8.41399933580704,-13.2714926445946,-8.2214650824096,-18.4264434002395,-2.60844751913069,-18.3583801699274,1.30489978183193,66.8856268094653
0.525119494329393,0.155595085044244,6.71997087485901e-10,0.0294847606643506,0.000846928906308706,6.58058367927792e-06,0.00102674718240567,3.79749970119733e-08,0.28129763074569,4.06496896025044e-08,-1.98423496713378,-3.20060378794689,-22.4608726426041,-4.86398726985376,-8.41399933580704,-13.2714926445946,-8.2214650824096,-18.4264434002395,-2.60844751913069,-18.3583801699274,1.3401055330909,138.339397188614
0.522345832197064,0.154773237445699,6.68447623231151e-10,0.0293290232274079,0.000842455458528591,6.54582527484438e-06,0.00102132394101001,3.7774414454432e-08,0.279811826857739,4.04349794156633e-08,-1.98423496713378,-3.20060378794689,-22.4608726426041,-4.86398726985376,-8.41399933580704,-13.2714926445946,-8.2214650824096,-18.4264434002395,-2.60844751913069,-18.3583801699274,1.33480957045638,198.44750916945
0.527163802098076,0.156200821918536,6.74613194641159e-10,0.0295995458245566,0.00085022602889011,6.60620211181239e-06,0.00103074434355495,3.81228349464733e-08,0.282392731838023,4.0807940204789e-08,-1.98423496713378,-3.20060378794689,-22.4608726426041,-4.86398726985376,-8.41399933580704,-13.2714926445946,-8.2214650824096,-18.4264434002395,-2.60844751913069,-18.3583801699274,1.34399100831895,231.349717708492
0.506248345580797,0.150003485368116,6.47847618396463e-10,0.0284251707799105,0.000816492935938099,6.34409812731259e-06,0.000989849106795039,3.66102946440759e-08,0.271188675565481,3.91888671661698e-08,-1.98423496713378,-3.20060378794689,-22.4608726426041,-4.86398726985376,-8.41399933580704,-13.2714926445946,-8.2214650824096,-18.4264434002395,-2.60844751913069,-18.3583801699274,1.3035070385785,161.911082324018
0.527411595979269,0.156274244273703,6.74930297259243e-10,0.0296134591211681,0.000850625678499495,6.60930736383221e-06,0.00103122884598169,3.8140754623803e-08,0.282525470828758,4.08271220185755e-08,-1.98423496713378,-3.20060378794689,-22.4608726426041,-4.86398726985376,-8.41399933580704,-13.2714926445946,-8.2214650824096,-18.4264434002395,-2.60844751913069,-18.3583801699274,1.34446094889637,571.009747814888
0.318668653676487,0.280934702909472,9.6605292461598e-10,0.0143712753072387,0.000445858004202298,8.56776654445085e-06,0.000850502346002703,9.2085779505996e-09,0.229633907051774,2.11621726545875e-08,-2.52150856907658,-2.64753816048381,-22.1357076456744,-5.62042898477969,-9.09341518270947,-13.0454086224145,-8.44758853759632,-19.8810355512032,-2.849174096488,-19.0489557076341,1.37790514984476,540.6721817707
0.37165872192526,0.178761862409287,6.43439104855303e-10,0.0208244642014162,0.000486614408705057,1.22714134128226e-05,0.000734145800982158,6.82216410220189e-09,0.178341102509032,1.91812336033173e-08,-2.40736736457067,-3.13928884108141,-22.58178182912,-5.28921492448402,-9.04562662166908,-12.7258262179069,-8.63439101473592,-20.2206772029874,-3.14164536083231,-19.1869215569899,1.41758810460033,390.321583779762
