"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.0416301382254498,0.936213380884636,1.13949866129937,0.0589920467830041,0.0570790342344538,0.0492540534109564,0.000506042306912408,0.0331397021425143,0.0142772237770431,0.000217596639038629,-4.02514583441534,-0.912126794422657,-0.715626542078418,-3.67656758141812,-3.70953334299241,-3.85697854895745,-8.4351052186404,-4.2532381918455,-5.09530469131102,-9.27908242566356,0.846214936967259,20.2477204265748
0.0493581595103931,1.11000758967499,1.35102978476084,0.0699430503735405,0.0676749152545702,0.0583973421280933,0.00059998159910794,0.0392915991683442,0.0169275798397918,0.000257990246403465,-4.02514583441534,-0.912126794422657,-0.715626542078418,-3.67656758141812,-3.70953334299241,-3.85697854895745,-8.4351052186404,-4.2532381918455,-5.09530469131102,-9.27908242566356,1.01649364726856,6.41884672526091
0.0399089747954663,0.897506417551646,1.0923870371745,0.056553069688263,0.0547191490519671,0.0472176855504826,0.000485120408744181,0.0317695687286077,0.0136869438381762,0.000208600287031044,-4.02514583441534,-0.912126794422657,-0.715626542078418,-3.67656758141812,-3.70953334299241,-3.85697854895745,-8.4351052186404,-4.2532381918455,-5.09530469131102,-9.27908242566356,0.803991786252761,12.1749645033144
0.0570191068783483,1.28229338409851,1.56072496335463,0.0807990067742874,0.0781788313049028,0.0674612733789658,0.000693105562766668,0.0453901019532403,0.0195549326322353,0.000298033264999541,-4.02514583441534,-0.912126794422657,-0.715626542078418,-3.67656758141812,-3.70953334299241,-3.85697854895745,-8.4351052186404,-4.2532381918455,-5.09530469131102,-9.27908242566356,1.16077697549004,17.6368568932263
0.0524371881653936,1.17925136233142,1.43530884747917,0.07430619232321,0.071896567872101,0.0620402472034013,0.000637409261615035,0.0417426621929825,0.0179835451331401,0.000274084026424166,-4.02514583441534,-0.912126794422657,-0.715626542078418,-3.67656758141812,-3.70953334299241,-3.85697854895745,-8.4351052186404,-4.2532381918455,-5.09530469131102,-9.27908242566356,1.07700659285665,13.6552204305234
0.0610316069908778,1.3725298439394,1.67055497357295,0.0864849257850113,0.0836803655551256,0.0722086007547173,0.000741880198162652,0.0485842556179702,0.0209310357261465,0.000319006208541073,-4.02514583441534,-0.912126794422657,-0.715626542078418,-3.67656758141812,-3.70953334299241,-3.85697854895745,-8.4351052186404,-4.2532381918455,-5.09530469131102,-9.27908242566356,1.22878243280594,2.61200254421083
0.111222379429087,2.50126192979303,3.04437500974945,0.157607831496141,0.152496875429283,0.131591035975589,0.00135198276695067,0.0885386569196727,0.0381441635270263,0.000581348440847917,-4.02514583441534,-0.912126794422657,-0.715626542078418,-3.67656758141812,-3.70953334299241,-3.85697854895745,-8.4351052186404,-4.2532381918455,-5.09530469131102,-9.27908242566356,1.82892217085954,2.41838811042558
0.13917081074803,3.12978963810447,3.80937847673012,0.197212195982031,0.190816937193528,0.164657789717333,0.00169171473187062,0.110787026219924,0.0477291907492981,0.000727432143200034,-4.02514583441534,-0.912126794422657,-0.715626542078418,-3.67656758141812,-3.70953334299241,-3.85697854895745,-8.4351052186404,-4.2532381918455,-5.09530469131102,-9.27908242566356,2.05309258844281,8.0441351268308
0.089745893830126,2.30475357500665,1.24005631225523,0.0657000842754655,0.0425504869514043,0.112604659738855,0.000696555717760457,0.0823051976723872,0.048948778965645,0.000523207494014697,-3.79403395681948,-0.548287191120118,-1.16810416126789,-4.10591602372354,-4.54032493277466,-3.5671331339796,-8.65262372412215,-3.88058197106302,-4.40024180780154,-8.93879338746402,1.38326095296274,9.85400943105977
0.0953254323509962,2.44804103701804,1.31715111478037,0.0697846850899969,0.0451958679364834,0.119605336982448,0.000739860868484492,0.0874221451034324,0.0519919443533041,0.000555735515550575,-3.79403395681948,-0.548287191120118,-1.16810416126789,-4.10591602372354,-4.54032493277466,-3.5671331339796,-8.65262372412215,-3.88058197106302,-4.40024180780154,-8.93879338746402,1.44357531911745,18.9997741477683
0.118448776221714,3.04186886777118,1.63665596679742,0.0867125419110828,0.0561591499280384,0.148618321949931,0.000919330888777311,0.108628367548867,0.0646037686916611,0.000690541758861702,-3.79403395681948,-0.548287191120118,-1.16810416126789,-4.10591602372354,-4.54032493277466,-3.5671331339796,-8.65262372412215,-3.88058197106302,-4.40024180780154,-8.93879338746402,1.66075927678652,38.7492440055849
0.10919678141934,1.93955650911296,2.35209182430276,0.170215983647847,0.0874088198567667,0.349097843074356,0.000779535744370087,0.0814759249070556,0.0308641392892209,0.000632481860299379,-3.84801587799688,-0.970952844317861,-0.778107117489947,-3.4040993439871,-4.07057127542841,-2.68581523113189,-8.79022420271702,-4.1408598899972,-5.11157249753861,-8.99927120485173,1.6334121877093,49.1307715519857
0.0927810543194357,1.64797987164623,1.99849809196194,0.144627142115289,0.0742685119260493,0.29661740501944,0.000662346886989226,0.0692275185794893,0.0262242837810297,0.00053739984891259,-3.84801587799688,-0.970952844317861,-0.778107117489947,-3.4040993439871,-4.07057127542841,-2.68581523113189,-8.79022420271702,-4.1408598899972,-5.11157249753861,-8.99927120485173,1.47050306192365,58.8577551099194
0.0800890223801457,1.42254361938907,1.72511251987669,0.124842797989433,0.0641089127237852,0.256041474880787,0.000571740804678352,0.0597575046490202,0.0226369194233463,0.000463885960796109,-3.84801587799688,-0.970952844317861,-0.778107117489947,-3.4040993439871,-4.07057127542841,-2.68581523113189,-8.79022420271702,-4.1408598899972,-5.11157249753861,-8.99927120485173,1.32339939475998,15.6313467312858
0.0824833726152494,1.69940846041803,1.78179946493459,0.166948729741182,0.0605772548543062,0.422537162646294,0.000650834654567655,0.117433655121198,0.0304678359817831,0.00049194479492643,-3.96827230872329,-0.942833532662966,-0.895489969701992,-3.26318227995115,-4.27694954751038,-2.3345916358384,-8.81036869356654,-3.61499550084345,-4.96419746849206,-9.09025781191303,1.47311375871148,13.4841721608732
0.0437177100760005,1.77505015922215,2.40701183540192,0.089321954699799,0.0535615493712925,0.288866739257554,0.000794989747604668,0.0511378709883057,0.0438989383365668,0.000143711289942096,-4.68888433118635,-0.985053655860344,-0.680496261240315,-3.97439030512059,-4.485806167914,-2.80067214415415,-8.69606367659301,-4.53211227813689,-4.68474747997589,-10.4065865390157,1.55888233710516,18.6789980520131
0.0723626597123093,2.93810792973317,3.98414688385766,0.147847959134715,0.088656431548701,0.478139534727686,0.0013158871423202,0.0846446977736414,0.0726626333140102,0.000237874562798882,-4.68888433118635,-0.985053655860344,-0.680496261240315,-3.97439030512059,-4.485806167914,-2.80067214415415,-8.69606367659301,-4.53211227813689,-4.68474747997589,-10.4065865390157,2.06281946872121,8.9862346366848
0.0593533430275245,2.40989660273195,3.26787928483813,0.121267939422484,0.0727178300828982,0.392179888530076,0.0010793177206884,0.0694273234620406,0.0595993875503728,0.000195109612878461,-4.68888433118635,-0.985053655860344,-0.680496261240315,-3.97439030512059,-4.485806167914,-2.80067214415415,-8.69606367659301,-4.53211227813689,-4.68474747997589,-10.4065865390157,1.8646374990118,22.7612825278367
0.0920605818163658,2.72723717897592,3.70155939283627,0.219061059393267,0.0869172665121288,0.615209131319447,0.00253476576974273,0.104376759258553,0.137363387816718,0.000281567977524973,-4.42478711577535,-1.03618962072821,-0.73072450674633,-3.55788347314256,-4.48227726753878,-2.52527171318545,-8.01713273986312,-4.29922693591295,-4.02460409404936,-10.2146153514536,2.03947869513155,36.8426524582296
0.0568959791332749,2.67667486362317,3.42354708331911,0.316778051103587,0.027526843858151,0.338392960124137,0.00166166707713746,0.0601251756301864,0.0661596515446784,0.000188072120399216,-4.80785171958317,-0.95674581207969,-0.710643941278251,-3.09087501831501,-5.53391472386868,-3.02486856862248,-8.34125503095327,-4.75264774321664,-4.65700560887886,-10.5200061632929,1.94132111374035,13.9889694592
0.0509742840436348,2.39808835122039,3.06722661460981,0.283808005446551,0.024661868536674,0.303173249331535,0.00148872188977629,0.0538673879496366,0.0592737996856795,0.000168497701102248,-4.80785171958317,-0.95674581207969,-0.710643941278251,-3.09087501831501,-5.53391472386868,-3.02486856862248,-8.34125503095327,-4.75264774321664,-4.65700560887886,-10.5200061632929,1.83141771171789,24.9264155756776
