"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-22,7,NA,NA,NA,7,NA,NA,NA
2020-03-29,14,NA,NA,NA,14,NA,NA,NA
2020-04-19,15,NA,NA,NA,15,NA,NA,NA
2020-04-26,18,NA,NA,NA,18,NA,NA,NA
2020-05-03,20,NA,NA,NA,20,NA,NA,NA
2020-05-10,21,NA,NA,NA,21,NA,NA,NA
2020-05-17,23,NA,NA,NA,23,NA,NA,NA
2020-05-24,24,NA,NA,NA,24,NA,NA,NA
2020-05-31,31,NA,NA,NA,31,NA,NA,NA
2020-06-07,35,NA,NA,NA,35,NA,NA,NA
2020-06-14,41,NA,NA,NA,41,NA,NA,NA
2020-06-21,49,NA,NA,NA,49,NA,NA,NA
2020-06-28,59,NA,NA,NA,59,NA,NA,NA
2020-07-05,67,NA,NA,NA,67,NA,NA,NA
2020-07-12,70,NA,NA,NA,70,NA,NA,NA
2020-07-19,78,NA,NA,NA,78,NA,NA,NA
2020-07-26,90,NA,NA,NA,90,NA,NA,NA
2020-08-02,99,NA,NA,NA,99,NA,NA,NA
2020-08-09,111,NA,NA,NA,111,NA,NA,NA
2020-08-16,128,NA,NA,NA,128,NA,NA,NA
2020-08-23,138,NA,NA,NA,138,NA,NA,NA
2020-08-30,151,NA,NA,NA,151,NA,NA,NA
2020-09-06,159,NA,NA,NA,159,NA,NA,NA
2020-09-13,166,NA,NA,NA,166,NA,NA,NA
2020-09-20,172,NA,NA,NA,172,NA,NA,NA
2020-09-27,181,NA,NA,NA,181,NA,NA,NA
2020-10-04,184,NA,NA,NA,184,NA,NA,NA
2020-10-11,187,NA,NA,NA,187,NA,NA,NA
2020-10-18,188,NA,NA,NA,188,NA,NA,NA
2020-10-25,189,NA,NA,NA,189,NA,NA,NA
2020-11-01,191,NA,NA,NA,191,NA,NA,NA
2020-11-08,193,NA,NA,NA,193,NA,NA,NA
2020-11-15,194,NA,NA,NA,194,NA,NA,NA
2020-11-22,195,NA,NA,NA,195,NA,NA,NA
2020-11-29,196,NA,NA,NA,196,NA,NA,NA
2020-12-06,199,NA,NA,NA,199,NA,NA,NA
2020-12-13,200,NA,NA,NA,200,NA,NA,NA
2020-12-20,203,NA,NA,NA,203,NA,NA,NA
2020-12-27,211,NA,NA,NA,211,NA,NA,NA
2021-01-03,218,NA,NA,NA,218,NA,NA,NA
2021-01-10,225,NA,NA,NA,225,NA,NA,NA
2021-01-17,232,NA,NA,NA,232,NA,NA,NA
2021-01-24,236,NA,NA,NA,236,NA,NA,NA
2021-01-31,243,NA,NA,NA,243,NA,NA,NA
2021-02-07,250,NA,NA,NA,250,NA,NA,NA
2021-02-21,260,NA,NA,NA,260,NA,NA,NA
2021-02-28,281,NA,NA,NA,281,NA,NA,NA
2021-03-07,311,NA,NA,NA,311,NA,NA,NA
2021-03-14,337,NA,NA,NA,337,NA,NA,NA
2021-03-21,364,NA,NA,NA,364,NA,NA,NA
2021-03-28,383,NA,NA,NA,383,NA,NA,NA
2021-04-04,403,NA,NA,NA,403,NA,NA,NA
2021-04-11,425,NA,NA,NA,425,NA,NA,NA
2021-04-18,445,NA,NA,NA,445,NA,NA,NA
2021-04-25,461,NA,NA,NA,461,NA,NA,NA
2021-05-02,468,NA,NA,NA,468,NA,NA,NA
2021-05-09,481,NA,NA,NA,481,NA,NA,NA
2021-05-16,493,NA,NA,NA,493,NA,NA,NA
2021-05-23,506,NA,NA,NA,506,NA,NA,NA
2021-05-30,517,NA,NA,NA,517,NA,NA,NA
2021-06-06,523,NA,NA,NA,523,NA,NA,NA
2021-06-13,529,NA,NA,NA,529,NA,NA,NA
2021-06-20,535,NA,NA,NA,535,NA,NA,NA
2021-06-27,537,NA,NA,NA,537,NA,NA,NA
2021-07-04,539,NA,NA,NA,539,NA,NA,NA
2021-07-11,541,NA,NA,NA,541,NA,NA,NA
2021-07-18,542,NA,NA,NA,542,NA,NA,NA
2021-08-01,545,NA,NA,NA,545,NA,NA,NA
2021-08-08,547,NA,NA,NA,547,NA,NA,NA
2021-08-15,548,NA,NA,NA,547,NA,NA,NA
2021-08-22,548,NA,NA,NA,547,NA,NA,NA
2021-08-29,548,NA,NA,NA,547,NA,NA,NA
2021-09-05,548,NA,NA,NA,547,NA,NA,NA
2021-09-12,548,NA,NA,NA,547,NA,NA,NA
2021-09-19,548,NA,NA,NA,547,NA,NA,NA
2021-09-26,548,NA,NA,NA,547,NA,NA,NA
2021-10-03,548,NA,NA,NA,547,NA,NA,NA
2021-10-10,548,NA,NA,NA,547,NA,NA,NA
2021-10-17,548,548,548,548,548,548,548,548
2021-10-24,NA,548,548,548,NA,548,548,548
