"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-04-05,3,NA,NA,NA,3,NA,NA,NA
2020-04-26,5,NA,NA,NA,5,NA,NA,NA
2020-06-14,6,NA,NA,NA,6,NA,NA,NA
2020-07-05,9,NA,NA,NA,9,NA,NA,NA
2020-07-12,10,NA,NA,NA,10,NA,NA,NA
2020-07-19,12,NA,NA,NA,12,NA,NA,NA
2020-07-26,16,NA,NA,NA,16,NA,NA,NA
2020-08-02,17,NA,NA,NA,17,NA,NA,NA
2020-08-09,20,NA,NA,NA,20,NA,NA,NA
2020-08-16,25,NA,NA,NA,25,NA,NA,NA
2020-08-23,26,NA,NA,NA,26,NA,NA,NA
2020-08-30,29,NA,NA,NA,29,NA,NA,NA
2020-09-06,34,NA,NA,NA,34,NA,NA,NA
2020-09-13,36,NA,NA,NA,36,NA,NA,NA
2020-09-20,43,NA,NA,NA,43,NA,NA,NA
2020-10-04,44,NA,NA,NA,44,NA,NA,NA
2020-10-11,47,NA,NA,NA,47,NA,NA,NA
2020-10-18,49,NA,NA,NA,49,NA,NA,NA
2020-11-01,50,NA,NA,NA,50,NA,NA,NA
2020-11-22,51,NA,NA,NA,51,NA,NA,NA
2020-12-06,52,NA,NA,NA,52,NA,NA,NA
2020-12-27,54,NA,NA,NA,54,NA,NA,NA
2021-01-03,55,NA,NA,NA,55,NA,NA,NA
2021-01-10,57,NA,NA,NA,57,NA,NA,NA
2021-01-31,59,NA,NA,NA,59,NA,NA,NA
2021-02-14,60,NA,NA,NA,60,NA,NA,NA
2021-02-21,63,NA,NA,NA,63,NA,NA,NA
2021-02-28,64,NA,NA,NA,64,NA,NA,NA
2021-03-14,73,NA,NA,NA,73,NA,NA,NA
2021-03-21,76,NA,NA,NA,76,NA,NA,NA
2021-03-28,79,NA,NA,NA,79,NA,NA,NA
2021-04-04,87,NA,NA,NA,87,NA,NA,NA
2021-04-11,91,NA,NA,NA,91,NA,NA,NA
2021-04-18,95,NA,NA,NA,95,NA,NA,NA
2021-04-25,100,NA,NA,NA,100,NA,NA,NA
2021-05-02,101,NA,NA,NA,101,NA,NA,NA
2021-05-09,104,NA,NA,NA,104,NA,NA,NA
2021-05-23,105,NA,NA,NA,105,NA,NA,NA
2021-05-30,106,NA,NA,NA,106,NA,NA,NA
2021-06-06,111,NA,NA,NA,111,NA,NA,NA
2021-06-13,113,NA,NA,NA,113,NA,NA,NA
2021-06-20,114,NA,NA,NA,114,NA,NA,NA
2021-06-27,114,NA,NA,NA,114,NA,NA,NA
2021-07-04,115,NA,NA,NA,115,NA,NA,NA
2021-07-11,115,NA,NA,NA,115,NA,NA,NA
2021-07-18,116,NA,NA,NA,116,NA,NA,NA
2021-07-25,116,NA,NA,NA,116,NA,NA,NA
2021-08-01,117,117,117,130,117,117,117,117
2021-08-08,NA,117,117,132,NA,117,117,117
