"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-22,7,NA,7,NA,NA,NA
2020-03-29,7,NA,7,NA,NA,NA
2020-04-19,1,NA,1,NA,NA,NA
2020-04-26,3,NA,3,NA,NA,NA
2020-05-03,2,NA,2,NA,NA,NA
2020-05-10,1,NA,1,NA,NA,NA
2020-05-17,2,NA,2,NA,NA,NA
2020-05-24,1,NA,1,NA,NA,NA
2020-05-31,7,NA,7,NA,NA,NA
2020-06-07,4,NA,4,NA,NA,NA
2020-06-14,6,NA,6,NA,NA,NA
2020-06-21,8,NA,8,NA,NA,NA
2020-06-28,10,NA,10,NA,NA,NA
2020-07-05,8,NA,8,NA,NA,NA
2020-07-12,3,NA,3,NA,NA,NA
2020-07-19,8,NA,8,NA,NA,NA
2020-07-26,12,NA,12,NA,NA,NA
2020-08-02,9,NA,9,NA,NA,NA
2020-08-09,12,NA,12,NA,NA,NA
2020-08-16,17,NA,17,NA,NA,NA
2020-08-23,10,NA,10,NA,NA,NA
2020-08-30,13,NA,13,NA,NA,NA
2020-09-06,8,NA,8,NA,NA,NA
2020-09-13,7,NA,7,NA,NA,NA
2020-09-20,6,NA,6,NA,NA,NA
2020-09-27,9,NA,9,NA,NA,NA
2020-10-04,3,NA,3,NA,NA,NA
2020-10-11,3,NA,3,NA,NA,NA
2020-10-18,1,NA,1,NA,NA,NA
2020-10-25,1,NA,1,NA,NA,NA
2020-11-01,2,NA,2,NA,NA,NA
2020-11-08,2,NA,2,NA,NA,NA
2020-11-15,1,NA,1,NA,NA,NA
2020-11-22,1,NA,1,NA,NA,NA
2020-11-29,1,NA,1,NA,NA,NA
2020-12-06,3,NA,3,NA,NA,NA
2020-12-13,1,NA,1,NA,NA,NA
2020-12-20,3,NA,3,NA,NA,NA
2020-12-27,8,NA,8,NA,NA,NA
2021-01-03,7,NA,7,NA,NA,NA
2021-01-10,7,NA,7,NA,NA,NA
2021-01-17,7,NA,7,NA,NA,NA
2021-01-24,4,NA,4,NA,NA,NA
2021-01-31,7,NA,7,NA,NA,NA
2021-02-07,7,NA,7,NA,NA,NA
2021-02-21,10,NA,10,NA,NA,NA
2021-02-28,21,NA,21,NA,NA,NA
2021-03-07,30,NA,30,NA,NA,NA
2021-03-14,26,NA,26,NA,NA,NA
2021-03-21,27,NA,27,NA,NA,NA
2021-03-28,19,NA,19,NA,NA,NA
2021-04-04,20,NA,20,NA,NA,NA
2021-04-11,22,NA,22,NA,NA,NA
2021-04-18,20,NA,20,NA,NA,NA
2021-04-25,16,NA,16,NA,NA,NA
2021-05-02,7,NA,7,NA,NA,NA
2021-05-09,13,NA,13,NA,NA,NA
2021-05-16,12,NA,12,NA,NA,NA
2021-05-23,13,NA,13,NA,NA,NA
2021-05-30,11,NA,11,NA,NA,NA
2021-06-06,6,NA,6,NA,NA,NA
2021-06-13,6,NA,6,NA,NA,NA
2021-06-20,6,NA,6,NA,NA,NA
2021-06-27,2,NA,2,NA,NA,NA
2021-07-04,2,NA,2,NA,NA,NA
2021-07-11,2,NA,2,NA,NA,NA
2021-07-18,1,NA,1,NA,NA,NA
2021-08-01,3,NA,3,NA,NA,NA
2021-08-08,2,NA,2,NA,NA,NA
2021-08-15,NA,NA,1,NA,NA,NA
2021-08-22,NA,0,0,NA,0,0
2021-08-29,NA,0,0,NA,0,0
2021-09-05,NA,0,0,NA,0,0
2021-09-12,NA,0,0,NA,0,0
2021-09-19,NA,0,0,NA,0,0
2021-09-26,NA,0,0,NA,0,0
2021-10-03,NA,0,0,NA,0,0
2021-10-10,NA,0,0,NA,0,0
2021-10-17,NA,0,0,NA,0,0
