"dt_evoluca","n.casos"
2020-04-05,1
2020-06-07,2
2020-06-14,1
2020-06-21,4
2020-06-28,4
2020-07-05,2
2020-07-12,4
2020-08-02,1
2020-08-09,3
2020-08-16,2
2020-08-23,2
2020-08-30,4
2020-09-06,3
2020-09-13,12
2020-09-20,3
2020-09-27,1
2020-10-04,6
2020-10-11,3
2020-10-18,1
2020-10-25,6
2020-11-01,7
2020-11-08,1
2020-11-15,4
2020-11-22,4
2020-11-29,6
2020-12-06,2
2020-12-13,5
2020-12-20,2
2020-12-27,7
2021-01-03,6
2021-01-10,14
2021-01-17,16
2021-01-24,13
2021-01-31,23
2021-02-07,12
2021-02-14,9
2021-02-21,5
2021-02-28,10
2021-03-07,9
2021-03-14,24
2021-03-21,17
2021-03-28,51
2021-04-04,43
2021-04-11,40
2021-04-18,43
2021-04-25,48
2021-05-02,39
2021-05-09,31
2021-05-16,44
2021-05-23,24
2021-05-30,40
2021-06-06,31
2021-06-13,53
2021-06-20,25
2021-06-27,35
2021-07-04,24
2021-07-11,20
2021-07-18,11
2021-07-25,10
2021-08-01,14
2021-08-08,14
2021-08-15,5
2021-08-22,11
2021-08-29,10
2021-09-05,5
2021-09-12,5
2021-09-19,9
2021-09-26,6
2021-10-03,5
2021-10-10,3
2021-10-17,4
2021-10-24,6
2021-10-31,3
