"dt_sin_pri","n.casos"
2020-03-29,1
2020-04-19,5
2020-04-26,4
2020-05-17,2
2020-05-24,3
2020-05-31,9
2020-06-07,14
2020-06-14,7
2020-06-21,17
2020-06-28,12
2020-07-05,16
2020-07-12,18
2020-07-19,14
2020-07-26,11
2020-08-02,23
2020-08-09,19
2020-08-16,20
2020-08-23,21
2020-08-30,23
2020-09-06,14
2020-09-13,12
2020-09-20,19
2020-09-27,16
2020-10-04,15
2020-10-11,22
2020-10-18,23
2020-10-25,24
2020-11-01,11
2020-11-08,17
2020-11-15,26
2020-11-22,30
2020-11-29,22
2020-12-06,30
2020-12-13,40
2020-12-20,67
2020-12-27,67
2021-01-03,61
2021-01-10,64
2021-01-17,50
2021-01-24,45
2021-01-31,40
2021-02-07,27
2021-02-14,29
2021-02-21,59
2021-02-28,59
2021-03-07,90
2021-03-14,111
2021-03-21,106
2021-03-28,104
2021-04-04,106
2021-04-11,114
2021-04-18,102
2021-04-25,117
2021-05-02,100
2021-05-09,99
2021-05-16,109
2021-05-23,95
2021-05-30,104
2021-06-06,98
2021-06-13,83
2021-06-20,83
2021-06-27,49
2021-07-04,54
2021-07-11,39
2021-07-18,36
2021-07-25,37
2021-08-01,34
2021-08-08,24
2021-08-15,19
2021-08-22,15
2021-08-29,9
2021-09-05,18
2021-09-12,13
2021-09-19,18
2021-09-26,20
2021-10-03,9
2021-10-10,13
2021-10-17,11
2021-10-24,5
