"dt_sin_pri","n.casos"
2019-12-29,1
2020-01-12,1
2020-02-02,1
2020-02-16,2
2020-02-23,1
2020-03-01,2
2020-03-08,6
2020-03-15,11
2020-03-22,8
2020-03-29,13
2020-04-05,13
2020-04-12,13
2020-04-19,13
2020-04-26,18
2020-05-03,16
2020-05-10,8
2020-05-17,10
2020-05-24,14
2020-05-31,16
2020-06-07,27
2020-06-14,17
2020-06-21,44
2020-06-28,36
2020-07-05,36
2020-07-12,40
2020-07-19,30
2020-07-26,33
2020-08-02,38
2020-08-09,56
2020-08-16,48
2020-08-23,47
2020-08-30,57
2020-09-06,38
2020-09-13,42
2020-09-20,46
2020-09-27,31
2020-10-04,46
2020-10-11,50
2020-10-18,50
2020-10-25,39
2020-11-01,27
2020-11-08,40
2020-11-15,43
2020-11-22,51
2020-11-29,34
2020-12-06,44
2020-12-13,57
2020-12-20,82
2020-12-27,86
2021-01-03,83
2021-01-10,83
2021-01-17,64
2021-01-24,67
2021-01-31,51
2021-02-07,47
2021-02-14,49
2021-02-21,77
2021-02-28,81
2021-03-07,104
2021-03-14,123
2021-03-21,127
2021-03-28,117
2021-04-04,113
2021-04-11,123
2021-04-18,116
2021-04-25,137
2021-05-02,111
2021-05-09,114
2021-05-16,126
2021-05-23,107
2021-05-30,124
2021-06-06,115
2021-06-13,97
2021-06-20,97
2021-06-27,62
2021-07-04,77
2021-07-11,57
2021-07-18,57
2021-07-25,68
2021-08-01,67
2021-08-08,45
2021-08-15,55
2021-08-22,45
2021-08-29,29
2021-09-05,29
2021-09-12,26
2021-09-19,31
