"dt_notific","n.notific"
2020-04-05,1
2020-04-26,2
2020-05-03,6
2020-05-10,1
2020-05-24,1
2020-05-31,2
2020-06-07,8
2020-06-14,13
2020-06-21,10
2020-06-28,18
2020-07-05,8
2020-07-12,18
2020-07-19,13
2020-07-26,16
2020-08-02,14
2020-08-09,15
2020-08-16,24
2020-08-23,17
2020-08-30,21
2020-09-06,21
2020-09-13,18
2020-09-20,10
2020-09-27,18
2020-10-04,15
2020-10-11,18
2020-10-18,19
2020-10-25,18
2020-11-01,28
2020-11-08,19
2020-11-15,10
2020-11-22,12
2020-11-29,27
2020-12-06,30
2020-12-13,35
2020-12-20,34
2020-12-27,37
2021-01-03,55
2021-01-10,73
2021-01-17,78
2021-01-24,55
2021-01-31,48
2021-02-07,42
2021-02-14,36
2021-02-21,29
2021-02-28,41
2021-03-07,51
2021-03-14,63
2021-03-21,99
2021-03-28,93
2021-04-04,115
2021-04-11,122
2021-04-18,93
2021-04-25,116
2021-05-02,96
2021-05-09,121
2021-05-16,95
2021-05-23,117
2021-05-30,104
2021-06-06,87
2021-06-13,92
2021-06-20,97
2021-06-27,102
2021-07-04,70
2021-07-11,43
2021-07-18,57
2021-07-25,42
2021-08-01,39
2021-08-08,26
2021-08-15,38
2021-08-22,22
2021-08-29,24
2021-09-05,4
2021-09-12,18
2021-09-19,8
2021-09-26,21
2021-10-03,19
