"dt_notific","n.notific"
2020-04-05,1
2020-05-03,1
2020-06-07,4
2020-06-14,2
2020-06-21,4
2020-06-28,4
2020-07-12,3
2020-07-19,2
2020-07-26,2
2020-08-09,3
2020-08-16,4
2020-08-23,4
2020-08-30,5
2020-09-06,5
2020-09-13,5
2020-09-20,3
2020-09-27,3
2020-10-04,4
2020-10-11,2
2020-10-18,6
2020-10-25,4
2020-11-01,3
2020-11-08,4
2020-11-15,4
2020-11-22,4
2020-11-29,5
2020-12-06,6
2020-12-13,8
2020-12-20,2
2020-12-27,10
2021-01-03,7
2021-01-10,23
2021-01-17,16
2021-01-24,16
2021-01-31,15
2021-02-07,9
2021-02-14,7
2021-02-21,3
2021-02-28,13
2021-03-07,12
2021-03-14,29
2021-03-21,37
2021-03-28,41
2021-04-04,46
2021-04-11,51
2021-04-18,43
2021-04-25,46
2021-05-02,31
2021-05-09,45
2021-05-16,24
2021-05-23,38
2021-05-30,38
2021-06-06,43
2021-06-13,37
2021-06-20,23
2021-06-27,33
2021-07-04,18
2021-07-11,9
2021-07-18,13
2021-07-25,12
2021-08-01,9
2021-08-08,7
2021-08-15,12
2021-08-22,9
2021-08-29,7
2021-09-05,2
2021-09-12,4
2021-09-19,2
2021-09-26,6
2021-10-03,2
