"dt_notific","n.notific"
2020-01-19,1
2020-03-15,3
2020-03-22,3
2020-03-29,2
2020-04-05,7
2020-04-12,2
2020-04-19,1
2020-04-26,2
2020-05-03,3
2020-05-10,2
2020-05-17,5
2020-05-24,3
2020-06-07,6
2020-06-14,5
2020-06-21,8
2020-06-28,11
2020-07-05,5
2020-07-12,4
2020-07-19,5
2020-07-26,6
2020-08-02,2
2020-08-09,3
2020-08-16,7
2020-08-23,7
2020-08-30,9
2020-09-06,5
2020-09-13,9
2020-09-20,4
2020-09-27,5
2020-10-04,5
2020-10-11,2
2020-10-18,7
2020-10-25,4
2020-11-01,3
2020-11-08,4
2020-11-15,4
2020-11-22,4
2020-11-29,5
2020-12-06,6
2020-12-13,8
2020-12-20,2
2020-12-27,11
2021-01-03,8
2021-01-10,24
2021-01-17,17
2021-01-24,16
2021-01-31,15
2021-02-07,9
2021-02-14,7
2021-02-21,3
2021-02-28,15
2021-03-07,12
2021-03-14,29
2021-03-21,37
2021-03-28,42
2021-04-04,47
2021-04-11,51
2021-04-18,44
2021-04-25,50
2021-05-02,31
2021-05-09,45
2021-05-16,24
2021-05-23,38
2021-05-30,40
2021-06-06,48
2021-06-13,39
2021-06-20,25
2021-06-27,34
2021-07-04,21
2021-07-11,12
2021-07-18,13
2021-07-25,13
2021-08-01,10
2021-08-08,8
2021-08-15,12
2021-08-22,10
2021-08-29,9
2021-09-05,6
2021-09-12,6
2021-09-19,2
2021-09-26,11
2021-10-03,11
2021-10-10,5
2021-10-17,3
2021-10-24,4
2021-10-31,1
