"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
4.45289771275011,1.15308161287118,0.0152737214724555,0.00589454373246684,0.0736162087962126,0.0427944185724776,1.25180036244028e-05,0.0185760341804704,0.000268531495991499,4.00137671947083e-05,-5.70769452131471,-7.05881155513275,-11.3828710550624,-12.3349777240382,-9.81013962626184,-10.3525971690605,-18.4895922369038,-11.1871325909716,-15.4237919243656,-17.3275365601762,7.20124957697727,14.2903740940638
3.78576097147619,0.841572389640229,0.0129417684458602,0.00632734977474807,0.0574210243059442,0.0280095603707238,1.32108796839807e-05,0.0230556254798178,0.000175250376405837,3.30016420487052e-05,-5.42308069462599,-6.92681085509814,-11.1016229447633,-11.8172014180456,-9.61167237618752,-10.3295369958482,-17.988797459945,-10.5241730943675,-15.4036224948046,-17.0732808492589,6.75432761057486,2.62683491185093
3.5091660519042,0.780085505185456,0.0119962181511182,0.00586506152801604,0.053225734714417,0.0259631284495436,1.22456676087342e-05,0.0213711374935662,0.000162446249538834,3.05904791155511e-05,-5.42308069462599,-6.92681085509814,-11.1016229447633,-11.8172014180456,-9.61167237618752,-10.3295369958482,-17.988797459945,-10.5241730943675,-15.4036224948046,-17.0732808492589,6.67845911182422,8.17518445939524
3.3390029743172,0.742258355264369,0.0114145091724589,0.00558065865135456,0.0506447639960551,0.024704149599465,1.16518625688505e-05,0.0203348290163806,0.000154569063519382,2.91071152638067e-05,-5.42308069462599,-6.92681085509814,-11.1016229447633,-11.8172014180456,-9.61167237618752,-10.3295369958482,-17.988797459945,-10.5241730943675,-15.4036224948046,-17.0732808492589,6.62875294636794,13.6075502783597
2.35640430555011,0.523827261499571,0.0080554581012985,0.00393838764894976,0.0357410702691205,0.0174342355873575,8.22296336244864e-06,0.014350714574198,0.000109082624239471,2.05415006387657e-05,-5.42308069462599,-6.92681085509814,-11.1016229447633,-11.8172014180456,-9.61167237618752,-10.3295369958482,-17.988797459945,-10.5241730943675,-15.4036224948046,-17.0732808492589,6.28021755246257,24.4941265282493
2.10670302828518,0.64040489179616,0.0104939150609108,0.00509369522375341,0.0424634824876513,0.0224439843768161,9.4477085646688e-06,0.0203605348852864,0.000145708161203133,2.20739433405658e-05,-5.42374985208265,-6.61452869091771,-10.7258337394989,-11.4486257663382,-9.32798483967723,-9.96560668887619,-17.7386123574772,-10.0630308479517,-15.0027788642698,-16.8899867110982,6.1688740316863,33.4331366597025
1.51985481530348,0.510097564237877,0.0108000176222949,0.00349870133131856,0.0392854131755231,0.0174860308544875,6.75463191249665e-06,0.0144799034888724,0.000185800517273715,2.29822299487617e-05,-5.72982658566212,-6.82159466884316,-10.67664891287,-11.8038048272475,-9.38534339473393,-10.1947943534104,-18.0537234788656,-10.3834349568905,-14.739278347264,-16.8292306512868,6.14844139971063,29.708678405839
1.89745937836434,0.749667497743805,0.0122760985149345,0.00229794110385232,0.0536225574597215,0.0370640562305061,9.39625943247808e-06,0.018692851061719,0.000124165393031998,1.90219818293089e-05,-5.64538824451648,-6.57402957369433,-10.6860051838524,-12.3616457957894,-9.21168951790633,-9.58101168034808,-17.861102947198,-10.2655181909785,-15.2798001329241,-17.155819375749,6.28590406659834,19.7756790160781
1.67730610552901,0.662687109626698,0.0108517606363331,0.002031321823058,0.0474009847308577,0.0327636883929966,8.30605571583613e-06,0.0165240076141147,0.000109759067415455,1.68149508892597e-05,-5.64538824451648,-6.57402957369433,-10.6860051838524,-12.3616457957894,-9.21168951790633,-9.58101168034808,-17.861102947198,-10.2655181909785,-15.2798001329241,-17.155819375749,6.16257724232203,12.1761663384037
2.56089430017792,1.01178409608731,0.0165683603421426,0.00310140198103887,0.0723713526230736,0.0500232739759614,1.2681603357627e-05,0.0252286906817981,0.00016757905382359,2.56728999841657e-05,-5.64538824451648,-6.57402957369433,-10.6860051838524,-12.3616457957894,-9.21168951790633,-9.58101168034808,-17.861102947198,-10.2655181909785,-15.2798001329241,-17.155819375749,6.58574477801133,5.03113246201956
