"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
4.79424419493921,2.95867871586001,0.44519686505954,0.0494682229083552,0.0417153266362524,1.54274505523169e-05,0.167882288438783,0.00158030009242361,0.115038737032506,0.0869726700557324,-5.03433113100062,-5.51700441443139,-7.41098590458401,-9.60817198033357,-9.77863387580494,-17.6811093352546,-8.38623941254675,-13.0518877213976,-8.76423356691031,-9.04390855030267,6.60174720333323,227.833760851829
4.752517226995,2.93292769298466,0.441322069667012,0.0490376735104474,0.0413522549973129,1.52931768882142e-05,0.166421115710977,0.00156654586368233,0.11403749105977,0.0862156986400359,-5.03433113100062,-5.51700441443139,-7.41098590458401,-9.60817198033357,-9.77863387580494,-17.6811093352546,-8.38623941254675,-13.0518877213976,-8.76423356691031,-9.04390855030267,6.59300555120248,1058.71251278629
5.38095310344853,3.32075521622777,0.499679064161241,0.0555220336631544,0.0468203552421589,1.7315427531918e-05,0.188427348348735,0.00177369369204913,0.129116921016518,0.097616191379157,-5.03433113100062,-5.51700441443139,-7.41098590458401,-9.60817198033357,-9.77863387580494,-17.6811093352546,-8.38623941254675,-13.0518877213976,-8.76423356691031,-9.04390855030267,6.71719664625873,294.986851208833
5.42827790255936,3.34996083658589,0.50407367806638,0.0560103428973772,0.0472321343198677,1.74677145178315e-05,0.190084542945334,0.00178929310279415,0.130252487937738,0.0984747133841196,-5.03433113100062,-5.51700441443139,-7.41098590458401,-9.60817198033357,-9.77863387580494,-17.6811093352546,-8.38623941254675,-13.0518877213976,-8.76423356691031,-9.04390855030267,6.72595306962866,344.28883700078
5.08948853410797,3.14088327339984,0.472613460643731,0.0525146285957934,0.0442842850674751,1.63775205233429e-05,0.17822099737659,0.00167761984450643,0.122123177147139,0.0923287152324577,-5.03433113100062,-5.51700441443139,-7.41098590458401,-9.60817198033357,-9.77863387580494,-17.6811093352546,-8.38623941254675,-13.0518877213976,-8.76423356691031,-9.04390855030267,6.66150847205599,625.362928584936
5.25228031984111,3.24134719888655,0.487730419588447,0.0541943553716628,0.0457007570366595,1.69013699816939e-05,0.183921553380134,0.00173127999688486,0.126029394825782,0.0952819307326813,-5.03433113100062,-5.51700441443139,-7.41098590458401,-9.60817198033357,-9.77863387580494,-17.6811093352546,-8.38623941254675,-13.0518877213976,-8.76423356691031,-9.04390855030267,6.69299345993936,475.373759633009
5.22556715536492,3.22486166582747,0.48524981647416,0.0539187221912982,0.0454683224054014,1.68154093991088e-05,0.182986126021544,0.00172247468481185,0.125388407721553,0.0947973256217057,-5.03433113100062,-5.51700441443139,-7.41098590458401,-9.60817198033357,-9.77863387580494,-17.6811093352546,-8.38623941254675,-13.0518877213976,-8.76423356691031,-9.04390855030267,6.68789446944208,795.355866530287
5.01786123693585,3.09667981796437,0.465962099791612,0.0517755600463494,0.0436610468726495,1.61470302645268e-05,0.175712790853311,0.00165400973627275,0.120404467488496,0.091029320159818,-5.03433113100062,-5.51700441443139,-7.41098590458401,-9.60817198033357,-9.77863387580494,-17.6811093352546,-8.38623941254675,-13.0518877213976,-8.76423356691031,-9.04390855030267,6.64733492550069,638.458029066065
5.7497390530321,3.06805739611547,0.547280545115943,0.0726005439881554,0.0490090059459617,1.27896553419726e-05,0.167724698503642,0.00155085735290037,0.11044410949555,0.0642742426873016,-4.90250577796091,-5.53061565833828,-7.25445397814309,-9.27444311388866,-9.66741145260316,-17.9185341398567,-8.43709159275742,-13.120607619727,-8.85490593206185,-9.39625655794208,6.651660249659,421.772956170161
5.7614626325961,3.07431309131459,0.548396436977351,0.0727485747502447,0.0491089341297038,1.28157331414371e-05,0.168066685127664,0.00155401951372218,0.110669302377019,0.0644052963214075,-4.90250577796091,-5.53061565833828,-7.25445397814309,-9.27444311388866,-9.66741145260316,-17.9185341398567,-8.43709159275742,-13.120607619727,-8.85490593206185,-9.39625655794208,6.65369714970429,893.046409999462
5.72507995661084,3.0548993166863,0.544933404905402,0.0722891796291946,0.0487988193980185,1.27348039232624e-05,0.167005372030826,0.00154420613957607,0.109970444183074,0.0639985876126607,-4.90250577796091,-5.53061565833828,-7.25445397814309,-9.27444311388866,-9.66741145260316,-17.9185341398567,-8.43709159275742,-13.120607619727,-8.85490593206185,-9.39625655794208,6.64736229352392,1467.4191092132
5.5164133233413,2.94355492320682,0.525071775055776,0.0696543972594526,0.0470202092426171,1.22706481944072e-05,0.160918391764401,0.00148792320577225,0.105962262197713,0.0616659791753375,-4.90250577796091,-5.53061565833828,-7.25445397814309,-9.27444311388866,-9.66741145260316,-17.9185341398567,-8.43709159275742,-13.120607619727,-8.85490593206185,-9.39625655794208,6.61023366679997,1631.43788551222
4.86375439808612,4.00692818296725,0.399301957857516,0.0909671831523412,0.0542013040511602,1.64697959503908e-05,0.1252173907826,0.00125118353095893,0.059285972149268,0.0549220142970993,-5.03519455900413,-5.22898029997834,-7.53504257027916,-9.01426167078417,-9.53205551942007,-17.6309876115988,-8.69470913452664,-13.3006705594352,-9.44238776688909,-9.51884623040167,6.61700520857861,181.383908301415
4.27284478546954,3.52011651720729,0.350789770373816,0.0799153539361038,0.0476162528831186,1.44688394981593e-05,0.110004418698869,0.00109917413346918,0.0520831720140254,0.048249402249667,-5.03519455900413,-5.22898029997834,-7.53504257027916,-9.01426167078417,-9.53205551942007,-17.6309876115988,-8.69470913452664,-13.3006705594352,-9.44238776688909,-9.51884623040167,6.48747439051985,221.181498279642
4.15595059662317,3.42381506335553,0.341193052561155,0.0777290726776553,0.046313593054331,1.40730087714179e-05,0.106994976994586,0.00106910351888245,0.0506583086148611,0.0469294210611443,-5.03519455900413,-5.22898029997834,-7.53504257027916,-9.01426167078417,-9.53205551942007,-17.6309876115988,-8.69470913452664,-13.3006705594352,-9.44238776688909,-9.51884623040167,6.45973574492868,1367.84991759969
4.1380119361613,3.40903657778939,0.339720333822194,0.0773935644923767,0.0461136860050879,1.40122643231484e-05,0.106533146056319,0.00106448886224062,0.0504396481239129,0.0467268558644425,-5.03519455900413,-5.22898029997834,-7.53504257027916,-9.01426167078417,-9.53205551942007,-17.6309876115988,-8.69470913452664,-13.3006705594352,-9.44238776688909,-9.51884623040167,6.45541002284756,1657.30450972432
4.20713572056187,3.46598312918947,0.345395222023072,0.0786863920986028,0.0468839961294923,1.42463334251664e-05,0.108312738366133,0.00108227071008096,0.0512822216630777,0.0475074087387019,-5.03519455900413,-5.22898029997834,-7.53504257027916,-9.01426167078417,-9.53205551942007,-17.6309876115988,-8.69470913452664,-13.3006705594352,-9.44238776688909,-9.51884623040167,6.47197662374389,793.835709888638
4.48672356455235,3.6963172126994,0.368348678213724,0.0839155456556695,0.0499997015086742,1.51930824515039e-05,0.115510729352848,0.00115419368916782,0.0546902138796699,0.0506645433939762,-5.03519455900413,-5.22898029997834,-7.53504257027916,-9.01426167078417,-9.53205551942007,-17.6309876115988,-8.69470913452664,-13.3006705594352,-9.44238776688909,-9.51884623040167,6.53631727602175,1714.25617154721
4.56303712782239,3.75918695125562,0.374613829109666,0.0853428442646874,0.0508501339745188,1.5451497805659e-05,0.117475422569627,0.00117382508206666,0.0556204261018206,0.0515262839898066,-5.03519455900413,-5.22898029997834,-7.53504257027916,-9.01426167078417,-9.53205551942007,-17.6309876115988,-8.69470913452664,-13.3006705594352,-9.44238776688909,-9.51884623040167,6.5531829976295,1981.3142963936
4.67710203255678,3.8531575435305,0.383978269839073,0.0874762091986386,0.0521212644792803,1.58377479228144e-05,0.120412024334783,0.00120316787337212,0.0570108023856134,0.0528143166114958,-5.03519455900413,-5.22898029997834,-7.53504257027916,-9.01426167078417,-9.53205551942007,-17.6309876115988,-8.69470913452664,-13.3006705594352,-9.44238776688909,-9.51884623040167,6.57787325332278,1336.7383398822
