"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,2,NA,NA,NA,2,NA,NA,NA
2020-03-22,3,NA,NA,NA,3,NA,NA,NA
2020-03-29,8,NA,NA,NA,8,NA,NA,NA
2020-04-05,14,NA,NA,NA,14,NA,NA,NA
2020-04-12,16,NA,NA,NA,16,NA,NA,NA
2020-04-19,18,NA,NA,NA,18,NA,NA,NA
2020-04-26,20,NA,NA,NA,20,NA,NA,NA
2020-05-03,23,NA,NA,NA,23,NA,NA,NA
2020-05-17,26,NA,NA,NA,26,NA,NA,NA
2020-05-24,28,NA,NA,NA,28,NA,NA,NA
2020-05-31,30,NA,NA,NA,30,NA,NA,NA
2020-06-07,35,NA,NA,NA,35,NA,NA,NA
2020-06-14,40,NA,NA,NA,40,NA,NA,NA
2020-06-21,49,NA,NA,NA,49,NA,NA,NA
2020-06-28,56,NA,NA,NA,56,NA,NA,NA
2020-07-05,65,NA,NA,NA,65,NA,NA,NA
2020-07-12,72,NA,NA,NA,72,NA,NA,NA
2020-07-19,74,NA,NA,NA,74,NA,NA,NA
2020-07-26,77,NA,NA,NA,77,NA,NA,NA
2020-08-02,79,NA,NA,NA,79,NA,NA,NA
2020-08-09,82,NA,NA,NA,82,NA,NA,NA
2020-08-16,88,NA,NA,NA,88,NA,NA,NA
2020-08-23,94,NA,NA,NA,94,NA,NA,NA
2020-08-30,103,NA,NA,NA,103,NA,NA,NA
2020-09-06,106,NA,NA,NA,106,NA,NA,NA
2020-09-13,121,NA,NA,NA,121,NA,NA,NA
2020-09-20,124,NA,NA,NA,124,NA,NA,NA
2020-09-27,127,NA,NA,NA,127,NA,NA,NA
2020-10-04,135,NA,NA,NA,135,NA,NA,NA
2020-10-11,139,NA,NA,NA,139,NA,NA,NA
2020-10-18,140,NA,NA,NA,140,NA,NA,NA
2020-10-25,147,NA,NA,NA,147,NA,NA,NA
2020-11-01,154,NA,NA,NA,154,NA,NA,NA
2020-11-08,155,NA,NA,NA,155,NA,NA,NA
2020-11-15,159,NA,NA,NA,159,NA,NA,NA
2020-11-22,163,NA,NA,NA,163,NA,NA,NA
2020-11-29,169,NA,NA,NA,169,NA,NA,NA
2020-12-06,171,NA,NA,NA,171,NA,NA,NA
2020-12-13,176,NA,NA,NA,176,NA,NA,NA
2020-12-20,178,NA,NA,NA,178,NA,NA,NA
2020-12-27,185,NA,NA,NA,185,NA,NA,NA
2021-01-03,192,NA,NA,NA,192,NA,NA,NA
2021-01-10,206,NA,NA,NA,206,NA,NA,NA
2021-01-17,224,NA,NA,NA,224,NA,NA,NA
2021-01-24,237,NA,NA,NA,237,NA,NA,NA
2021-01-31,260,NA,NA,NA,260,NA,NA,NA
2021-02-07,273,NA,NA,NA,273,NA,NA,NA
2021-02-14,282,NA,NA,NA,282,NA,NA,NA
2021-02-21,287,NA,NA,NA,287,NA,NA,NA
2021-02-28,299,NA,NA,NA,299,NA,NA,NA
2021-03-07,308,NA,NA,NA,308,NA,NA,NA
2021-03-14,332,NA,NA,NA,332,NA,NA,NA
2021-03-21,349,NA,NA,NA,349,NA,NA,NA
2021-03-28,401,NA,NA,NA,401,NA,NA,NA
2021-04-04,444,NA,NA,NA,444,NA,NA,NA
2021-04-11,484,NA,NA,NA,484,NA,NA,NA
2021-04-18,528,NA,NA,NA,528,NA,NA,NA
2021-04-25,580,NA,NA,NA,580,NA,NA,NA
2021-05-02,619,NA,NA,NA,619,NA,NA,NA
2021-05-09,650,NA,NA,NA,650,NA,NA,NA
2021-05-16,694,NA,NA,NA,694,NA,NA,NA
2021-05-23,718,NA,NA,NA,718,NA,NA,NA
2021-05-30,761,NA,NA,NA,761,NA,NA,NA
2021-06-06,796,NA,NA,NA,796,NA,NA,NA
2021-06-13,850,NA,NA,NA,850,NA,NA,NA
2021-06-20,877,NA,NA,NA,877,NA,NA,NA
2021-06-27,913,NA,NA,NA,913,NA,NA,NA
2021-07-04,940,NA,NA,NA,940,NA,NA,NA
2021-07-11,960,NA,NA,NA,960,NA,NA,NA
2021-07-18,973,NA,NA,NA,973,NA,NA,NA
2021-07-25,984,NA,NA,NA,984,NA,NA,NA
2021-08-01,998,NA,NA,NA,998,NA,NA,NA
2021-08-08,1012,NA,NA,NA,1012,NA,NA,NA
2021-08-15,1017,NA,NA,NA,1017,NA,NA,NA
2021-08-22,1030,NA,NA,NA,1030,NA,NA,NA
2021-08-29,1042,NA,NA,NA,1042,NA,NA,NA
2021-09-05,1048,NA,NA,NA,1048,NA,NA,NA
2021-09-12,1055,NA,NA,NA,1055,NA,NA,NA
2021-09-19,1065,NA,NA,NA,1065,NA,NA,NA
2021-09-26,1072,NA,NA,NA,1072,NA,NA,NA
2021-10-03,1081,NA,NA,NA,1081,NA,NA,NA
2021-10-10,1092,NA,NA,NA,1092,NA,NA,NA
2021-10-17,1097,NA,NA,NA,1097,NA,NA,NA
2021-10-24,1104,NA,NA,NA,1103,NA,NA,NA
2021-10-31,1111,1111,1107,1130,1107,1107,1107,1107
2021-11-07,NA,1118,1112,1141,NA,1107,1107,1107
