"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,1,NA,1,NA,NA,NA
2020-03-22,1,NA,1,NA,NA,NA
2020-03-29,5,NA,5,NA,NA,NA
2020-04-05,6,NA,6,NA,NA,NA
2020-04-12,2,NA,2,NA,NA,NA
2020-04-19,2,NA,2,NA,NA,NA
2020-04-26,2,NA,2,NA,NA,NA
2020-05-03,3,NA,3,NA,NA,NA
2020-05-17,3,NA,3,NA,NA,NA
2020-05-24,2,NA,2,NA,NA,NA
2020-05-31,2,NA,2,NA,NA,NA
2020-06-07,5,NA,5,NA,NA,NA
2020-06-14,5,NA,5,NA,NA,NA
2020-06-21,9,NA,9,NA,NA,NA
2020-06-28,7,NA,7,NA,NA,NA
2020-07-05,9,NA,9,NA,NA,NA
2020-07-12,7,NA,7,NA,NA,NA
2020-07-19,2,NA,2,NA,NA,NA
2020-07-26,3,NA,3,NA,NA,NA
2020-08-02,2,NA,2,NA,NA,NA
2020-08-09,3,NA,3,NA,NA,NA
2020-08-16,6,NA,6,NA,NA,NA
2020-08-23,6,NA,6,NA,NA,NA
2020-08-30,9,NA,9,NA,NA,NA
2020-09-06,3,NA,3,NA,NA,NA
2020-09-13,15,NA,15,NA,NA,NA
2020-09-20,3,NA,3,NA,NA,NA
2020-09-27,3,NA,3,NA,NA,NA
2020-10-04,8,NA,8,NA,NA,NA
2020-10-11,4,NA,4,NA,NA,NA
2020-10-18,1,NA,1,NA,NA,NA
2020-10-25,7,NA,7,NA,NA,NA
2020-11-01,7,NA,7,NA,NA,NA
2020-11-08,1,NA,1,NA,NA,NA
2020-11-15,4,NA,4,NA,NA,NA
2020-11-22,4,NA,4,NA,NA,NA
2020-11-29,6,NA,6,NA,NA,NA
2020-12-06,2,NA,2,NA,NA,NA
2020-12-13,5,NA,5,NA,NA,NA
2020-12-20,2,NA,2,NA,NA,NA
2020-12-27,7,NA,7,NA,NA,NA
2021-01-03,7,NA,7,NA,NA,NA
2021-01-10,14,NA,14,NA,NA,NA
2021-01-17,18,NA,18,NA,NA,NA
2021-01-24,13,NA,13,NA,NA,NA
2021-01-31,23,NA,23,NA,NA,NA
2021-02-07,13,NA,13,NA,NA,NA
2021-02-14,9,NA,9,NA,NA,NA
2021-02-21,5,NA,5,NA,NA,NA
2021-02-28,11,NA,11,NA,NA,NA
2021-03-07,9,NA,9,NA,NA,NA
2021-03-14,24,NA,24,NA,NA,NA
2021-03-21,17,NA,17,NA,NA,NA
2021-03-28,52,NA,52,NA,NA,NA
2021-04-04,43,NA,43,NA,NA,NA
2021-04-11,40,NA,40,NA,NA,NA
2021-04-18,44,NA,44,NA,NA,NA
2021-04-25,52,NA,52,NA,NA,NA
2021-05-02,39,NA,39,NA,NA,NA
2021-05-09,31,NA,31,NA,NA,NA
2021-05-16,43,NA,43,NA,NA,NA
2021-05-23,24,NA,24,NA,NA,NA
2021-05-30,43,NA,43,NA,NA,NA
2021-06-06,35,NA,35,NA,NA,NA
2021-06-13,54,NA,54,NA,NA,NA
2021-06-20,27,NA,27,NA,NA,NA
2021-06-27,36,NA,36,NA,NA,NA
2021-07-04,27,NA,27,NA,NA,NA
2021-07-11,20,NA,20,NA,NA,NA
2021-07-18,13,NA,13,NA,NA,NA
2021-07-25,11,NA,11,NA,NA,NA
2021-08-01,NA,14,14,NA,14,15
2021-08-08,NA,14,14,NA,14,15
2021-08-15,NA,5,5,NA,5,6
2021-08-22,NA,12,12,NA,12,14
2021-08-29,NA,12,12,NA,12,14
2021-09-05,NA,5,5,NA,5,6
2021-09-12,NA,6,6,NA,6,7
2021-09-19,NA,7,7,NA,7,8
2021-09-26,NA,10,10,NA,6,15
