"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
78,85,1.11196539758651,0.3368001278221,0.55154250939832,0.622711118420733,0.870522155479118,1.0766953507923,1.31455183589445,1.720487126847,1.86111866455573,2020-03-22
85,92,1.4108653173352,0.393106013585229,0.750847119261553,0.83290004816307,1.13088164158473,1.37322818850652,1.65302337363088,2.11381450798295,2.27656778669269,2020-03-29
92,99,1.17577813703315,0.286154405521799,0.681553937873032,0.749413899922357,0.971889914920704,1.15226979040291,1.35483116640472,1.68023153942383,1.79705431818022,2020-04-05
99,106,1.05217544192342,0.254460597197348,0.613764886142938,0.672463441538592,0.871428714582819,1.03119184815389,1.20950931142231,1.50576462816735,1.60780326042818,2020-04-12
106,113,1.05029823160353,0.25503872228418,0.613448289451382,0.672001609170418,0.869576064416369,1.02698726585829,1.20894689703231,1.5025523151496,1.60772851977947,2020-04-19
113,120,1.11358913528408,0.262802718140061,0.655898900060178,0.718693338746095,0.926794541611717,1.09366152559516,1.27859400944168,1.57511264826265,1.68377739893386,2020-04-26
120,127,1.05890937432195,0.244374538052009,0.635814054817228,0.692990056555477,0.884576315898365,1.03960479469129,1.21346247216145,1.48654375101914,1.58839964732641,2020-05-03
127,134,0.849297330020171,0.22636582477744,0.465214537043015,0.514652291682712,0.688457785500436,0.829079116706592,0.988747695078066,1.25349095172059,1.34861294034202,2020-05-10
134,141,0.835374763273574,0.281800208573792,0.381027112963467,0.434032261324379,0.631217929060313,0.802088237568709,1.00220665482863,1.34750682840849,1.47460556429827,2020-05-17
141,148,1.46851364660391,0.368823951242352,0.839424986884215,0.919502616000324,1.20444902530784,1.43739651315952,1.6978856711754,2.12528740713875,2.28147045937497,2020-05-24
148,155,1.07426177877176,0.26036051500559,0.626062139664145,0.686755494058674,0.887917865351251,1.05217707075587,1.23724467138838,1.53762004407605,1.64210018434991,2020-05-31
155,162,1.38054209952255,0.272527461221552,0.897437808888375,0.9630222194964,1.18812027170151,1.36416623571048,1.55234948929817,1.85426251591979,1.96267510310679,2020-06-07
162,169,0.982963474471877,0.194043838944577,0.64080840290071,0.686320535151116,0.846213423423839,0.969489763685969,1.10532829522033,1.32413427255843,1.40178707158505,2020-06-14
169,176,1.37527862348187,0.231075104319857,0.963508229535238,1.02172461734253,1.21344114763819,1.36122581408028,1.52267205553075,1.7774420692571,1.86520199843263,2020-06-21
176,183,1.09900721526543,0.165544798241112,0.799561834096645,0.842483557573251,0.983187139687732,1.09052483253929,1.20562565897433,1.38530472528614,1.4483878125715,2020-06-28
183,190,0.961044573409185,0.149481335994877,0.692751789227584,0.730165289338506,0.856011658421615,0.952754991658285,1.05741248100634,1.21999377129365,1.2751091234295,2020-07-05
190,197,1.08749790120662,0.164906085620581,0.78715923046909,0.829982939310694,0.972011954899222,1.08029023868004,1.19367708509675,1.37088583357868,1.43461300738181,2020-07-12
197,204,0.938234763831362,0.146474846233938,0.67364192096378,0.710945026502708,0.835464627349243,0.930190549358678,1.03320431898667,1.19018522097392,1.24487036118871,2020-07-19
204,211,1.00491924882822,0.165530816095426,0.707979165832572,0.749923600998597,0.889113712731023,0.995870766251657,1.11051986739847,1.29127293926854,1.35834957701882,2020-07-26
211,218,1.06293159653725,0.165955915331165,0.764987328285496,0.807396165129676,0.946934587250478,1.05323973902239,1.16908701909881,1.35189084776915,1.41344423634819,2020-08-02
218,225,1.25293708907516,0.170668233645559,0.940777977452117,0.985267477517581,1.13465835130346,1.24558350754996,1.36250652828337,1.54653530870064,1.61152962657577,2020-08-09
225,232,1.03977818950132,0.134439355294212,0.79342135739413,0.828728681382444,0.946472487975009,1.03438668578202,1.12607761898176,1.27067794558175,1.32134010811529,2020-08-16
232,239,0.98595132230729,0.130656278408926,0.748791905975768,0.781784145248376,0.89416361702682,0.980071441978099,1.07151653187526,1.20918585679732,1.25638119882347,2020-08-23
239,246,1.07403614267351,0.138197876019237,0.820124793546704,0.857764159269817,0.977818090391292,1.06877594046929,1.16362367164993,1.31242424001567,1.36252941252657,2020-08-30
246,253,0.909045672107712,0.122905385773118,0.68613147574934,0.716991464055861,0.8236429123683,0.902916644723586,0.988043306155821,1.12194469835787,1.16442304354272,2020-09-06
253,260,0.950642698038723,0.138149996248629,0.700995022130699,0.736444898096239,0.852985304525974,0.944361337943949,1.03952279695959,1.18993073617049,1.24064968911046,2020-09-13
260,267,1.04094968325092,0.147754856817428,0.77245459786657,0.810851048128478,0.937857177814447,1.03389614895505,1.13735191848021,1.29582953582836,1.34769739562286,2020-09-20
267,274,0.926914060599525,0.137696000741901,0.675924837398152,0.71363431929739,0.830822526688494,0.92000994062592,1.01591921585701,1.16296617149806,1.21661474703979,2020-09-27
274,281,1.07654214619728,0.16114104464162,0.784945111347416,0.825967853410425,0.963560962642058,1.0684949390495,1.18092318329481,1.35272568163725,1.41215331109125,2020-10-04
281,288,1.14332878724546,0.152744115956591,0.863702772840997,0.904359778775004,1.03699261540649,1.13701936229036,1.24215439015745,1.4054597232896,1.46119241126398,2020-10-11
288,295,1.01896344488956,0.134849008495475,0.772622228771833,0.80831334751476,0.926090479644031,1.01197237516684,1.10585420008202,1.25109848078007,1.30220494893176,2020-10-18
295,302,0.943659036714465,0.129823663005565,0.70597583169181,0.741167231436837,0.853101076997941,0.937066981520875,1.02799345289222,1.16768001418711,1.21254070840439,2020-10-25
302,309,0.838044643287932,0.135333002598836,0.593843428566468,0.630002375921724,0.74341996294351,0.830240288571706,0.925474256689327,1.07122029495497,1.12459224173872,2020-11-01
309,316,1.07640172185567,0.172705560952102,0.76732022881595,0.810347929567493,0.95566436336117,1.06612091338836,1.18667814166824,1.37630206491397,1.44256006658916,2020-11-08
316,323,1.14735903096669,0.165727421645895,0.84505916308145,0.888644681771314,1.03207101942996,1.13877393856363,1.25511471760771,1.43332181287991,1.49148619798165,2020-11-15
323,330,1.10015427141642,0.150066285254013,0.825038749471453,0.865450939362281,0.995423313944769,1.0932604645621,1.1977018178383,1.35748606750134,1.41158691371409,2020-11-22
330,337,0.927440038171219,0.13135645880863,0.688016610426554,0.722875003577313,0.835555339831725,0.921391033912561,1.01135658842653,1.1526353026354,1.20194912447388,2020-11-29
337,344,0.991712777808365,0.148383364603893,0.723652239313691,0.760955621186907,0.888129573310678,0.983894277599888,1.08744255071873,1.24824109684837,1.30417613369228,2020-12-06
344,351,1.19496254852234,0.157847007378248,0.908413162770327,0.949723584687518,1.0851150575582,1.18647017411602,1.29591568170789,1.47064363362904,1.52699318614142,2020-12-13
351,358,1.24310030920218,0.14133054636181,0.981819338010339,1.02073405974599,1.14489128284672,1.23771870182102,1.33534977916536,1.48463743758813,1.53665405314133,2020-12-20
358,365,1.10875795300101,0.114561887533834,0.89480338071598,0.927182187742028,1.0288748493957,1.10468429379124,1.18368486709531,1.30281522392125,1.34514114754753,2020-12-27
365,372,1.01173834751804,0.103050610777887,0.820189488456155,0.848595466532758,0.940830717959348,1.00801425926459,1.07915368414313,1.18607253624477,1.2247416205401,2021-01-03
372,379,1.00836445817149,0.101947669604536,0.817672338183498,0.846797060961375,0.937417031803598,1.005907511294,1.07515794494072,1.18102888160045,1.21731198830608,2021-01-10
