"dt_evoluca","n.casos"
2020-02-02,1
2020-03-22,1
2020-03-29,4
2020-04-05,3
2020-04-12,2
2020-04-19,3
2020-04-26,2
2020-05-03,3
2020-05-24,1
2020-06-07,1
2020-06-14,1
2020-07-05,1
2020-07-12,2
2020-07-19,2
2020-07-26,2
2020-08-02,4
2020-08-09,3
2020-08-16,5
2020-08-23,2
2020-08-30,2
2020-09-06,1
2020-09-13,2
2020-09-20,3
2020-09-27,3
2020-10-04,3
2020-10-11,1
2020-10-18,2
2020-10-25,4
2020-11-01,2
2020-11-08,1
2020-11-15,2
2020-11-22,3
2020-11-29,2
2020-12-06,1
2020-12-13,3
2020-12-20,9
2020-12-27,5
2021-01-03,2
2021-01-10,2
2021-01-17,3
2021-01-24,7
2021-01-31,3
2021-02-07,5
2021-02-14,7
2021-02-21,7
2021-02-28,8
2021-03-07,6
2021-03-14,17
2021-03-21,13
2021-03-28,16
2021-04-04,27
2021-04-11,16
2021-04-18,17
2021-04-25,16
2021-05-02,23
2021-05-09,20
2021-05-16,20
2021-05-23,18
2021-05-30,22
2021-06-06,27
2021-06-13,34
2021-06-20,19
2021-06-27,19
2021-07-04,13
2021-07-11,10
2021-07-18,10
2021-07-25,5
2021-08-01,4
2021-08-08,7
2021-08-15,10
2021-08-22,2
2021-08-29,5
2021-09-05,6
2021-09-12,3
2021-09-19,1
2021-09-26,2
2021-10-10,2
2021-10-17,2
2021-10-24,1
