"dt_notific","n.notific"
2020-04-05,5
2020-04-12,1
2020-04-19,3
2020-04-26,1
2020-05-10,2
2020-05-31,3
2020-06-07,2
2020-06-28,1
2020-07-05,1
2020-07-12,3
2020-07-19,3
2020-07-26,4
2020-08-02,5
2020-08-16,2
2020-08-23,5
2020-08-30,3
2020-09-06,6
2020-09-13,7
2020-09-20,3
2020-09-27,2
2020-10-04,5
2020-10-11,4
2020-10-18,2
2020-10-25,1
2020-11-01,2
2020-11-08,2
2020-11-15,2
2020-11-29,2
2020-12-06,3
2020-12-13,11
2020-12-20,9
2020-12-27,9
2021-01-03,11
2021-01-10,8
2021-01-17,6
2021-01-24,6
2021-01-31,11
2021-02-07,9
2021-02-14,4
2021-02-21,13
2021-02-28,8
2021-03-07,11
2021-03-14,28
2021-03-21,31
2021-03-28,18
2021-04-04,20
2021-04-11,18
2021-04-18,24
2021-04-25,24
2021-05-02,18
2021-05-09,24
2021-05-16,26
2021-05-23,25
2021-05-30,29
2021-06-06,28
2021-06-13,21
2021-06-20,28
2021-06-27,19
2021-07-04,21
2021-07-11,9
2021-07-18,7
2021-07-25,12
2021-08-01,6
2021-08-08,10
2021-08-15,11
2021-08-22,3
2021-08-29,11
2021-09-05,1
2021-09-12,2
2021-09-19,2
2021-09-26,1
