"dt_notific","n.notific"
2020-02-02,1
2020-03-01,1
2020-03-15,1
2020-03-29,6
2020-04-05,1
2020-04-12,2
2020-04-19,3
2020-04-26,2
2020-05-03,2
2020-05-24,2
2020-05-31,1
2020-06-07,1
2020-06-28,1
2020-07-05,1
2020-07-12,3
2020-07-19,4
2020-07-26,1
2020-08-02,6
2020-08-09,3
2020-08-16,2
2020-08-23,2
2020-08-30,2
2020-09-06,3
2020-09-13,4
2020-09-20,3
2020-09-27,1
2020-10-04,4
2020-10-11,3
2020-10-18,1
2020-10-25,1
2020-11-01,3
2020-11-08,1
2020-11-15,3
2020-11-29,1
2020-12-06,1
2020-12-13,12
2020-12-20,5
2020-12-27,1
2021-01-03,5
2021-01-10,5
2021-01-17,3
2021-01-24,4
2021-01-31,8
2021-02-07,7
2021-02-14,4
2021-02-21,9
2021-02-28,5
2021-03-07,10
2021-03-14,23
2021-03-21,22
2021-03-28,15
2021-04-04,17
2021-04-11,18
2021-04-18,21
2021-04-25,20
2021-05-02,18
2021-05-09,20
2021-05-16,23
2021-05-23,21
2021-05-30,26
2021-06-06,25
2021-06-13,21
2021-06-20,25
2021-06-27,17
2021-07-04,11
2021-07-11,7
2021-07-18,5
2021-07-25,8
2021-08-01,2
2021-08-08,3
2021-08-15,7
2021-08-22,1
2021-08-29,8
2021-09-05,2
2021-09-12,1
2021-09-19,1
2021-10-03,2
2021-10-10,2
2021-10-17,1
2021-10-24,1
2021-10-31,1
