"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.0278249334878462,0.139975463619153,0.208573768296551,0.0191098296746561,0.00071894541714116,1.42690341355642e-08,0.00134109695522103,0.00031688287326765,9.8700619090437e-06,0.000492454181193359,-2.66143179287565,-1.04589715227419,-0.64707151621617,-3.03716145433887,-6.31733413876689,-17.1447831133907,-5.6938763972877,-7.13658735800183,-10.6056134527707,-6.69571815546827,-0.920390979321641,4.78466116217322
0.0317472273297421,0.159706863847289,0.237975010435295,0.0218036139126426,0.000820290320033517,1.62804439649595e-08,0.00153014237849747,0.000361551721908848,1.1261378192401e-05,0.000561872136968683,-2.66143179287565,-1.04589715227419,-0.64707151621617,-3.03716145433887,-6.31733413876689,-17.1447831133907,-5.6938763972877,-7.13658735800183,-10.6056134527707,-6.69571815546827,-0.788518092778218,1.21076480252233
0.00436656365060115,0.0219663336008481,0.0327314577592948,0.00299890339946294,0.000112824022620795,2.23923790555534e-09,0.000210458192798839,4.97283932956375e-05,1.54890769388679e-06,7.72807786988864e-05,-2.66143179287565,-1.04589715227419,-0.64707151621617,-3.03716145433887,-6.31733413876689,-17.1447831133907,-5.6938763972877,-7.13658735800183,-10.6056134527707,-6.69571815546827,-2.77234713631116,0.452574110322817
0.00729052415202776,0.0366755413324696,0.0546492625367692,0.0050070443059665,0.000188373816956175,3.73868775057013e-09,0.000351386275425257,8.3027772265147e-05,2.58609512081396e-06,0.000129029925743594,-2.66143179287565,-1.04589715227419,-0.64707151621617,-3.03716145433887,-6.31733413876689,-17.1447831133907,-5.6938763972877,-7.13658735800183,-10.6056134527707,-6.69571815546827,-2.25974804252963,0.965800093611854
0.00558313302485445,0.028086379216064,0.0418507772679299,0.00383442861426852,0.000144257951353661,2.86311252998472e-09,0.000269094001733976,6.35832332006889e-05,1.98044924800305e-06,9.88119954877608e-05,-2.66143179287565,-1.04589715227419,-0.64707151621617,-3.03716145433887,-6.31733413876689,-17.1447831133907,-5.6938763972877,-7.13658735800183,-10.6056134527707,-6.69571815546827,-2.52657339329256,0.411814863313806
0.00517466479500526,0.0260315484337439,0.0387889277951798,0.00355389754657214,0.000133703878977311,2.65364402873718e-09,0.000249406784886017,5.89314130491799e-05,1.83555737545823e-06,9.15827998542205e-05,-2.66143179287565,-1.04589715227419,-0.64707151621617,-3.03716145433887,-6.31733413876689,-17.1447831133907,-5.6938763972877,-7.13658735800183,-10.6056134527707,-6.69571815546827,-2.60254892296501,1.3419662759664
0.00566756369257456,0.0285111141705235,0.0424836636873662,0.00389241458142828,0.000146439485467662,2.90640981514491e-09,0.000273163363174002,6.4544767667276e-05,2.01039849901503e-06,0.000100306275262333,-2.66143179287565,-1.04589715227419,-0.64707151621617,-3.03716145433887,-6.31733413876689,-17.1447831133907,-5.6938763972877,-7.13658735800183,-10.6056134527707,-6.69571815546827,-2.51156414455667,1.351918682641
0.00726732025931365,0.0365588123691516,0.0544753277690672,0.00499110815151893,0.000187774270785331,3.72678845394251e-09,0.000350267901867176,8.27635158852547e-05,2.57786423473766e-06,0.000128619256155039,-2.66143179287565,-1.04589715227419,-0.64707151621617,-3.03716145433887,-6.31733413876689,-17.1447831133907,-5.6938763972877,-7.13658735800183,-10.6056134527707,-6.69571815546827,-2.26293586508203,4.44075956287
0.0072988216522194,0.0296918580943353,0.0389362878459279,0.00663687916122678,0.000304920647554237,3.24212213356215e-09,0.000202355334911164,5.30899253442658e-05,4.9070588100815e-06,0.000156638822933259,-2.43456468999601,-1.03140473762893,-0.760350942316544,-2.52963576045532,-5.6099813157956,-17.061560070688,-6.02000765085499,-7.35804570621536,-9.73935814462703,-6.27609022231615,-2.48547767136518,2.05644883274286
0.00181362848216855,0.0196622620946525,0.0318392012904616,0.00155898499795159,0.000116120427710052,2.02427304842234e-09,6.61345335838122e-05,2.92487965063087e-05,5.6987080600813e-06,0.000122903887079413,-3.41589037444285,-1.03251873043375,-0.550521623736453,-3.56718493213629,-6.16434735578666,-17.1215198095904,-6.72728412331482,-7.54313675053365,-9.17873568525753,-6.10757253422427,-2.89653537968271,0.772501440902862
