"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
1.73337880550243,1.09080203889811,1.68357631308393e-09,0.00120376423571429,4.0710275061235e-14,0.00833735573961189,3.19455429093833e-08,0.00537663991510753,1.64584890472723e-09,0.274047205276066,-1.72230959945966,-2.18546892881414,-22.4747277183161,-8.99468393876184,-33.104678045796,-7.0593913404639,-19.5316153378865,-7.49807382099552,-22.4973917043105,-3.56683707538201,2.27238216997854,3.12861260835344
0.586473081733504,0.36906302954843,5.6962285770055e-10,0.000407282769789785,1.37739543125778e-14,0.00282086910177803,1.08084862571545e-08,0.0018191376116835,5.56858129428498e-10,0.0927213996781982,-1.72230959945966,-2.18546892881414,-22.4747277183161,-8.99468393876184,-33.104678045796,-7.0593913404639,-19.5316153378865,-7.49807382099552,-22.4973917043105,-3.56683707538201,1.18868109107022,2.63476161134491
0.782359653951633,0.384136026977212,6.1561610114037e-10,0.000422153303703198,8.62161046024521e-15,0.0034599543795134,1.48832619258726e-08,0.00387822191898014,4.33094258218012e-10,0.0867708037101492,-1.53056627807403,-2.24188410164931,-22.4935231085547,-9.05526758042818,-33.6696300487983,-6.9516254245588,-19.3081541655649,-6.83750404813569,-22.8451912746482,-3.72961062613242,1.28512554944764,2.28810352414289
0.644160826969948,0.316280855686723,5.06871455862565e-10,0.000347582623730695,7.09865813738348e-15,0.00284877557671632,1.22542289364696e-08,0.00319315883160006,3.56590928635615e-10,0.0714432964333718,-1.53056627807403,-2.24188410164931,-22.4935231085547,-9.05526758042818,-33.6696300487983,-6.9516254245588,-19.3081541655649,-6.83750404813569,-22.8451912746482,-3.72961062613242,1.09075942533836,2.91189481235903
1.3092291707702,0.642827233641354,1.03019442980967e-09,0.000706446730673828,1.44277172992721e-14,0.00579001381310123,2.49061931697855e-08,0.00648995796422177,7.24755722880308e-10,0.14520542670459,-1.53056627807403,-2.24188410164931,-22.4935231085547,-9.05526758042818,-33.6696300487983,-6.9516254245588,-19.3081541655649,-6.83750404813569,-22.8451912746482,-3.72961062613242,1.80000482284115,7.91172616767629
1.21386459140643,0.596003537600639,9.55154810577919e-10,0.00065498897460047,1.33767987724453e-14,0.00536826776273483,2.30920198468736e-08,0.00601722780729863,6.71964335247765e-10,0.134628627204413,-1.53056627807403,-2.24188410164931,-22.4935231085547,-9.05526758042818,-33.6696300487983,-6.9516254245588,-19.3081541655649,-6.83750404813569,-22.8451912746482,-3.72961062613242,1.72437542528645,29.4549874163036
1.24437983482003,0.610986422144766,9.79166369815083e-10,0.000671454689256498,1.37130770307665e-14,0.00550322021018979,2.36725282590372e-08,0.0061684944086269,6.8885679211693e-10,0.138013045333639,-1.53056627807403,-2.24188410164931,-22.4935231085547,-9.05526758042818,-33.6696300487983,-6.9516254245588,-19.3081541655649,-6.83750404813569,-22.8451912746482,-3.72961062613242,1.74920355924286,59.8829752214601
1.37569254098809,0.675460530675601,1.08249252651688e-09,0.00074230968854878,1.51601442400012e-14,0.00608394541821543,2.61705627502371e-08,0.00681942242201477,7.61548141658289e-10,0.152576819160684,-1.53056627807403,-2.24188410164931,-22.4935231085547,-9.05526758042818,-33.6696300487983,-6.9516254245588,-19.3081541655649,-6.83750404813569,-22.8451912746482,-3.72961062613242,1.84952354856848,45.159633341309
1.47986214247096,0.726607463730386,1.16446056205952e-09,0.000798518544909563,1.6308094190191e-14,0.00654463132787649,2.81522388959233e-08,0.00733579980640794,8.19213763927045e-10,0.164130175723973,-1.53056627807403,-2.24188410164931,-22.4935231085547,-9.05526758042818,-33.6696300487983,-6.9516254245588,-19.3081541655649,-6.83750404813569,-22.8451912746482,-3.72961062613242,1.92251521453252,34.1722314213233
1.47053904592346,0.722029853869255,1.15712448801973e-09,0.000793487896935335,1.62053535819429e-14,0.00650340030507616,2.79748804557536e-08,0.00728958444087799,8.14052736561767e-10,0.163096159493193,-1.53056627807403,-2.24188410164931,-22.4935231085547,-9.05526758042818,-33.6696300487983,-6.9516254245588,-19.3081541655649,-6.83750404813569,-22.8451912746482,-3.72961062613242,1.91619530955454,32.5902345074761
1.70171579758668,0.835536881570476,1.33903076324032e-09,0.000918228518414307,1.87529234754542e-14,0.00752577027305546,3.23726841113965e-08,0.00843554683928452,9.42026262897291e-10,0.188735764551558,-1.53056627807403,-2.24188410164931,-22.4935231085547,-9.05526758042818,-33.6696300487983,-6.9516254245588,-19.3081541655649,-6.83750404813569,-22.8451912746482,-3.72961062613242,2.06220331284082,34.2423381343239
2.49342640521857,0.972701245004398,2.27344287179953e-09,0.000569559876554403,2.28408657723823e-14,0.00361931727732297,4.00948581958423e-08,0.0140010991207009,1.50226428419242e-09,0.164111629680845,-1.30841367010148,-2.2497497901799,-22.1240419718632,-9.69271814280932,-33.6322966058894,-7.84354136937507,-19.2540892364172,-6.49069094484631,-22.5383638452469,-4.02927991494152,2.22207150101929,24.9627428639248
2.26724206437254,0.884465318136467,2.06721373412261e-09,0.000517893813749749,2.07689192500119e-14,0.00329100083254217,3.64577630510402e-08,0.0127310277967157,1.36599049797381e-09,0.149224693091563,-1.30841367010148,-2.2497497901799,-22.1240419718632,-9.69271814280932,-33.6322966058894,-7.84354136937507,-19.2540892364172,-6.49069094484631,-22.5383638452469,-4.02927991494152,2.12697781332954,17.5751801993818
