"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
2.93052284458245,2.70785726249778,0.217312643385972,0.00701104232988517,0.005446293014578,0.00574573452036571,0.00472676849424688,0.0336110806804733,4.9257632975613e-07,0.0654051635184723,-1.88344671164267,-1.96246991990641,-4.48504577340179,-7.91889646113896,-8.17144764654844,-8.11792508600663,-8.31314106756887,-6.35152704822439,-17.4822439680689,-5.68578163475593,2.95862756400217,126.195164163687
3.01917987462697,2.78977799658158,0.223886997033937,0.00722314720790485,0.0056110595729815,0.00591956007471742,0.00486976729638304,0.0346279158145949,5.07478228421462e-07,0.0673838641990842,-1.88344671164267,-1.96246991990641,-4.48504577340179,-7.91889646113896,-8.17144764654844,-8.11792508600663,-8.31314106756887,-6.35152704822439,-17.4822439680689,-5.68578163475593,2.98843194145602,129.968505454045
2.48515649723926,2.29633052748023,0.184286544171211,0.00594553884155651,0.00461859237714825,0.00487252624598915,0.00400841762968655,0.0285030351108601,4.17717018839392e-07,0.0554652107119428,-1.88344671164267,-1.96246991990641,-4.48504577340179,-7.91889646113896,-8.17144764654844,-8.11792508600663,-8.31314106756887,-6.35152704822439,-17.4822439680689,-5.68578163475593,2.79378234596455,85.1432116497268
3.26715328958503,2.91382449760411,0.217848161161798,0.00656968516540365,0.0086628377465043,0.00416514082070507,0.00429669154018615,0.0189532355102208,5.10484695522784e-07,0.0606957483795509,-1.81735929538436,-1.93181186885362,-4.52523531479777,-8.02656771516161,-7.74999127322865,-8.48228354093939,-8.45118830918678,-6.96705897020028,-17.4891835266763,-5.80315997403823,3.00127834749791,167.196348651236
3.38338058860278,3.01748230645192,0.225597997525011,0.00680339833846044,0.00897101374679019,0.00431331356459264,0.00444954413330451,0.0196274871218677,5.28644926185866e-07,0.0628549684316079,-1.81735929538436,-1.93181186885362,-4.52523531479777,-8.02656771516161,-7.74999127322865,-8.48228354093939,-8.45118830918678,-6.96705897020028,-17.4891835266763,-5.80315997403823,3.03623467918122,109.170851479539
3.59205283273881,3.20358753110479,0.239511903804051,0.00722300244797748,0.00952430697576476,0.00457934004243492,0.0047239727219199,0.0208380254214217,5.61249452992555e-07,0.0667315903410395,-1.81735929538436,-1.93181186885362,-4.52523531479777,-8.02656771516161,-7.74999127322865,-8.48228354093939,-8.45118830918678,-6.96705897020028,-17.4891835266763,-5.80315997403823,3.09608315416236,89.6201925482542
3.62043440200176,3.22889975384697,0.241404338020262,0.0072800729182098,0.00959956053986897,0.00461552237678379,0.00476129782966372,0.0210026710681702,5.65684003642457e-07,0.0672588507521418,-1.81735929538436,-1.93181186885362,-4.52523531479777,-8.02656771516161,-7.74999127322865,-8.48228354093939,-8.45118830918678,-6.96705897020028,-17.4891835266763,-5.80315997403823,3.10395331457552,84.7718227959637
3.75699162662534,3.30401539557368,0.266085927551773,0.00761006127815863,0.00867119034993524,0.00546444412036162,0.00831754881618898,0.0228101360358456,6.79181806267074e-07,0.0379331430384981,-1.85004067878501,-1.97852070130962,-4.49759520309115,-8.05194327145527,-7.921408418985,-8.38315209547263,-7.96304689762967,-6.95420949546966,-17.3760362059465,-6.44558927916516,3.17365921663476,382.331773123622
3.68155348298563,3.23767274358779,0.260743081355124,0.00745725580163316,0.00849707803663917,0.00535472135240505,0.00815053741326776,0.0223521221540688,6.65544242026699e-07,0.037171468225873,-1.85004067878501,-1.97852070130962,-4.49759520309115,-8.05194327145527,-7.921408418985,-8.38315209547263,-7.96304689762967,-6.95420949546966,-17.3760362059465,-6.44558927916516,3.15337548400459,122.669715068331
3.35820212126571,2.95330748982172,0.237841979740038,0.00680228397267677,0.00775077847410789,0.0048844154207018,0.00743467456256921,0.0203889321123512,6.07089397369748e-07,0.0339066929282948,-1.85004067878501,-1.97852070130962,-4.49759520309115,-8.05194327145527,-7.921408418985,-8.38315209547263,-7.96304689762967,-6.95420949546966,-17.3760362059465,-6.44558927916516,3.06144642659552,423.90577153738
