"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-22,1,NA,NA,NA,1,NA,NA,NA
2020-03-29,4,NA,NA,NA,4,NA,NA,NA
2020-04-05,6,NA,NA,NA,6,NA,NA,NA
2020-04-12,7,NA,NA,NA,7,NA,NA,NA
2020-04-19,10,NA,NA,NA,10,NA,NA,NA
2020-05-03,12,NA,NA,NA,12,NA,NA,NA
2020-05-24,15,NA,NA,NA,15,NA,NA,NA
2020-05-31,16,NA,NA,NA,16,NA,NA,NA
2020-06-07,17,NA,NA,NA,17,NA,NA,NA
2020-06-14,18,NA,NA,NA,18,NA,NA,NA
2020-07-05,22,NA,NA,NA,22,NA,NA,NA
2020-07-12,26,NA,NA,NA,26,NA,NA,NA
2020-07-19,31,NA,NA,NA,31,NA,NA,NA
2020-07-26,32,NA,NA,NA,32,NA,NA,NA
2020-08-02,34,NA,NA,NA,34,NA,NA,NA
2020-08-09,36,NA,NA,NA,36,NA,NA,NA
2020-08-16,42,NA,NA,NA,42,NA,NA,NA
2020-08-23,45,NA,NA,NA,45,NA,NA,NA
2020-08-30,51,NA,NA,NA,51,NA,NA,NA
2020-09-06,56,NA,NA,NA,56,NA,NA,NA
2020-09-13,61,NA,NA,NA,61,NA,NA,NA
2020-09-20,63,NA,NA,NA,63,NA,NA,NA
2020-09-27,67,NA,NA,NA,67,NA,NA,NA
2020-10-04,70,NA,NA,NA,70,NA,NA,NA
2020-10-11,72,NA,NA,NA,72,NA,NA,NA
2020-10-18,73,NA,NA,NA,73,NA,NA,NA
2020-10-25,76,NA,NA,NA,76,NA,NA,NA
2020-11-01,80,NA,NA,NA,80,NA,NA,NA
2020-11-08,81,NA,NA,NA,81,NA,NA,NA
2020-11-22,82,NA,NA,NA,82,NA,NA,NA
2020-11-29,87,NA,NA,NA,87,NA,NA,NA
2020-12-06,101,NA,NA,NA,101,NA,NA,NA
2020-12-13,109,NA,NA,NA,109,NA,NA,NA
2020-12-20,123,NA,NA,NA,123,NA,NA,NA
2020-12-27,128,NA,NA,NA,128,NA,NA,NA
2021-01-03,137,NA,NA,NA,137,NA,NA,NA
2021-01-10,142,NA,NA,NA,142,NA,NA,NA
2021-01-17,151,NA,NA,NA,151,NA,NA,NA
2021-01-24,163,NA,NA,NA,163,NA,NA,NA
2021-01-31,168,NA,NA,NA,168,NA,NA,NA
2021-02-07,174,NA,NA,NA,174,NA,NA,NA
2021-02-14,187,NA,NA,NA,187,NA,NA,NA
2021-02-21,196,NA,NA,NA,196,NA,NA,NA
2021-02-28,213,NA,NA,NA,213,NA,NA,NA
2021-03-07,238,NA,NA,NA,238,NA,NA,NA
2021-03-14,271,NA,NA,NA,271,NA,NA,NA
2021-03-21,296,NA,NA,NA,296,NA,NA,NA
2021-03-28,320,NA,NA,NA,320,NA,NA,NA
2021-04-04,329,NA,NA,NA,329,NA,NA,NA
2021-04-11,351,NA,NA,NA,351,NA,NA,NA
2021-04-18,368,NA,NA,NA,368,NA,NA,NA
2021-04-25,396,NA,NA,NA,396,NA,NA,NA
2021-05-02,419,NA,NA,NA,419,NA,NA,NA
2021-05-09,443,NA,NA,NA,443,NA,NA,NA
2021-05-16,468,NA,NA,NA,468,NA,NA,NA
2021-05-23,494,NA,NA,NA,494,NA,NA,NA
2021-05-30,529,NA,NA,NA,529,NA,NA,NA
2021-06-06,553,NA,NA,NA,553,NA,NA,NA
2021-06-13,574,NA,NA,NA,574,NA,NA,NA
2021-06-20,595,NA,NA,NA,595,NA,NA,NA
2021-06-27,607,NA,NA,NA,607,NA,NA,NA
2021-07-04,616,NA,NA,NA,616,NA,NA,NA
2021-07-11,622,NA,NA,NA,622,NA,NA,NA
2021-07-18,636,NA,NA,NA,636,NA,NA,NA
2021-07-25,642,NA,NA,NA,642,NA,NA,NA
2021-08-01,646,NA,NA,NA,646,NA,NA,NA
2021-08-08,656,NA,NA,NA,656,NA,NA,NA
2021-08-15,665,NA,NA,NA,665,NA,NA,NA
2021-08-22,671,NA,NA,NA,671,NA,NA,NA
2021-08-29,674,NA,NA,NA,674,NA,NA,NA
2021-09-05,676,NA,NA,NA,676,NA,NA,NA
2021-09-12,679,NA,NA,NA,679,NA,NA,NA
2021-09-19,682,NA,NA,NA,682,NA,NA,NA
2021-09-26,684,NA,NA,NA,684,NA,NA,NA
2021-10-03,684,NA,NA,NA,684,NA,NA,NA
2021-10-10,685,NA,NA,NA,684,NA,NA,NA
2021-10-17,686,686,684,701,686,686,686,686
2021-10-24,NA,687,684,706,NA,686,686,686
