"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,9,NA,NA,NA,9,NA,NA,NA
2020-03-22,14,NA,NA,NA,14,NA,NA,NA
2020-03-29,21,NA,NA,NA,21,NA,NA,NA
2020-04-05,30,NA,NA,NA,30,NA,NA,NA
2020-04-12,41,NA,NA,NA,41,NA,NA,NA
2020-04-19,56,NA,NA,NA,56,NA,NA,NA
2020-04-26,65,NA,NA,NA,65,NA,NA,NA
2020-05-03,71,NA,NA,NA,71,NA,NA,NA
2020-05-10,73,NA,NA,NA,73,NA,NA,NA
2020-05-17,76,NA,NA,NA,76,NA,NA,NA
2020-05-24,86,NA,NA,NA,86,NA,NA,NA
2020-05-31,90,NA,NA,NA,90,NA,NA,NA
2020-06-07,94,NA,NA,NA,94,NA,NA,NA
2020-06-14,97,NA,NA,NA,97,NA,NA,NA
2020-06-21,99,NA,NA,NA,99,NA,NA,NA
2020-07-05,105,NA,NA,NA,105,NA,NA,NA
2020-07-12,113,NA,NA,NA,113,NA,NA,NA
2020-07-19,119,NA,NA,NA,119,NA,NA,NA
2020-07-26,122,NA,NA,NA,122,NA,NA,NA
2020-08-02,125,NA,NA,NA,125,NA,NA,NA
2020-08-09,130,NA,NA,NA,130,NA,NA,NA
2020-08-16,138,NA,NA,NA,138,NA,NA,NA
2020-08-23,141,NA,NA,NA,141,NA,NA,NA
2020-08-30,148,NA,NA,NA,148,NA,NA,NA
2020-09-06,155,NA,NA,NA,155,NA,NA,NA
2020-09-13,161,NA,NA,NA,161,NA,NA,NA
2020-09-20,164,NA,NA,NA,164,NA,NA,NA
2020-09-27,169,NA,NA,NA,169,NA,NA,NA
2020-10-04,175,NA,NA,NA,175,NA,NA,NA
2020-10-11,177,NA,NA,NA,177,NA,NA,NA
2020-10-18,178,NA,NA,NA,178,NA,NA,NA
2020-10-25,181,NA,NA,NA,181,NA,NA,NA
2020-11-01,185,NA,NA,NA,185,NA,NA,NA
2020-11-08,188,NA,NA,NA,188,NA,NA,NA
2020-11-15,189,NA,NA,NA,189,NA,NA,NA
2020-11-22,190,NA,NA,NA,190,NA,NA,NA
2020-11-29,197,NA,NA,NA,197,NA,NA,NA
2020-12-06,211,NA,NA,NA,211,NA,NA,NA
2020-12-13,221,NA,NA,NA,221,NA,NA,NA
2020-12-20,236,NA,NA,NA,236,NA,NA,NA
2020-12-27,241,NA,NA,NA,241,NA,NA,NA
2021-01-03,250,NA,NA,NA,250,NA,NA,NA
2021-01-10,255,NA,NA,NA,255,NA,NA,NA
2021-01-17,266,NA,NA,NA,266,NA,NA,NA
2021-01-24,280,NA,NA,NA,280,NA,NA,NA
2021-01-31,285,NA,NA,NA,285,NA,NA,NA
2021-02-07,293,NA,NA,NA,293,NA,NA,NA
2021-02-14,307,NA,NA,NA,307,NA,NA,NA
2021-02-21,316,NA,NA,NA,316,NA,NA,NA
2021-02-28,333,NA,NA,NA,333,NA,NA,NA
2021-03-07,359,NA,NA,NA,359,NA,NA,NA
2021-03-14,393,NA,NA,NA,393,NA,NA,NA
2021-03-21,419,NA,NA,NA,419,NA,NA,NA
2021-03-28,445,NA,NA,NA,445,NA,NA,NA
2021-04-04,454,NA,NA,NA,454,NA,NA,NA
2021-04-11,477,NA,NA,NA,477,NA,NA,NA
2021-04-18,494,NA,NA,NA,494,NA,NA,NA
2021-04-25,522,NA,NA,NA,522,NA,NA,NA
2021-05-02,551,NA,NA,NA,551,NA,NA,NA
2021-05-09,581,NA,NA,NA,581,NA,NA,NA
2021-05-16,610,NA,NA,NA,610,NA,NA,NA
2021-05-23,641,NA,NA,NA,641,NA,NA,NA
2021-05-30,683,NA,NA,NA,683,NA,NA,NA
2021-06-06,710,NA,NA,NA,710,NA,NA,NA
2021-06-13,733,NA,NA,NA,733,NA,NA,NA
2021-06-20,757,NA,NA,NA,757,NA,NA,NA
2021-06-27,773,NA,NA,NA,773,NA,NA,NA
2021-07-04,784,NA,NA,NA,784,NA,NA,NA
2021-07-11,791,NA,NA,NA,791,NA,NA,NA
2021-07-18,806,NA,NA,NA,806,NA,NA,NA
2021-07-25,814,NA,NA,NA,814,NA,NA,NA
2021-08-01,824,NA,NA,NA,824,NA,NA,NA
2021-08-08,848,NA,NA,NA,848,NA,NA,NA
2021-08-15,864,NA,NA,NA,864,NA,NA,NA
2021-08-22,876,NA,NA,NA,876,NA,NA,NA
2021-08-29,884,NA,NA,NA,884,NA,NA,NA
2021-09-05,888,NA,NA,NA,888,NA,NA,NA
2021-09-12,894,NA,NA,NA,894,NA,NA,NA
2021-09-19,898,NA,NA,NA,898,NA,NA,NA
2021-09-26,904,NA,NA,NA,904,NA,NA,NA
2021-10-03,911,NA,NA,NA,911,NA,NA,NA
2021-10-10,917,NA,NA,NA,916,NA,NA,NA
2021-10-17,924,924,917,945,921,921,921,921
2021-10-24,NA,930,920,958,NA,922,921,922
