"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-22,1,NA,1,NA,NA,NA
2020-03-29,4,NA,4,NA,NA,NA
2020-04-05,3,NA,3,NA,NA,NA
2020-04-12,2,NA,2,NA,NA,NA
2020-04-19,3,NA,3,NA,NA,NA
2020-04-26,2,NA,2,NA,NA,NA
2020-05-03,3,NA,3,NA,NA,NA
2020-05-24,1,NA,1,NA,NA,NA
2020-06-07,1,NA,1,NA,NA,NA
2020-06-14,1,NA,1,NA,NA,NA
2020-07-05,1,NA,1,NA,NA,NA
2020-07-12,2,NA,2,NA,NA,NA
2020-07-19,2,NA,2,NA,NA,NA
2020-07-26,2,NA,2,NA,NA,NA
2020-08-02,4,NA,4,NA,NA,NA
2020-08-09,3,NA,3,NA,NA,NA
2020-08-16,5,NA,5,NA,NA,NA
2020-08-23,2,NA,2,NA,NA,NA
2020-08-30,2,NA,2,NA,NA,NA
2020-09-06,1,NA,1,NA,NA,NA
2020-09-13,2,NA,2,NA,NA,NA
2020-09-20,3,NA,3,NA,NA,NA
2020-09-27,3,NA,3,NA,NA,NA
2020-10-04,3,NA,3,NA,NA,NA
2020-10-11,1,NA,1,NA,NA,NA
2020-10-18,2,NA,2,NA,NA,NA
2020-10-25,4,NA,4,NA,NA,NA
2020-11-01,2,NA,2,NA,NA,NA
2020-11-08,1,NA,1,NA,NA,NA
2020-11-15,2,NA,2,NA,NA,NA
2020-11-22,3,NA,3,NA,NA,NA
2020-11-29,2,NA,2,NA,NA,NA
2020-12-06,1,NA,1,NA,NA,NA
2020-12-13,3,NA,3,NA,NA,NA
2020-12-20,9,NA,9,NA,NA,NA
2020-12-27,5,NA,5,NA,NA,NA
2021-01-03,2,NA,2,NA,NA,NA
2021-01-10,2,NA,2,NA,NA,NA
2021-01-17,3,NA,3,NA,NA,NA
2021-01-24,7,NA,7,NA,NA,NA
2021-01-31,3,NA,3,NA,NA,NA
2021-02-07,5,NA,5,NA,NA,NA
2021-02-14,7,NA,7,NA,NA,NA
2021-02-21,7,NA,7,NA,NA,NA
2021-02-28,8,NA,8,NA,NA,NA
2021-03-07,6,NA,6,NA,NA,NA
2021-03-14,17,NA,17,NA,NA,NA
2021-03-21,13,NA,13,NA,NA,NA
2021-03-28,16,NA,16,NA,NA,NA
2021-04-04,27,NA,27,NA,NA,NA
2021-04-11,16,NA,16,NA,NA,NA
2021-04-18,17,NA,17,NA,NA,NA
2021-04-25,16,NA,16,NA,NA,NA
2021-05-02,23,NA,23,NA,NA,NA
2021-05-09,20,NA,20,NA,NA,NA
2021-05-16,19,NA,19,NA,NA,NA
2021-05-23,18,NA,18,NA,NA,NA
2021-05-30,22,NA,22,NA,NA,NA
2021-06-06,27,NA,27,NA,NA,NA
2021-06-13,34,NA,34,NA,NA,NA
2021-06-20,19,NA,19,NA,NA,NA
2021-06-27,19,NA,19,NA,NA,NA
2021-07-04,13,NA,13,NA,NA,NA
2021-07-11,10,NA,10,NA,NA,NA
2021-07-18,NA,10,10,NA,10,11
2021-07-25,NA,5,5,NA,5,6
2021-08-01,NA,4,4,NA,4,5
2021-08-08,NA,7,7,NA,7,8
2021-08-15,NA,10,10,NA,10,11
2021-08-22,NA,2,2,NA,2,4
2021-08-29,NA,5,5,NA,5,7
2021-09-05,NA,6,6,NA,6,9
2021-09-12,NA,6,6,NA,3,11
