"dt_evoluca","n.casos"
2020-04-05,2
2020-04-26,1
2020-05-03,1
2020-05-10,3
2020-05-17,2
2020-05-24,1
2020-06-07,1
2020-06-14,2
2020-06-21,4
2020-06-28,3
2020-07-05,2
2020-07-12,5
2020-07-19,5
2020-07-26,10
2020-08-02,10
2020-08-09,7
2020-08-16,9
2020-08-23,18
2020-08-30,7
2020-09-06,10
2020-09-13,9
2020-09-20,11
2020-09-27,7
2020-10-04,10
2020-10-11,7
2020-10-18,6
2020-11-01,2
2020-11-08,3
2020-11-22,5
2020-11-29,3
2020-12-06,11
2020-12-13,9
2020-12-20,7
2020-12-27,8
2021-01-03,5
2021-01-10,7
2021-01-17,7
2021-01-24,9
2021-01-31,6
2021-02-07,10
2021-02-14,7
2021-02-21,6
2021-02-28,11
2021-03-07,22
2021-03-14,23
2021-03-21,30
2021-03-28,50
2021-04-04,40
2021-04-11,34
2021-04-18,41
2021-04-25,30
2021-05-02,24
2021-05-09,33
2021-05-16,26
2021-05-23,25
2021-05-30,19
2021-06-06,33
2021-06-13,27
2021-06-20,34
2021-06-27,21
2021-07-04,14
2021-07-11,12
2021-07-18,15
2021-07-25,10
2021-08-01,3
2021-08-08,8
2021-08-15,4
2021-08-22,4
2021-08-29,7
2021-09-05,4
2021-09-12,3
