"dt_notific","n.notific"
2020-03-29,3
2020-04-05,5
2020-04-12,1
2020-04-19,5
2020-04-26,15
2020-05-03,13
2020-05-10,15
2020-05-17,15
2020-05-24,6
2020-05-31,3
2020-06-07,11
2020-06-14,13
2020-06-21,36
2020-06-28,27
2020-07-05,40
2020-07-12,32
2020-07-19,41
2020-07-26,43
2020-08-02,46
2020-08-09,34
2020-08-16,37
2020-08-23,42
2020-08-30,49
2020-09-06,41
2020-09-13,34
2020-09-20,36
2020-09-27,36
2020-10-04,36
2020-10-11,28
2020-10-18,16
2020-10-25,26
2020-11-01,18
2020-11-08,20
2020-11-15,15
2020-11-22,22
2020-11-29,47
2020-12-06,59
2020-12-13,57
2020-12-20,62
2020-12-27,46
2021-01-03,33
2021-01-10,52
2021-01-17,60
2021-01-24,46
2021-01-31,51
2021-02-07,42
2021-02-14,36
2021-02-21,48
2021-02-28,68
2021-03-07,95
2021-03-14,98
2021-03-21,109
2021-03-28,101
2021-04-04,106
2021-04-11,117
2021-04-18,101
2021-04-25,88
2021-05-02,92
2021-05-09,89
2021-05-16,91
2021-05-23,91
2021-05-30,86
2021-06-06,96
2021-06-13,91
2021-06-20,72
2021-06-27,78
2021-07-04,61
2021-07-11,51
2021-07-18,33
2021-07-25,28
2021-08-01,16
2021-08-08,21
2021-08-15,24
2021-08-22,12
2021-08-29,16
2021-09-05,14
2021-09-12,10
2021-09-19,10
2021-09-26,4
2021-10-03,7
2021-10-10,12
2021-10-17,7
2021-10-24,1
