"dt_notific","n.notific"
2020-01-05,1
2020-02-23,2
2020-03-08,1
2020-03-22,4
2020-03-29,18
2020-04-05,24
2020-04-12,19
2020-04-19,15
2020-04-26,27
2020-05-03,29
2020-05-10,29
2020-05-17,39
2020-05-24,17
2020-05-31,10
2020-06-07,20
2020-06-14,25
2020-06-21,50
2020-06-28,42
2020-07-05,60
2020-07-12,51
2020-07-19,62
2020-07-26,65
2020-08-02,65
2020-08-09,52
2020-08-16,59
2020-08-23,50
2020-08-30,63
2020-09-06,55
2020-09-13,53
2020-09-20,45
2020-09-27,52
2020-10-04,49
2020-10-11,48
2020-10-18,28
2020-10-25,42
2020-11-01,24
2020-11-08,34
2020-11-15,26
2020-11-22,30
2020-11-29,59
2020-12-06,71
2020-12-13,64
2020-12-20,67
2020-12-27,62
2021-01-03,46
2021-01-10,65
2021-01-17,76
2021-01-24,64
2021-01-31,70
2021-02-07,59
2021-02-14,51
2021-02-21,66
2021-02-28,76
2021-03-07,103
2021-03-14,111
2021-03-21,119
2021-03-28,113
2021-04-04,122
2021-04-11,133
2021-04-18,116
2021-04-25,99
2021-05-02,104
2021-05-09,99
2021-05-16,102
2021-05-23,112
2021-05-30,98
2021-06-06,117
2021-06-13,118
2021-06-20,101
2021-06-27,96
2021-07-04,83
2021-07-11,76
2021-07-18,56
2021-07-25,52
2021-08-01,37
2021-08-08,32
2021-08-15,56
2021-08-22,30
2021-08-29,37
2021-09-05,32
2021-09-12,24
2021-09-19,16
