"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.196130786119355,2.26883491326954,1.96771869510063,0.689157858428028,0.000136829213205238,0.00468415576778538,0.0186260994718474,0.000232729295103133,0.000408347431782069,9.9655071201609e-06,-3.26718169418012,-0.818941682350857,-0.961333279086077,-2.01049304985124,-10.5349851567697,-7.00177770652604,-5.62139961243127,-10.0038427314485,-9.44160032545429,-13.1545888434808,1.63820812801793,8.99345751439615
0.281388488173398,2.76430849807849,1.78501855184209,0.630670775893353,0.000181687107112758,0.00854933203544352,0.0212904013654548,0.000297327200498459,0.000445797859754189,1.26812517683411e-05,-2.97134130972756,-0.686531752882632,-1.12389345710164,-2.1642935678406,-10.3165468075497,-6.46522438906296,-5.5528212134231,-9.82399960585944,-9.41896720340241,-12.978708159395,1.70332226546808,9.21680372021991
0.371967364358586,3.6541386358019,2.35961552787736,0.833683523479739,0.000240172136427356,0.0113013596430097,0.0281437756514211,0.000393036743753983,0.000589300066985259,1.67633431902544e-05,-2.97134130972756,-0.686531752882632,-1.12389345710164,-2.1642935678406,-10.3165468075497,-6.46522438906296,-5.5528212134231,-9.82399960585944,-9.41896720340241,-12.978708159395,1.9823921509512,16.3675660616527
0.344093883275909,3.38031470957079,2.1827970618485,0.771211209649941,0.000222174768532358,0.0104544890183215,0.0260348137548103,0.000363584422686206,0.000545140697526978,1.55071772626287e-05,-2.97134130972756,-0.686531752882632,-1.12389345710164,-2.1642935678406,-10.3165468075497,-6.46522438906296,-5.5528212134231,-9.82399960585944,-9.41896720340241,-12.978708159395,1.90450056738362,6.17124771070015
0.401921215479128,6.35612170761484,4.52555375414699,0.82967132109426,0.000322997920531654,0.0209164450714373,0.0527103180018813,0.000587795439577782,0.000893509903439086,3.26394616945566e-05,-3.41201108508592,-0.651093497169114,-0.990771947849186,-2.68723754942203,-10.5383765668656,-6.36773147800944,-5.44345594920745,-9.93964345658932,-9.52086503367557,-12.8305004143262,2.50051189412074,10.0921776938046
0.429533822167738,6.79279706093771,4.83646626896026,0.886671019014871,0.000345188375271017,0.022353437070959,0.0563315980522077,0.000628177891813032,0.000954895410314182,3.48818429961391e-05,-3.41201108508592,-0.651093497169114,-0.990771947849186,-2.68723754942203,-10.5383765668656,-6.36773147800944,-5.44345594920745,-9.93964345658932,-9.52086503367557,-12.8305004143262,2.56695629219887,10.9877966146279
0.505221292187598,7.98974500162848,5.68869227967715,1.04290990570016,0.000406013468560938,0.0262923005802644,0.0662576991383342,0.00073886811665677,0.00112315600822359,4.10283169401089e-05,-3.41201108508592,-0.651093497169114,-0.990771947849186,-2.68723754942203,-10.5383765668656,-6.36773147800944,-5.44345594920745,-9.93964345658932,-9.52086503367557,-12.8305004143262,2.72925234174821,26.6062913576713
0.417114142865346,7.23162897660653,6.2830013196986,1.33147997552675,0.000390666709560662,0.0278152956953506,0.0732466278828159,0.000606564249297533,0.00132993493701579,2.30187674894791e-05,-3.60659407044286,-0.753734380941332,-0.894350916238148,-2.44590761257653,-10.5798544664002,-6.3143679044257,-5.3461217675758,-10.1398986003541,-9.35482395718376,-13.4113993966623,2.73219869970169,10.2172994963049
0.213005010911074,3.69292970620797,3.20850008935978,0.679938361156237,0.00019949926933891,0.0142042591085087,0.0374043868764604,0.000309750284783793,0.000679149366224002,1.17548467346954e-05,-3.60659407044286,-0.753734380941332,-0.894350916238148,-2.44590761257653,-10.5798544664002,-6.3143679044257,-5.3461217675758,-10.1398986003541,-9.35482395718376,-13.4113993966623,2.06015448229753,20.7196784481222
0.241379690494961,4.18486976288211,3.63590863524824,0.770513850681486,0.000226074831202449,0.0160964272749126,0.0423870747865322,0.00035101253041907,0.000769619752689469,1.33207254350511e-05,-3.60659407044286,-0.753734380941332,-0.894350916238148,-2.44590761257653,-10.5798544664002,-6.3143679044257,-5.3461217675758,-10.1398986003541,-9.35482395718376,-13.4113993966623,2.18520996441816,40.2336923862312
0.181031669237285,3.47798838666648,3.35399111671509,0.838492722141574,0.00012496624645278,0.00865609921803205,0.0287444941944326,0.000379348007154812,0.000399684434209008,1.18731386219707e-05,-3.77465666139732,-0.819119289694968,-0.855422351704529,-2.2417227439107,-11.0530402520416,-6.8150644611394,-5.61488240289672,-9.94262991604703,-9.89040860322823,-13.4068053344909,2.06557336653767,30.5097106494728
0.201536383933402,3.5289240283701,2.71470668405841,0.692742347596389,0.000132274975361943,0.0080294441110171,0.0194638651722833,0.000348090861900469,0.000304880745178294,1.04226314606755e-05,-3.5711606563985,-0.708382291274742,-0.970691395717376,-2.33647244964395,-10.9000029633674,-6.79401528787257,-5.90857090848459,-9.93242232278409,-10.0649651651619,-13.440906322039,1.96937530792943,22.2970268642638
0.187762689076123,3.28774513157422,2.52917422206092,0.64539793501796,0.00012323484517636,0.0074806840762272,0.0181336371787373,0.000324301126167151,0.000284044138556766,9.71031270935432e-06,-3.5711606563985,-0.708382291274742,-0.970691395717376,-2.33647244964395,-10.9000029633674,-6.79401528787257,-5.90857090848459,-9.93242232278409,-10.0649651651619,-13.440906322039,1.89858425073622,15.8019193463331
0.340702849947359,5.96574400238676,4.58928698619244,1.17110016315122,0.000223614516659299,0.0135739980976366,0.032904204222397,0.000588457262036182,0.000515409360578012,1.76197477264283e-05,-3.5711606563985,-0.708382291274742,-0.970691395717376,-2.33647244964395,-10.9000029633674,-6.79401528787257,-5.90857090848459,-9.93242232278409,-10.0649651651619,-13.440906322039,2.4944160670244,33.7954956252056
0.296150250694003,5.18562313803967,3.98916091156152,1.01795921859359,0.000194373176443055,0.0117989706870844,0.0286014288722714,0.000511506627260817,0.000448010961366474,1.531567084676e-05,-3.5711606563985,-0.708382291274742,-0.970691395717376,-2.33647244964395,-10.9000029633674,-6.79401528787257,-5.90857090848459,-9.93242232278409,-10.0649651651619,-13.440906322039,2.3542723066492,30.894425490761
