"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
1.09898519193486,1.46155889997204,0.00014117212018268,0.0859577447889602,1.34977837403132e-05,5.21293494908794e-08,0.000133988670925314,3.0724142229519e-08,0.010866889117583,2.1071277877743e-05,-3.2239431710762,-2.93882676648179,-12.1838610738122,-5.77222981541908,-14.5313154256613,-20.0878680891189,-12.2360856792013,-20.6165474718366,-7.8403651808242,-14.0859300551103,3.31833037228031,45.8822109062162
1.68656392186408,2.2429897404098,0.000216650603138682,0.131915545568564,2.07144511578507e-05,8.00006048914733e-08,0.000205626481575511,4.71509809184023e-08,0.0166769336503482,3.23371573311248e-05,-3.2239431710762,-2.93882676648179,-12.1838610738122,-5.77222981541908,-14.5313154256613,-20.0878680891189,-12.2360856792013,-20.6165474718366,-7.8403651808242,-14.0859300551103,3.74663644796116,115.818195952298
2.14582666477564,2.49747298693991,0.000121292791774355,0.170692761209763,1.95127341929171e-05,9.26528799748365e-08,0.000619051835763584,4.52699682108274e-08,0.0205888633723195,3.55668868679027e-05,-3.09888512533826,-2.9471305795358,-12.8797131635364,-5.63030005156275,-14.7068532649731,-20.0568157952201,-11.2497315426269,-20.7730319726894,-7.7454149573425,-14.1065054920966,3.8624099949778,89.5057740943145
2.0480013851766,2.38361663626211,0.000115763220600947,0.162911113528251,1.86231755396027e-05,8.84289628999022e-08,0.000590830115941584,4.32061727652959e-08,0.0196502454731733,3.39454415249799e-05,-3.09888512533826,-2.9471305795358,-12.8797131635364,-5.63030005156275,-14.7068532649731,-20.0568157952201,-11.2497315426269,-20.7730319726894,-7.7454149573425,-14.1065054920966,3.81574950887105,99.2312077830866
2.06378337626383,2.40198489361836,0.000116655297202543,0.164166513920226,1.87666865706545e-05,8.91104004782366e-08,0.000595383079475374,4.35391214822407e-08,0.0198016711514782,3.42070266291098e-05,-3.09888512533826,-2.9471305795358,-12.8797131635364,-5.63030005156275,-14.7068532649731,-20.0568157952201,-11.2497315426269,-20.7730319726894,-7.7454149573425,-14.1065054920966,3.82342601408904,97.2542971967876
1.4866171460715,1.69259349047299,6.73832288148986e-05,0.0795841583910807,1.3985086119805e-05,7.55126317174548e-08,0.000613277219242089,5.07774938571458e-08,0.0146346925500051,1.94748859876294e-05,-3.2848641960114,-3.15510540063103,-13.2864817646521,-6.21230758412848,-14.8588864363199,-20.0803332501729,-11.0780608535841,-20.4771799778419,-7.90572772991959,-14.5277521835214,3.6813673630031,136.07841233358
1.53604684030984,2.60318808873234,8.38696536011473e-05,0.132654238031891,9.96893284464319e-06,7.30888631454371e-08,0.000645378786837941,6.27956435894797e-08,0.019012298301188,1.53633352805257e-05,-3.36786370930957,-2.84033895671655,-13.1833225457278,-5.81708508849452,-15.3131128549284,-20.2286656713123,-11.14274898569,-20.3804559740362,-7.75974506876398,-14.8806025517206,3.79707583856347,222.733016901824
1.47962233055678,2.50756365343056,8.07888204107684e-05,0.127781372080678,9.60273818588743e-06,7.04040470557418e-08,0.000621671709230199,6.04889343725594e-08,0.0183139083935554,1.47989848723047e-05,-3.36786370930957,-2.84033895671655,-13.1833225457278,-5.81708508849452,-15.3131128549284,-20.2286656713123,-11.14274898569,-20.3804559740362,-7.75974506876398,-14.8806025517206,3.75965058246488,65.7267073825516
2.4820891893126,2.35864225722322,0.000114737197550119,0.1279524032234,1.1142239202323e-05,1.20490462502081e-07,0.000546745003923427,5.62741647943172e-08,0.0216128817798732,1.96020121969276e-05,-2.92109731677231,-2.97211179861763,-12.9030642208007,-5.8862948713952,-15.2349652754317,-19.7618931738707,-11.3417259735829,-20.5232282291308,-7.66466370071949,-14.670076271251,3.8301979373622,74.3091291904714
2.50653768951664,2.38187480904096,0.000115867355325993,0.129212730358212,1.12519899069247e-05,1.21677289756214e-07,0.000552130424962095,5.68284635420736e-08,0.0218257679835117,1.97950913986176e-05,-2.92109731677231,-2.97211179861763,-12.9030642208007,-5.8862948713952,-15.2349652754317,-19.7618931738707,-11.3417259735829,-20.5232282291308,-7.66466370071949,-14.670076271251,3.83999971109189,114.502632971554
2.52585860939082,2.40023480120397,0.000116760485278776,0.130208729269546,1.13387226124915e-05,1.22615203905968e-07,0.000556386362443271,5.72665092954893e-08,0.0219940055951645,1.99476761279095e-05,-2.92109731677231,-2.97211179861763,-12.9030642208007,-5.8862948713952,-15.2349652754317,-19.7618931738707,-11.3417259735829,-20.5232282291308,-7.66466370071949,-14.670076271251,3.8476783650211,72.3926024636164
