"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
1.42510963738595,2.17951105363165,2.02814512623142e-09,0.0702200263325625,1.69433622487571e-05,0.000340442755613078,0.0078896727340575,3.62079443979442e-06,0.00432605873597101,0.0308640322634182,-3.38068770848493,-2.95583589344248,-23.7510806502822,-6.39105819100342,-14.7205708663415,-11.7202000228812,-8.57713708132019,-16.2637535554597,-9.17803483187379,-7.21310023524026,3.73493645776239,5.50099071225261
1.04742754149167,1.60189773802017,1.49064675981947e-09,0.0516103376298176,1.2453037857053e-05,0.000250218726458504,0.00579875421386238,2.66121266661076e-06,0.0031795680467632,0.0226844563997826,-3.38068770848493,-2.95583589344248,-23.7510806502822,-6.39105819100342,-14.7205708663415,-11.7202000228812,-8.57713708132019,-16.2637535554597,-9.17803483187379,-7.21310023524026,3.42702490610622,7.6861554035715
1.18260760505686,1.30443139332092,1.45836071702837e-09,0.0577669286846991,1.80740151739233e-05,0.000229740937226757,0.00669082932672925,1.4646101681876e-06,0.00264391987928551,0.0129800386059517,-3.14409183149537,-3.04604643477975,-23.6577664952635,-6.16315250181239,-14.2328489436138,-11.6903719104179,-8.31883111406679,-16.7457351143787,-9.2473063269671,-7.65615626011941,3.31181366667317,9.11827576380678
1.15077566830121,1.269320357812,1.41910640654292e-09,0.0562120315128932,1.75875216781291e-05,0.000223557061059621,0.00651073403978831,1.42518764287484e-06,0.00257275418575832,0.0126306583328808,-3.14409183149537,-3.04604643477975,-23.6577664952635,-6.16315250181239,-14.2328489436138,-11.6903719104179,-8.31883111406679,-16.7457351143787,-9.2473063269671,-7.65615626011941,3.28452804067653,10.9833944475799
1.2149767325268,1.26510645447167,1.69318562872734e-09,0.0633941836883038,2.01978564733165e-05,0.000345091026539475,0.00965231145961992,1.14490679190018e-06,0.00246389320016274,0.00820615091992118,-3.14809863927598,-3.10766729333013,-23.5394776606596,-6.10120672738087,-14.1527576400715,-11.3145258963934,-7.98338142852099,-17.023010894427,-9.34883614404147,-8.14569485942138,3.34282356570143,14.6345130922866
1.45852626455797,1.51870479648715,2.03259506470956e-09,0.0761019363204668,2.42466405861434e-05,0.000414266637702869,0.011587176445981,1.37441037490846e-06,0.00295779569212768,0.00985112416329138,-3.14809863927598,-3.10766729333013,-23.5394776606596,-6.10120672738087,-14.1527576400715,-11.3145258963934,-7.98338142852099,-17.023010894427,-9.34883614404147,-8.14569485942138,3.52552515736404,4.97266319194287
1.29546857005154,1.34891937076764,1.80535865959955e-09,0.0675940289996129,2.15359582970584e-05,0.000367953201670757,0.010291774146391,1.22075651725495e-06,0.00262712537229936,0.00874980591253661,-3.14809863927598,-3.10766729333013,-23.5394776606596,-6.10120672738087,-14.1527576400715,-11.3145258963934,-7.98338142852099,-17.023010894427,-9.34883614404147,-8.14569485942138,3.40697109913837,16.219422350853
1.43127754932156,1.49033180415013,1.99462138850292e-09,0.0746801724193798,2.37936560764873e-05,0.000406527158533372,0.0113707006244323,1.34873314314794e-06,0.00290253708314631,0.00966708189843344,-3.14809863927598,-3.10766729333013,-23.5394776606596,-6.10120672738087,-14.1527576400715,-11.3145258963934,-7.98338142852099,-17.023010894427,-9.34883614404147,-8.14569485942138,3.50666607584543,6.88857061286435
0.962522496252388,0.982136520290896,1.11993535386962e-09,0.057389722712171,2.43133946730026e-05,0.000285539197577239,0.0163498478958337,1.56344803920765e-06,0.0023367122837721,0.00772993139582073,-3.26245165821417,-3.24227877544153,-23.8342486909151,-6.08214385636429,-13.8487369562237,-11.3853850616516,-7.33779050253985,-16.5928707120889,-9.28326416234585,-8.08690910932831,3.22425381785059,25.1814823403193
0.978503668624744,0.99844335268709,1.13853011919279e-09,0.0583425888058321,2.47170803559235e-05,0.000290280126909607,0.0166213114081178,1.58940663519588e-06,0.00237550971649389,0.00785827475043746,-3.26245165821417,-3.24227877544153,-23.8342486909151,-6.08214385636429,-13.8487369562237,-11.3853850616516,-7.33779050253985,-16.5928707120889,-9.28326416234585,-8.08690910932831,3.24072091529439,18.0103451517766
0.941955776505549,0.820184851988508,7.03614969040056e-10,0.0623802139192128,2.2848024571339e-05,0.000309399339195156,0.0147960340440081,2.52155816681991e-06,0.00311727436608958,0.00854465075034387,-3.17974004788162,-3.31816863086398,-24.1947329243515,-5.89445023450578,-13.8065889923705,-11.2008208515789,-7.33333920011096,-16.0105766233445,-8.89073935557352,-7.88239293105357,3.11994309598906,36.8770801347369
0.860779596480395,0.749502687433056,6.42978602854076e-10,0.0570043909756992,2.08790198663593e-05,0.000282735819436995,0.0135209364723679,2.30425448356949e-06,0.00284863285293039,0.00780828697949344,-3.17974004788162,-3.31816863086398,-24.1947329243515,-5.89445023450578,-13.8065889923705,-11.2008208515789,-7.33333920011096,-16.0105766233445,-8.89073935557352,-7.88239293105357,3.02982325505257,31.0660552993244
1.20955869807345,1.05319352192002,9.03506966170261e-10,0.080101988029182,2.93389854846292e-05,0.000397297485971173,0.0189994818454361,3.23791486760653e-06,0.00400286979264873,0.0109721251197374,-3.17974004788162,-3.31816863086398,-24.1947329243515,-5.89445023450578,-13.8065889923705,-11.2008208515789,-7.33333920011096,-16.0105766233445,-8.89073935557352,-7.88239293105357,3.36999562863056,19.5540145177941
1.32645165323644,1.15497519099638,9.90822777675896e-10,0.0878431237922292,3.21743342116027e-05,0.00043569271002104,0.0208356106608594,3.55083017964847e-06,0.00438971110918892,0.0120324822001395,-3.17974004788162,-3.31816863086398,-24.1947329243515,-5.89445023450578,-13.8065889923705,-11.2008208515789,-7.33333920011096,-16.0105766233445,-8.89073935557352,-7.88239293105357,3.46224749495023,9.31878785322685
