"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-22,2,NA,NA,NA,2,NA,NA,NA
2020-03-29,9,NA,NA,NA,9,NA,NA,NA
2020-04-05,12,NA,NA,NA,12,NA,NA,NA
2020-04-12,16,NA,NA,NA,16,NA,NA,NA
2020-04-19,28,NA,NA,NA,28,NA,NA,NA
2020-04-26,45,NA,NA,NA,45,NA,NA,NA
2020-05-03,58,NA,NA,NA,58,NA,NA,NA
2020-05-10,71,NA,NA,NA,71,NA,NA,NA
2020-05-17,80,NA,NA,NA,80,NA,NA,NA
2020-05-24,86,NA,NA,NA,86,NA,NA,NA
2020-05-31,91,NA,NA,NA,91,NA,NA,NA
2020-06-07,111,NA,NA,NA,111,NA,NA,NA
2020-06-14,143,NA,NA,NA,143,NA,NA,NA
2020-06-21,182,NA,NA,NA,182,NA,NA,NA
2020-06-28,213,NA,NA,NA,213,NA,NA,NA
2020-07-05,245,NA,NA,NA,245,NA,NA,NA
2020-07-12,287,NA,NA,NA,287,NA,NA,NA
2020-07-19,337,NA,NA,NA,337,NA,NA,NA
2020-07-26,373,NA,NA,NA,373,NA,NA,NA
2020-08-02,414,NA,NA,NA,414,NA,NA,NA
2020-08-09,452,NA,NA,NA,452,NA,NA,NA
2020-08-16,494,NA,NA,NA,494,NA,NA,NA
2020-08-23,540,NA,NA,NA,540,NA,NA,NA
2020-08-30,574,NA,NA,NA,574,NA,NA,NA
2020-09-06,613,NA,NA,NA,613,NA,NA,NA
2020-09-13,644,NA,NA,NA,644,NA,NA,NA
2020-09-20,685,NA,NA,NA,685,NA,NA,NA
2020-09-27,728,NA,NA,NA,728,NA,NA,NA
2020-10-04,746,NA,NA,NA,746,NA,NA,NA
2020-10-11,770,NA,NA,NA,770,NA,NA,NA
2020-10-18,787,NA,NA,NA,787,NA,NA,NA
2020-10-25,810,NA,NA,NA,810,NA,NA,NA
2020-11-01,820,NA,NA,NA,820,NA,NA,NA
2020-11-08,843,NA,NA,NA,843,NA,NA,NA
2020-11-15,872,NA,NA,NA,872,NA,NA,NA
2020-11-22,915,NA,NA,NA,915,NA,NA,NA
2020-11-29,980,NA,NA,NA,980,NA,NA,NA
2020-12-06,1043,NA,NA,NA,1043,NA,NA,NA
2020-12-13,1096,NA,NA,NA,1096,NA,NA,NA
2020-12-20,1147,NA,NA,NA,1147,NA,NA,NA
2020-12-27,1179,NA,NA,NA,1179,NA,NA,NA
2021-01-03,1239,NA,NA,NA,1239,NA,NA,NA
2021-01-10,1284,NA,NA,NA,1284,NA,NA,NA
2021-01-17,1335,NA,NA,NA,1335,NA,NA,NA
2021-01-24,1386,NA,NA,NA,1386,NA,NA,NA
2021-01-31,1419,NA,NA,NA,1419,NA,NA,NA
2021-02-07,1455,NA,NA,NA,1455,NA,NA,NA
2021-02-14,1513,NA,NA,NA,1513,NA,NA,NA
2021-02-21,1606,NA,NA,NA,1606,NA,NA,NA
2021-02-28,1703,NA,NA,NA,1703,NA,NA,NA
2021-03-07,1798,NA,NA,NA,1798,NA,NA,NA
2021-03-14,1903,NA,NA,NA,1903,NA,NA,NA
2021-03-21,2034,NA,NA,NA,2034,NA,NA,NA
2021-03-28,2139,NA,NA,NA,2139,NA,NA,NA
2021-04-04,2240,NA,NA,NA,2240,NA,NA,NA
2021-04-11,2338,NA,NA,NA,2338,NA,NA,NA
2021-04-18,2421,NA,NA,NA,2421,NA,NA,NA
2021-04-25,2496,NA,NA,NA,2496,NA,NA,NA
2021-05-02,2597,NA,NA,NA,2597,NA,NA,NA
2021-05-09,2673,NA,NA,NA,2673,NA,NA,NA
2021-05-16,2758,NA,NA,NA,2758,NA,NA,NA
2021-05-23,2850,NA,NA,NA,2850,NA,NA,NA
2021-05-30,2958,NA,NA,NA,2958,NA,NA,NA
2021-06-06,3031,NA,NA,NA,3031,NA,NA,NA
2021-06-13,3113,NA,NA,NA,3113,NA,NA,NA
2021-06-20,3175,NA,NA,NA,3175,NA,NA,NA
2021-06-27,3228,NA,NA,NA,3228,NA,NA,NA
2021-07-04,3266,NA,NA,NA,3266,NA,NA,NA
2021-07-11,3296,NA,NA,NA,3296,NA,NA,NA
2021-07-18,3320,NA,NA,NA,3320,NA,NA,NA
2021-07-25,3341,NA,NA,NA,3341,NA,NA,NA
2021-08-01,3358,NA,NA,NA,3358,NA,NA,NA
2021-08-08,3383,NA,NA,NA,3383,NA,NA,NA
2021-08-15,3395,NA,NA,NA,3395,NA,NA,NA
2021-08-22,3406,NA,NA,NA,3406,NA,NA,NA
2021-08-29,3424,NA,NA,NA,3424,NA,NA,NA
2021-09-05,3431,NA,NA,NA,3431,NA,NA,NA
2021-09-12,3438,NA,NA,NA,3438,NA,NA,NA
2021-09-19,3444,NA,NA,NA,3442,NA,NA,NA
2021-09-26,3451,3451,3441,3483,3446,3446,3446,3446
2021-10-03,NA,3457,3443,3497,NA,3446,3446,3447
