"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-04-05,2,NA,NA,NA,2,NA,NA,NA
2020-04-26,3,NA,NA,NA,3,NA,NA,NA
2020-05-03,4,NA,NA,NA,4,NA,NA,NA
2020-05-10,7,NA,NA,NA,7,NA,NA,NA
2020-05-17,9,NA,NA,NA,9,NA,NA,NA
2020-05-24,10,NA,NA,NA,10,NA,NA,NA
2020-06-07,11,NA,NA,NA,11,NA,NA,NA
2020-06-14,13,NA,NA,NA,13,NA,NA,NA
2020-06-21,17,NA,NA,NA,17,NA,NA,NA
2020-06-28,20,NA,NA,NA,20,NA,NA,NA
2020-07-05,22,NA,NA,NA,22,NA,NA,NA
2020-07-12,27,NA,NA,NA,27,NA,NA,NA
2020-07-19,32,NA,NA,NA,32,NA,NA,NA
2020-07-26,42,NA,NA,NA,42,NA,NA,NA
2020-08-02,52,NA,NA,NA,52,NA,NA,NA
2020-08-09,59,NA,NA,NA,59,NA,NA,NA
2020-08-16,68,NA,NA,NA,68,NA,NA,NA
2020-08-23,86,NA,NA,NA,86,NA,NA,NA
2020-08-30,93,NA,NA,NA,93,NA,NA,NA
2020-09-06,103,NA,NA,NA,103,NA,NA,NA
2020-09-13,112,NA,NA,NA,112,NA,NA,NA
2020-09-20,123,NA,NA,NA,123,NA,NA,NA
2020-09-27,130,NA,NA,NA,130,NA,NA,NA
2020-10-04,140,NA,NA,NA,140,NA,NA,NA
2020-10-11,147,NA,NA,NA,147,NA,NA,NA
2020-10-18,153,NA,NA,NA,153,NA,NA,NA
2020-11-01,155,NA,NA,NA,155,NA,NA,NA
2020-11-08,158,NA,NA,NA,158,NA,NA,NA
2020-11-22,163,NA,NA,NA,163,NA,NA,NA
2020-11-29,165,NA,NA,NA,165,NA,NA,NA
2020-12-06,176,NA,NA,NA,176,NA,NA,NA
2020-12-13,185,NA,NA,NA,185,NA,NA,NA
2020-12-20,192,NA,NA,NA,192,NA,NA,NA
2020-12-27,200,NA,NA,NA,200,NA,NA,NA
2021-01-03,205,NA,NA,NA,205,NA,NA,NA
2021-01-10,212,NA,NA,NA,212,NA,NA,NA
2021-01-17,219,NA,NA,NA,219,NA,NA,NA
2021-01-24,228,NA,NA,NA,228,NA,NA,NA
2021-01-31,234,NA,NA,NA,234,NA,NA,NA
2021-02-07,244,NA,NA,NA,244,NA,NA,NA
2021-02-14,251,NA,NA,NA,251,NA,NA,NA
2021-02-21,257,NA,NA,NA,257,NA,NA,NA
2021-02-28,268,NA,NA,NA,268,NA,NA,NA
2021-03-07,291,NA,NA,NA,291,NA,NA,NA
2021-03-14,315,NA,NA,NA,315,NA,NA,NA
2021-03-21,344,NA,NA,NA,344,NA,NA,NA
2021-03-28,391,NA,NA,NA,391,NA,NA,NA
2021-04-04,431,NA,NA,NA,431,NA,NA,NA
2021-04-11,464,NA,NA,NA,464,NA,NA,NA
2021-04-18,505,NA,NA,NA,505,NA,NA,NA
2021-04-25,535,NA,NA,NA,535,NA,NA,NA
2021-05-02,560,NA,NA,NA,560,NA,NA,NA
2021-05-09,593,NA,NA,NA,593,NA,NA,NA
2021-05-16,621,NA,NA,NA,621,NA,NA,NA
2021-05-23,649,NA,NA,NA,649,NA,NA,NA
2021-05-30,669,NA,NA,NA,669,NA,NA,NA
2021-06-06,703,NA,NA,NA,703,NA,NA,NA
2021-06-13,730,NA,NA,NA,730,NA,NA,NA
2021-06-20,765,NA,NA,NA,765,NA,NA,NA
2021-06-27,785,NA,NA,NA,785,NA,NA,NA
2021-07-04,799,NA,NA,NA,799,NA,NA,NA
2021-07-11,810,NA,NA,NA,810,NA,NA,NA
2021-07-18,825,NA,NA,NA,825,NA,NA,NA
2021-07-25,834,NA,NA,NA,834,NA,NA,NA
2021-08-01,837,NA,NA,NA,837,NA,NA,NA
2021-08-08,845,NA,NA,NA,845,NA,NA,NA
2021-08-15,849,NA,NA,NA,849,NA,NA,NA
2021-08-22,853,NA,NA,NA,853,NA,NA,NA
2021-08-29,860,NA,NA,NA,860,NA,NA,NA
2021-09-05,864,NA,NA,NA,864,NA,NA,NA
2021-09-12,869,NA,NA,NA,869,NA,NA,NA
2021-09-19,873,NA,NA,NA,873,NA,NA,NA
2021-09-26,878,NA,NA,NA,878,NA,NA,NA
2021-10-03,881,NA,NA,NA,881,NA,NA,NA
2021-10-10,884,NA,NA,NA,884,NA,NA,NA
2021-10-17,886,886,884,898,885,885,885,885
2021-10-24,NA,889,886,903,NA,885,885,885
