"dt_sin_pri","n.casos"
2020-01-19,1
2020-02-16,1
2020-03-01,1
2020-03-15,1
2020-03-22,1
2020-03-29,2
2020-04-05,1
2020-04-12,6
2020-04-19,3
2020-04-26,5
2020-05-03,1
2020-05-10,3
2020-05-17,2
2020-05-24,4
2020-05-31,2
2020-06-07,5
2020-06-14,6
2020-06-21,10
2020-06-28,7
2020-07-05,9
2020-07-12,11
2020-07-19,13
2020-07-26,11
2020-08-02,11
2020-08-09,15
2020-08-16,10
2020-08-23,11
2020-08-30,8
2020-09-06,4
2020-09-13,10
2020-09-20,4
2020-09-27,7
2020-10-04,5
2020-10-11,3
2020-10-18,5
2020-10-25,9
2020-11-01,6
2020-11-08,5
2020-11-15,11
2020-11-22,10
2020-11-29,14
2020-12-06,12
2020-12-13,14
2020-12-20,21
2020-12-27,13
2021-01-03,14
2021-01-10,9
2021-01-17,8
2021-01-24,8
2021-01-31,10
2021-02-07,15
2021-02-14,21
2021-02-21,19
2021-02-28,11
2021-03-07,24
2021-03-14,26
2021-03-21,30
2021-03-28,30
2021-04-04,19
2021-04-11,16
2021-04-18,13
2021-04-25,15
2021-05-02,15
2021-05-09,19
2021-05-16,15
2021-05-23,17
2021-05-30,19
2021-06-06,21
2021-06-13,25
2021-06-20,28
2021-06-27,17
2021-07-04,13
2021-07-11,7
2021-07-18,3
2021-07-25,8
2021-08-01,2
2021-08-08,6
2021-08-15,2
2021-08-29,2
2021-09-05,4
2021-09-12,2
2021-09-19,2
