"dt_notific","n.notific"
2020-03-01,1
2020-04-05,1
2020-04-12,1
2020-04-19,5
2020-04-26,2
2020-05-17,2
2020-05-24,1
2020-05-31,2
2020-06-21,1
2020-06-28,1
2020-07-05,2
2020-07-12,4
2020-07-19,4
2020-07-26,5
2020-08-02,2
2020-08-09,7
2020-08-16,1
2020-08-23,3
2020-08-30,4
2020-09-06,2
2020-09-13,5
2020-09-20,2
2020-09-27,2
2020-10-04,4
2020-10-25,2
2020-11-08,1
2020-11-22,1
2020-11-29,4
2020-12-06,1
2020-12-13,2
2020-12-20,5
2020-12-27,1
2021-01-03,8
2021-01-10,5
2021-01-17,5
2021-01-24,5
2021-01-31,2
2021-02-07,1
2021-02-14,1
2021-02-21,3
2021-02-28,2
2021-03-07,6
2021-03-14,5
2021-03-21,9
2021-03-28,11
2021-04-04,17
2021-04-11,11
2021-04-18,6
2021-04-25,6
2021-05-02,5
2021-05-09,4
2021-05-16,3
2021-05-23,6
2021-05-30,4
2021-06-06,6
2021-06-13,5
2021-06-20,5
2021-06-27,6
2021-07-04,2
2021-07-11,4
2021-07-18,1
2021-08-01,3
2021-08-08,1
