"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.463610665187294,1.45005129057293,0.970013792583782,0.0216300774627335,0.0116641291048682,9.46383405874842e-07,0.0249921787468649,6.82122183725102e-10,0.00237149445860598,0.367420489733274,-1.96618844259023,-0.825879351342749,-1.22792326838581,-5.03114873771844,-5.6487153150741,-15.0680963383391,-4.8866706331457,-22.3032905990678,-7.24171322926995,-2.19872661816308,1.19747827995855,2626.19468387617
0.447544788622748,1.39980148659745,0.936399117539018,0.0208805128373006,0.0112599225744683,9.13587613794915e-07,0.0241261044975506,6.58484050203652e-10,0.00228931313684956,0.354687969369544,-1.96618844259023,-0.825879351342749,-1.22792326838581,-5.03114873771844,-5.6487153150741,-15.0680963383391,-4.8866706331457,-22.3032905990678,-7.24171322926995,-2.19872661816308,1.16220978262252,2025.66840358783
0.343518475079116,1.39952124167309,1.07619748256991,0.0187054559911673,0.0159245311687886,8.91377917120775e-07,0.0259484488630259,7.27216256936949e-10,0.00541273210011178,0.312016784943624,-2.23080421213687,-0.826159620269158,-1.08885584928551,-5.14122986161467,-5.30218434607946,-15.0927871781672,-4.813933273393,-22.204087045963,-6.38129113250691,-2.32698812289519,1.16228982817171,2129.29872465892
0.350340826189024,1.42731603580831,1.09757099701626,0.0190769503872497,0.0162407957972606,9.09080875079049e-07,0.0264637906619212,7.41658928867519e-10,0.00552023012868893,0.318213505683549,-2.23080421213687,-0.826159620269158,-1.08885584928551,-5.14122986161467,-5.30218434607946,-15.0927871781672,-4.813933273393,-22.204087045963,-6.38129113250691,-2.32698812289519,1.18195540292465,1786.70398943247
0.357964840251666,1.45837686776218,1.12145601437786,0.0194920973731344,0.0165942232207604,9.28864025821355e-07,0.0270396878942022,7.57798692436835e-10,0.00564035975385409,0.325138374442478,-2.23080421213687,-0.826159620269158,-1.08885584928551,-5.14122986161467,-5.30218434607946,-15.0927871781672,-4.813933273393,-22.204087045963,-6.38129113250691,-2.32698812289519,1.20348370314484,997.448235088014
0.353400218676862,1.43978024103732,1.1071556648943,0.0192435421012115,0.0163826204575468,9.17019530788428e-07,0.0266948888277602,7.48135552731764e-10,0.00556843618783013,0.320992342564785,-2.23080421213687,-0.826159620269158,-1.08885584928551,-5.14122986161467,-5.30218434607946,-15.0927871781672,-4.813933273393,-22.204087045963,-6.38129113250691,-2.32698812289519,1.19065011182017,321.812268570187
0.355011197350503,1.44634349465308,1.11220264582494,0.0193312639935364,0.0164573008079842,9.21199774119752e-07,0.0268165777637709,7.51545936644247e-10,0.00559381996370246,0.322455589588825,-2.23080421213687,-0.826159620269158,-1.08885584928551,-5.14122986161467,-5.30218434607946,-15.0927871781672,-4.813933273393,-22.204087045963,-6.38129113250691,-2.32698812289519,1.19519826396512,369.688633953045
0.37521255317824,1.5286454045722,1.17549079439192,0.0204312792760059,0.017393777719325,9.73619203603411e-07,0.0283425330956904,7.94311480380183e-10,0.00591212752235527,0.340804419576559,-2.23080421213687,-0.826159620269158,-1.08885584928551,-5.14122986161467,-5.30218434607946,-15.0927871781672,-4.813933273393,-22.204087045963,-6.38129113250691,-2.32698812289519,1.2505416070252,359.552833708965
0.356940808685849,1.45420488275271,1.11824786031001,0.0194363362459242,0.016546752054664,9.26206820487658e-07,0.0269623353421638,7.55630854441786e-10,0.0056242243523257,0.324208249689295,-2.23080421213687,-0.826159620269158,-1.08885584928551,-5.14122986161467,-5.30218434607946,-15.0927871781672,-4.813933273393,-22.204087045963,-6.38129113250691,-2.32698812289519,1.20061889918728,615.868036519824
0.399961981233052,1.62947651787401,1.25302744554729,0.0217789486762593,0.0185410902135883,1.03784018509312e-06,0.030212037401453,8.46705129447254e-10,0.00630209788322403,0.363284249719836,-2.23080421213687,-0.826159620269158,-1.08885584928551,-5.14122986161467,-5.30218434607946,-15.0927871781672,-4.813933273393,-22.204087045963,-6.38129113250691,-2.32698812289519,1.3144184288281,480.657607076821
0.46135806233931,1.43991431256257,1.25196840816411,0.0296588668324911,0.00685267137677101,1.36212971024285e-06,0.0537163772342212,1.35690225377662e-09,0.00293482919805633,0.411180474175213,-2.07038402302626,-0.932219586801151,-1.07208615418989,-4.81479734169892,-6.27991991417453,-14.8032643130983,-4.22084054098815,-21.714864683257,-7.12790921571922,-2.18552624440477,1.29680319345368,313.405107066889
0.434143749110232,1.22926548424246,0.961844597055901,0.0217806541570044,0.0116244870953969,1.25904288410298e-06,0.0496232313199426,1.24530465806145e-09,0.00368311079027491,0.429758807791518,-1.97915171424933,-0.938355309948264,-1.18367451656224,-4.97150526084614,-5.59941358298278,-14.7299308751211,-4.14806831519253,-21.6486577653696,-6.74876969411631,-1.98930327345197,1.14477213367464,335.320952093073
0.441299407024496,1.24952652291705,0.97769794267546,0.0221396479479223,0.0118160845864444,1.27979472078493e-06,0.0504411329220126,1.26583005811706e-09,0.00374381667612391,0.436842192086468,-1.97915171424933,-0.938355309948264,-1.18367451656224,-4.97150526084614,-5.59941358298278,-14.7299308751211,-4.14806831519253,-21.6486577653696,-6.74876969411631,-1.98930327345197,1.16112000784022,796.169107217631
0.453479139375085,1.28401308322472,1.00468211503545,0.0227506956449046,0.0121422050058331,1.3151166743492e-06,0.0518332931847987,1.30076659114607e-09,0.00384714490262735,0.448898906630756,-1.97915171424933,-0.938355309948264,-1.18367451656224,-4.97150526084614,-5.59941358298278,-14.7299308751211,-4.14806831519253,-21.6486577653696,-6.74876969411631,-1.98930327345197,1.18834570459148,375.617487442683
0.404953224261977,1.14661335637831,0.897173048362496,0.0203161882337144,0.0108428914140084,1.17438861309539e-06,0.046286713934021,1.16157410420851e-09,0.00343546945658592,0.400863113258762,-1.97915171424933,-0.938355309948264,-1.18367451656224,-4.97150526084614,-5.59941358298278,-14.7299308751211,-4.14806831519253,-21.6486577653696,-6.74876969411631,-1.98930327345197,1.07516800005415,485.648990885709
0.449465784061178,1.27264938358953,0.99579053446413,0.0225493487309377,0.0120347447529759,1.30347770347905e-06,0.0513745611184744,1.28925462056695e-09,0.00381309711939391,0.444926087032447,-1.97915171424933,-0.938355309948264,-1.18367451656224,-4.97150526084614,-5.59941358298278,-14.7299308751211,-4.14806831519253,-21.6486577653696,-6.74876969411631,-1.98930327345197,1.17945616628421,93.2105514577039
0.500833898866628,1.41809671676053,1.10959648880029,0.0251264470896445,0.0134101601284008,1.45244831413079e-06,0.0572460077273095,1.43659971714882e-09,0.00424888470888191,0.495775373294272,-1.97915171424933,-0.938355309948264,-1.18367451656224,-4.97150526084614,-5.59941358298278,-14.7299308751211,-4.14806831519253,-21.6486577653696,-6.74876969411631,-1.98930327345197,1.28767094219242,301.071252595215
0.480481965307416,1.36047080480577,1.06450682121049,0.0241054064154714,0.0128652235964104,1.39342648742482e-06,0.0549197535571488,1.37822191552485e-09,0.00407622662904426,0.475628998457401,-1.97915171424933,-0.938355309948264,-1.18367451656224,-4.97150526084614,-5.59941358298278,-14.7299308751211,-4.14806831519253,-21.6486577653696,-6.74876969411631,-1.98930327345197,1.24618612979399,226.391262148556
0.450836279090622,1.27652990067511,0.998826863426746,0.0226181054004081,0.0120714406672133,1.30745222117752e-06,0.0515312105969209,1.29318576974857e-09,0.0038247238790589,0.446282739779711,-1.97915171424933,-0.938355309948264,-1.18367451656224,-4.97150526084614,-5.59941358298278,-14.7299308751211,-4.14806831519253,-21.6486577653696,-6.74876969411631,-1.98930327345197,1.18250069132563,217.804183840265
0.469188419028139,1.32849345475924,1.03948599229706,0.0235388179842912,0.0125628313973892,1.36067452656312e-06,0.053628885588676,1.3458273323564e-09,0.00398041646882216,0.464449519322511,-1.97915171424933,-0.938355309948264,-1.18367451656224,-4.97150526084614,-5.59941358298278,-14.7299308751211,-4.14806831519253,-21.6486577653696,-6.74876969411631,-1.98930327345197,1.22240086936367,127.29078999182
0.343442079392443,1.32958754088774,0.987157969873342,0.0219686793955359,0.0146977035689579,1.03423793554538e-06,0.131036966641456,1.56539125095339e-09,0.00282444548652298,0.788304815625238,-2.35494041315246,-1.00133483816675,-1.29912881449524,-5.10434111650542,-5.50626762986991,-15.0680493092738,-3.31847942015594,-21.5613336562601,-7.1556468342773,-1.5240740547312,1.2862036126701,118.456955772658
0.425845709399707,1.64860156495666,1.22401129970429,0.0272397251912649,0.0182241908561168,1.28238737702012e-06,0.162477265790293,1.94098273842739e-09,0.00350212761929732,0.977446398027258,-2.35494041315246,-1.00133483816675,-1.29912881449524,-5.10434111650542,-5.50626762986991,-15.0680493092738,-3.31847942015594,-21.5613336562601,-7.1556468342773,-1.5240740547312,1.50126223032731,170.310977616026
0.371232807258888,1.43717542175777,1.06703705327068,0.0237463462200163,0.0158870158421342,1.11792664680272e-06,0.141640247074708,1.69205995251937e-09,0.00305299463818321,0.852093052190788,-2.35494041315246,-1.00133483816675,-1.29912881449524,-5.10434111650542,-5.50626762986991,-15.0680493092738,-3.31847942015594,-21.5613336562601,-7.1556468342773,-1.5240740547312,1.3640145128011,120.259435170884
0.345795257712247,1.33869753865224,0.993921726769519,0.0221192032339652,0.0147984085188306,1.04132427246644e-06,0.131934798816066,1.57611691613766e-09,0.00284379787309166,0.793706080970498,-2.35494041315246,-1.00133483816675,-1.29912881449524,-5.10434111650542,-5.50626762986991,-15.0680493092738,-3.31847942015594,-21.5613336562601,-7.1556468342773,-1.5240740547312,1.29303199336436,135.099125977783
0.386450965264688,1.49609037276076,1.11077871122008,0.0247197937218817,0.0165382813353739,1.16375445085797e-06,0.147446586433234,1.76142353033152e-09,0.00317814778705977,0.887023388223402,-2.35494041315246,-1.00133483816675,-1.29912881449524,-5.10434111650542,-5.50626762986991,-15.0680493092738,-3.31847942015594,-21.5613336562601,-7.1556468342773,-1.5240740547312,1.40419012549389,144.437335440827
0.431241910834149,1.66949219725206,1.23952163921328,0.0275848996075062,0.0184551228642799,1.29863744236219e-06,0.164536133674526,1.96557834572398e-09,0.00354650563148745,0.98983233391601,-2.35494041315246,-1.00133483816675,-1.29912881449524,-5.10434111650542,-5.50626762986991,-15.0680493092738,-3.31847942015594,-21.5613336562601,-7.1556468342773,-1.5240740547312,1.51385434485393,211.088408182187
0.331145046256374,1.28198131256381,0.951812521559201,0.0211820851058656,0.0141714484632023,9.97206776793723e-07,0.126345153909334,1.50934200935219e-09,0.00272331547997213,0.760079356309901,-2.35494041315246,-1.00133483816675,-1.29912881449524,-5.10434111650542,-5.50626762986991,-15.0680493092738,-3.31847942015594,-21.5613336562601,-7.1556468342773,-1.5240740547312,1.24974161977569,265.68749437391
