"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
1.4479370592752,4.97949981787613,2.67563415945208,0.000154338136684698,0.0111438190825881,1.61563504039581e-09,0.00042681593043496,0.406692689065962,0.0216376046341532,3.06254903166507e-05,-1.8856845202054,-0.65049489805798,-1.27163792466719,-11.0321890156763,-6.75269462302214,-22.4993620895655,-10.0149820598133,-3.15552178833653,-6.089146868586,-12.6495022247607,2.25582434587281,30.9248869231933
1.38912701691068,3.15711310823313,3.2879858501056,0.000101017955483501,0.0168322404006452,6.42753962290038e-09,0.000648205193638692,0.891759321933634,0.0446729594426479,4.26311052513963e-05,-1.84474377947146,-1.02376124723053,-0.983144110234133,-11.3736315637821,-6.25787844409405,-21.0360932961407,-9.51472253881031,-2.28797828519267,-5.28180617850101,-12.2363456848359,2.17341928392294,4.62043304910913
0.635138325898594,3.97494223419055,3.53842493271783,5.63385089810168e-05,0.0192547942285556,4.31693281711294e-09,0.000288030845208442,0.246721362687527,0.0224192556763229,5.99437945758451e-05,-2.58657543898622,-0.752652755513127,-0.868981277362156,-11.9167952317617,-6.08265816965702,-21.3933836541303,-10.2851059533798,-3.53215863664246,-5.93049803221748,-11.8547661630772,2.13266297123472,3.03019259431896
0.708144126387175,4.43184087795037,3.94514821510886,6.28143234276936e-05,0.0214680312646136,4.81314147453076e-09,0.000321138471629969,0.275080681982505,0.0249962308646686,6.68340175853621e-05,-2.58657543898622,-0.752652755513127,-0.868981277362156,-11.9167952317617,-6.08265816965702,-21.3933836541303,-10.2851059533798,-3.53215863664246,-5.93049803221748,-11.8547661630772,2.24146780132404,1.44377041451111
0.785804680064347,4.91787077435958,4.37780363553431,6.97030272303211e-05,0.0238223813640412,5.34098773902727e-09,0.000356356996481771,0.305248153931535,0.0277375105794299,7.41635520921714e-05,-2.58657543898622,-0.752652755513127,-0.868981277362156,-11.9167952317617,-6.08265816965702,-21.3933836541303,-10.2851059533798,-3.53215863664246,-5.93049803221748,-11.8547661630772,2.34552842290651,0.735220072145505
0.61164259279101,3.8278968142492,3.40752763924599,5.42543731058523e-05,0.0185424997758543,4.15723610668256e-09,0.000277375692480578,0.237594375615153,0.021589897997275,5.7726288024312e-05,-2.58657543898622,-0.752652755513127,-0.868981277362156,-11.9167952317617,-6.08265816965702,-21.3933836541303,-10.2851059533798,-3.53215863664246,-5.93049803221748,-11.8547661630772,2.09496827321524,1.08711794404896
0.830163129436895,5.19548317257958,4.62492939827971,7.36377431755816e-05,0.0251671479765076,5.64248496884989e-09,0.000376473246980172,0.322479324890108,0.0293032851159947,7.83500633897365e-05,-2.58657543898622,-0.752652755513127,-0.868981277362156,-11.9167952317617,-6.08265816965702,-21.3933836541303,-10.2851059533798,-3.53215863664246,-5.93049803221748,-11.8547661630772,2.40044238297321,0.773267284811453
0.821117029641564,5.13886916793691,4.5745325890266,7.28353293488905e-05,0.0248929072591274,5.58100008676835e-09,0.000372370903185688,0.318965340648402,0.0289839738480152,7.74963004758442e-05,-2.58657543898622,-0.752652755513127,-0.868981277362156,-11.9167952317617,-6.08265816965702,-21.3933836541303,-10.2851059533798,-3.53215863664246,-5.93049803221748,-11.8547661630772,2.38948580453732,0.821198655333061
0.378242431786556,2.06209366291358,1.79286459008827,4.62373412126619e-05,0.0126799455658745,2.93105752384703e-09,0.00022310084051914,0.139143178313562,0.00604978647109711,1.56531692259656e-05,-2.45185858789158,-0.755916844985566,-0.895823982534234,-11.4613614878617,-5.84737227577656,-21.1275412022784,-9.88752534196038,-3.45189046907141,-6.58737095447795,-12.5444758079105,1.47963865288218,1.31026913142728
0.385061819683145,2.099271449922,1.82518840692744,4.70709609722081e-05,0.0129085541514129,2.98390198687546e-09,0.000227123158069206,0.141651810942648,0.00615885895258228,1.59353824939446e-05,-2.45185858789158,-0.755916844985566,-0.895823982534234,-11.4613614878617,-5.84737227577656,-21.1275412022784,-9.88752534196038,-3.45189046907141,-6.58737095447795,-12.5444758079105,1.49750720091272,2.54362841556007
