"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-04-05,1,NA,NA,NA,1,NA,NA,NA
2020-04-12,3,NA,NA,NA,3,NA,NA,NA
2020-04-19,4,NA,NA,NA,4,NA,NA,NA
2020-04-26,5,NA,NA,NA,5,NA,NA,NA
2020-05-10,6,NA,NA,NA,6,NA,NA,NA
2020-05-17,8,NA,NA,NA,8,NA,NA,NA
2020-05-24,10,NA,NA,NA,10,NA,NA,NA
2020-05-31,11,NA,NA,NA,11,NA,NA,NA
2020-06-07,15,NA,NA,NA,15,NA,NA,NA
2020-06-14,17,NA,NA,NA,17,NA,NA,NA
2020-06-21,23,NA,NA,NA,23,NA,NA,NA
2020-06-28,26,NA,NA,NA,26,NA,NA,NA
2020-07-05,34,NA,NA,NA,34,NA,NA,NA
2020-07-12,41,NA,NA,NA,41,NA,NA,NA
2020-07-19,51,NA,NA,NA,51,NA,NA,NA
2020-07-26,59,NA,NA,NA,59,NA,NA,NA
2020-08-02,68,NA,NA,NA,68,NA,NA,NA
2020-08-09,80,NA,NA,NA,80,NA,NA,NA
2020-08-16,86,NA,NA,NA,86,NA,NA,NA
2020-08-23,94,NA,NA,NA,94,NA,NA,NA
2020-08-30,98,NA,NA,NA,98,NA,NA,NA
2020-09-06,101,NA,NA,NA,101,NA,NA,NA
2020-09-13,110,NA,NA,NA,110,NA,NA,NA
2020-09-20,113,NA,NA,NA,113,NA,NA,NA
2020-09-27,120,NA,NA,NA,120,NA,NA,NA
2020-10-04,124,NA,NA,NA,124,NA,NA,NA
2020-10-11,127,NA,NA,NA,127,NA,NA,NA
2020-10-18,129,NA,NA,NA,129,NA,NA,NA
2020-10-25,134,NA,NA,NA,134,NA,NA,NA
2020-11-01,139,NA,NA,NA,139,NA,NA,NA
2020-11-08,142,NA,NA,NA,142,NA,NA,NA
2020-11-15,151,NA,NA,NA,151,NA,NA,NA
2020-11-22,160,NA,NA,NA,160,NA,NA,NA
2020-11-29,170,NA,NA,NA,170,NA,NA,NA
2020-12-06,181,NA,NA,NA,181,NA,NA,NA
2020-12-13,194,NA,NA,NA,194,NA,NA,NA
2020-12-20,213,NA,NA,NA,213,NA,NA,NA
2020-12-27,226,NA,NA,NA,226,NA,NA,NA
2021-01-03,238,NA,NA,NA,238,NA,NA,NA
2021-01-10,248,NA,NA,NA,248,NA,NA,NA
2021-01-17,255,NA,NA,NA,255,NA,NA,NA
2021-01-24,262,NA,NA,NA,262,NA,NA,NA
2021-01-31,271,NA,NA,NA,271,NA,NA,NA
2021-02-07,286,NA,NA,NA,286,NA,NA,NA
2021-02-14,304,NA,NA,NA,304,NA,NA,NA
2021-02-21,321,NA,NA,NA,321,NA,NA,NA
2021-02-28,330,NA,NA,NA,330,NA,NA,NA
2021-03-07,351,NA,NA,NA,351,NA,NA,NA
2021-03-14,376,NA,NA,NA,376,NA,NA,NA
2021-03-21,405,NA,NA,NA,405,NA,NA,NA
2021-03-28,433,NA,NA,NA,433,NA,NA,NA
2021-04-04,450,NA,NA,NA,450,NA,NA,NA
2021-04-11,465,NA,NA,NA,465,NA,NA,NA
2021-04-18,477,NA,NA,NA,477,NA,NA,NA
2021-04-25,491,NA,NA,NA,491,NA,NA,NA
2021-05-02,506,NA,NA,NA,506,NA,NA,NA
2021-05-09,523,NA,NA,NA,523,NA,NA,NA
2021-05-16,537,NA,NA,NA,537,NA,NA,NA
2021-05-23,554,NA,NA,NA,554,NA,NA,NA
2021-05-30,572,NA,NA,NA,572,NA,NA,NA
2021-06-06,592,NA,NA,NA,592,NA,NA,NA
2021-06-13,615,NA,NA,NA,615,NA,NA,NA
2021-06-20,642,NA,NA,NA,642,NA,NA,NA
2021-06-27,659,NA,NA,NA,659,NA,NA,NA
2021-07-04,671,NA,NA,NA,671,NA,NA,NA
2021-07-11,676,NA,NA,NA,676,NA,NA,NA
2021-07-18,679,NA,NA,NA,679,NA,NA,NA
2021-07-25,686,NA,NA,NA,686,NA,NA,NA
2021-08-01,688,NA,NA,NA,688,NA,NA,NA
2021-08-08,693,NA,NA,NA,693,NA,NA,NA
2021-08-15,695,NA,NA,NA,695,NA,NA,NA
2021-08-22,695,NA,NA,NA,695,NA,NA,NA
2021-08-29,697,NA,NA,NA,697,NA,NA,NA
2021-09-05,700,NA,NA,NA,700,NA,NA,NA
2021-09-12,704,NA,NA,NA,704,NA,NA,NA
2021-09-19,704,NA,NA,NA,704,NA,NA,NA
2021-09-26,704,NA,NA,NA,704,NA,NA,NA
2021-10-03,705,NA,NA,NA,705,NA,NA,NA
2021-10-10,706,NA,NA,NA,707,NA,NA,NA
2021-10-17,707,707,706,723,709,709,709,709
2021-10-24,NA,708,707,727,NA,709,709,709
