"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-22,1,NA,NA,NA,1,NA,NA,NA
2020-04-12,2,NA,NA,NA,2,NA,NA,NA
2020-04-19,5,NA,NA,NA,5,NA,NA,NA
2020-04-26,6,NA,NA,NA,6,NA,NA,NA
2020-05-03,9,NA,NA,NA,9,NA,NA,NA
2020-05-17,10,NA,NA,NA,10,NA,NA,NA
2020-05-24,11,NA,NA,NA,11,NA,NA,NA
2020-05-31,12,NA,NA,NA,12,NA,NA,NA
2020-06-07,13,NA,NA,NA,13,NA,NA,NA
2020-06-14,15,NA,NA,NA,15,NA,NA,NA
2020-06-28,16,NA,NA,NA,16,NA,NA,NA
2020-07-05,18,NA,NA,NA,18,NA,NA,NA
2020-07-12,19,NA,NA,NA,19,NA,NA,NA
2020-07-19,21,NA,NA,NA,21,NA,NA,NA
2020-07-26,23,NA,NA,NA,23,NA,NA,NA
2020-08-02,31,NA,NA,NA,31,NA,NA,NA
2020-08-09,35,NA,NA,NA,35,NA,NA,NA
2020-08-16,38,NA,NA,NA,38,NA,NA,NA
2020-08-23,42,NA,NA,NA,42,NA,NA,NA
2020-08-30,48,NA,NA,NA,48,NA,NA,NA
2020-09-06,49,NA,NA,NA,49,NA,NA,NA
2020-09-13,53,NA,NA,NA,53,NA,NA,NA
2020-09-20,58,NA,NA,NA,58,NA,NA,NA
2020-09-27,59,NA,NA,NA,59,NA,NA,NA
2020-10-04,61,NA,NA,NA,61,NA,NA,NA
2020-10-11,62,NA,NA,NA,62,NA,NA,NA
2020-10-18,65,NA,NA,NA,65,NA,NA,NA
2020-11-01,66,NA,NA,NA,66,NA,NA,NA
2020-11-08,68,NA,NA,NA,68,NA,NA,NA
2020-11-15,69,NA,NA,NA,69,NA,NA,NA
2020-11-22,70,NA,NA,NA,70,NA,NA,NA
2020-12-13,73,NA,NA,NA,73,NA,NA,NA
2020-12-20,76,NA,NA,NA,76,NA,NA,NA
2020-12-27,78,NA,NA,NA,78,NA,NA,NA
2021-01-03,82,NA,NA,NA,82,NA,NA,NA
2021-01-10,90,NA,NA,NA,90,NA,NA,NA
2021-01-17,96,NA,NA,NA,96,NA,NA,NA
2021-01-24,101,NA,NA,NA,101,NA,NA,NA
2021-01-31,104,NA,NA,NA,104,NA,NA,NA
2021-02-14,107,NA,NA,NA,107,NA,NA,NA
2021-02-21,108,NA,NA,NA,108,NA,NA,NA
2021-02-28,112,NA,NA,NA,112,NA,NA,NA
2021-03-14,118,NA,NA,NA,118,NA,NA,NA
2021-03-21,125,NA,NA,NA,125,NA,NA,NA
2021-03-28,135,NA,NA,NA,135,NA,NA,NA
2021-04-04,148,NA,NA,NA,148,NA,NA,NA
2021-04-11,162,NA,NA,NA,162,NA,NA,NA
2021-04-18,167,NA,NA,NA,167,NA,NA,NA
2021-04-25,176,NA,NA,NA,176,NA,NA,NA
2021-05-02,183,NA,NA,NA,183,NA,NA,NA
2021-05-09,187,NA,NA,NA,187,NA,NA,NA
2021-05-16,189,NA,NA,NA,189,NA,NA,NA
2021-05-23,195,NA,NA,NA,195,NA,NA,NA
2021-05-30,199,NA,NA,NA,199,NA,NA,NA
2021-06-06,205,NA,NA,NA,205,NA,NA,NA
2021-06-13,209,NA,NA,NA,209,NA,NA,NA
2021-06-20,216,NA,NA,NA,216,NA,NA,NA
2021-06-27,219,NA,NA,NA,219,NA,NA,NA
2021-07-04,222,NA,NA,NA,222,NA,NA,NA
2021-07-11,229,NA,NA,NA,229,NA,NA,NA
2021-07-18,231,NA,NA,NA,231,NA,NA,NA
2021-07-25,232,NA,NA,NA,232,NA,NA,NA
2021-08-01,236,NA,NA,NA,236,NA,NA,NA
2021-08-15,238,NA,NA,NA,238,NA,NA,NA
2021-08-22,239,NA,NA,NA,238,NA,NA,NA
2021-08-29,240,NA,NA,NA,238,NA,NA,NA
2021-09-05,240,NA,NA,NA,238,NA,NA,NA
2021-09-12,240,NA,NA,NA,238,NA,NA,NA
2021-09-19,240,NA,NA,NA,238,NA,NA,NA
2021-09-26,240,NA,NA,NA,238,NA,NA,NA
2021-10-03,240,NA,NA,NA,238,NA,NA,NA
2021-10-10,240,NA,NA,NA,238,NA,NA,NA
2021-10-17,240,NA,NA,NA,239,NA,NA,NA
2021-10-24,240,240,240,242,240,240,240,240
2021-10-31,NA,240,240,242,NA,240,240,240
