"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,4,NA,NA,NA,4,NA,NA,NA
2020-03-22,5,NA,NA,NA,5,NA,NA,NA
2020-03-29,7,NA,NA,NA,7,NA,NA,NA
2020-04-05,8,NA,NA,NA,8,NA,NA,NA
2020-04-12,14,NA,NA,NA,14,NA,NA,NA
2020-04-19,17,NA,NA,NA,17,NA,NA,NA
2020-04-26,22,NA,NA,NA,22,NA,NA,NA
2020-05-03,23,NA,NA,NA,23,NA,NA,NA
2020-05-10,26,NA,NA,NA,26,NA,NA,NA
2020-05-17,28,NA,NA,NA,28,NA,NA,NA
2020-05-24,32,NA,NA,NA,32,NA,NA,NA
2020-05-31,34,NA,NA,NA,34,NA,NA,NA
2020-06-07,39,NA,NA,NA,39,NA,NA,NA
2020-06-14,45,NA,NA,NA,45,NA,NA,NA
2020-06-21,55,NA,NA,NA,55,NA,NA,NA
2020-06-28,62,NA,NA,NA,62,NA,NA,NA
2020-07-05,71,NA,NA,NA,71,NA,NA,NA
2020-07-12,82,NA,NA,NA,82,NA,NA,NA
2020-07-19,95,NA,NA,NA,95,NA,NA,NA
2020-07-26,106,NA,NA,NA,106,NA,NA,NA
2020-08-02,117,NA,NA,NA,117,NA,NA,NA
2020-08-09,132,NA,NA,NA,132,NA,NA,NA
2020-08-16,142,NA,NA,NA,142,NA,NA,NA
2020-08-23,153,NA,NA,NA,153,NA,NA,NA
2020-08-30,161,NA,NA,NA,161,NA,NA,NA
2020-09-06,165,NA,NA,NA,165,NA,NA,NA
2020-09-13,175,NA,NA,NA,175,NA,NA,NA
2020-09-20,179,NA,NA,NA,179,NA,NA,NA
2020-09-27,186,NA,NA,NA,186,NA,NA,NA
2020-10-04,191,NA,NA,NA,191,NA,NA,NA
2020-10-11,194,NA,NA,NA,194,NA,NA,NA
2020-10-18,199,NA,NA,NA,199,NA,NA,NA
2020-10-25,208,NA,NA,NA,208,NA,NA,NA
2020-11-01,214,NA,NA,NA,214,NA,NA,NA
2020-11-08,219,NA,NA,NA,219,NA,NA,NA
2020-11-15,230,NA,NA,NA,230,NA,NA,NA
2020-11-22,240,NA,NA,NA,240,NA,NA,NA
2020-11-29,254,NA,NA,NA,254,NA,NA,NA
2020-12-06,266,NA,NA,NA,266,NA,NA,NA
2020-12-13,280,NA,NA,NA,280,NA,NA,NA
2020-12-20,301,NA,NA,NA,301,NA,NA,NA
2020-12-27,314,NA,NA,NA,314,NA,NA,NA
2021-01-03,328,NA,NA,NA,328,NA,NA,NA
2021-01-10,338,NA,NA,NA,338,NA,NA,NA
2021-01-17,346,NA,NA,NA,346,NA,NA,NA
2021-01-24,354,NA,NA,NA,354,NA,NA,NA
2021-01-31,364,NA,NA,NA,364,NA,NA,NA
2021-02-07,379,NA,NA,NA,379,NA,NA,NA
2021-02-14,400,NA,NA,NA,400,NA,NA,NA
2021-02-21,419,NA,NA,NA,419,NA,NA,NA
2021-02-28,430,NA,NA,NA,430,NA,NA,NA
2021-03-07,454,NA,NA,NA,454,NA,NA,NA
2021-03-14,480,NA,NA,NA,480,NA,NA,NA
2021-03-21,510,NA,NA,NA,510,NA,NA,NA
2021-03-28,541,NA,NA,NA,541,NA,NA,NA
2021-04-04,560,NA,NA,NA,560,NA,NA,NA
2021-04-11,576,NA,NA,NA,576,NA,NA,NA
2021-04-18,589,NA,NA,NA,589,NA,NA,NA
2021-04-25,604,NA,NA,NA,604,NA,NA,NA
2021-05-02,619,NA,NA,NA,619,NA,NA,NA
2021-05-09,638,NA,NA,NA,638,NA,NA,NA
2021-05-16,653,NA,NA,NA,653,NA,NA,NA
2021-05-23,670,NA,NA,NA,670,NA,NA,NA
2021-05-30,689,NA,NA,NA,689,NA,NA,NA
2021-06-06,710,NA,NA,NA,710,NA,NA,NA
2021-06-13,736,NA,NA,NA,736,NA,NA,NA
2021-06-20,764,NA,NA,NA,764,NA,NA,NA
2021-06-27,781,NA,NA,NA,781,NA,NA,NA
2021-07-04,794,NA,NA,NA,794,NA,NA,NA
2021-07-11,801,NA,NA,NA,801,NA,NA,NA
2021-07-18,804,NA,NA,NA,804,NA,NA,NA
2021-07-25,812,NA,NA,NA,812,NA,NA,NA
2021-08-01,814,NA,NA,NA,814,NA,NA,NA
2021-08-08,820,NA,NA,NA,820,NA,NA,NA
2021-08-15,822,NA,NA,NA,822,NA,NA,NA
2021-08-22,822,NA,NA,NA,822,NA,NA,NA
2021-08-29,824,NA,NA,NA,824,NA,NA,NA
2021-09-05,828,NA,NA,NA,828,NA,NA,NA
2021-09-12,832,NA,NA,NA,832,NA,NA,NA
2021-09-19,834,NA,NA,NA,834,NA,NA,NA
2021-09-26,834,NA,NA,NA,834,NA,NA,NA
2021-10-03,835,NA,NA,NA,835,NA,NA,NA
2021-10-10,836,NA,NA,NA,838,NA,NA,NA
2021-10-17,838,838,837,858,841,841,841,841
2021-10-24,NA,839,838,863,NA,841,841,842
