"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.0103128231549272,0.0585067355862707,0.219940652971666,0.161786731104318,0.257999330732284,2.37556035425738e-08,0.102998842615396,2.28257766413916e-05,0.00428081323170203,0.00952373356401189,-4.38244672731469,-2.64669292888312,-1.32247706397878,-1.62955582146625,-1.16287782386254,-17.363526931398,-2.08111706329711,-10.49569964189,-5.26169181576828,-4.46204786170583,-0.191920464262255,2.69978978287767
0.00572142800201454,0.0324588204666167,0.122020381013926,0.0897572972782327,0.143134869392912,1.31793179492562e-08,0.0571424966240465,1.26634613705551e-05,0.00237494276080479,0.00528365075966902,-4.38244672731469,-2.64669292888312,-1.32247706397878,-1.62955582146625,-1.16287782386254,-17.363526931398,-2.08111706329711,-10.49569964189,-5.26169181576828,-4.46204786170583,-0.781090126731452,1.72261901639933
0.0220567873038532,0.0640556674224678,0.248998984343778,0.261661873527366,0.419695961252724,2.21783758189087e-08,0.10009123309491,1.0580504722437e-05,0.00495973591278256,0.0200425019699323,-3.94654235051939,-2.88041021050497,-1.52271390176513,-1.47310960806415,-1.00063217192609,-17.7565555252851,-2.43408061826461,-11.5889048676364,-5.43881022335212,-4.04230760205815,0.13240744029873,3.73125227026211
0.0173186972745582,0.0502956617175024,0.195510704805546,0.205453437687298,0.329539710392042,1.74141669662817e-08,0.0785903106344578,8.30767218161052e-06,0.00389431895279828,0.015737107107224,-3.94654235051939,-2.88041021050497,-1.52271390176513,-1.47310960806415,-1.00063217192609,-17.7565555252851,-2.43408061826461,-11.5889048676364,-5.43881022335212,-4.04230760205815,-0.109426243252046,6.44949571476139
0.0214936776314381,0.0624203265452271,0.24264204148651,0.25498164717093,0.408981125406541,2.16121619922966e-08,0.0975359044016033,1.03103844884174e-05,0.00483311387909117,0.0195308169922794,-3.94654235051939,-2.88041021050497,-1.52271390176513,-1.47310960806415,-1.00063217192609,-17.7565555252851,-2.43408061826461,-11.5889048676364,-5.43881022335212,-4.04230760205815,0.106545899771634,4.02564987369544
0.0606867518742214,0.176241913269294,0.685092501080799,0.719933006332483,1.15474589804416,6.10212889009552e-08,0.275389690435766,2.91110602804061e-05,0.0136461515702298,0.0551446739378674,-3.94654235051939,-2.88041021050497,-1.52271390176513,-1.47310960806415,-1.00063217192609,-17.7565555252851,-2.43408061826461,-11.5889048676364,-5.43881022335212,-4.04230760205815,1.14451249000256,2.34526022140011
0.0110089696232893,0.0319714239040734,0.124280214389685,0.130600507569501,0.209478380726884,1.10696568054409e-08,0.0499574724786388,5.28093477457755e-06,0.00247550022816885,0.0100036008110372,-3.94654235051939,-2.88041021050497,-1.52271390176513,-1.47310960806415,-1.00063217192609,-17.7565555252851,-2.43408061826461,-11.5889048676364,-5.43881022335212,-4.04230760205815,-0.56250256763986,4.23565839104892
0.00768924259032331,0.0223305216354143,0.0868038290884255,0.0912182537952358,0.146310703176947,7.73162970570778e-09,0.0348929226105794,3.68848220813498e-06,0.00172901937584815,0.00698704020856746,-3.94654235051939,-2.88041021050497,-1.52271390176513,-1.47310960806415,-1.00063217192609,-17.7565555252851,-2.43408061826461,-11.5889048676364,-5.43881022335212,-4.04230760205815,-0.92139064260174,4.13028450817644
0.00718465879737602,0.00763323134893153,0.0417144920170851,0.109751319044002,0.0962155706102689,8.70894393358725e-09,0.0479285013142598,8.47684104865709e-06,0.00171639997092111,0.00212637124680457,-3.77833319134744,-3.71776996016293,-2.01943262274798,-1.05206415105655,-1.18369002033389,-17.4014412435937,-1.88057087710017,-10.5206986379912,-5.21005216437034,-4.99586433468524,-1.15747405741836,4.53737325520226
0.00895998568360343,0.00951940036888573,0.0520221296254704,0.136870834805683,0.119990407272033,1.08609211884558e-08,0.0597716186284553,1.05714657550458e-05,0.00214052185364838,0.00265179690041136,-3.77833319134744,-3.71776996016293,-2.01943262274798,-1.05206415105655,-1.18369002033389,-17.4014412435937,-1.88057087710017,-10.5206986379912,-5.21005216437034,-4.99586433468524,-0.93665345846125,2.80424774951787
0.0084696204231868,0.00899841926403407,0.0491750441454229,0.129380119427002,0.113423529892182,1.02665208584767e-08,0.0565004163777751,9.9929068442381e-06,0.00202337461778699,0.00250666842325075,-3.77833319134744,-3.71776996016293,-2.01943262274798,-1.05206415105655,-1.18369002033389,-17.4014412435937,-1.88057087710017,-10.5206986379912,-5.21005216437034,-4.99586433468524,-0.992936394238581,3.30491818360003
0.00621507254454714,0.00395916143922675,0.0198307297749103,0.0440105473807686,0.0711706944309958,7.67377969861494e-09,0.0258196328330744,1.9552625258633e-05,0.00160638836517882,0.00115625676897606,-3.3308590204228,-3.78180417273934,-2.17060367439755,-1.37340709941993,-0.892755279191716,-16.9355376918664,-1.90670125274621,-9.0924821350479,-4.68384801011389,-5.01264855373393,-1.74991886117128,2.26269563492116
