"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.0074035281608962,0.109504784462943,0.230002596849622,0.977099608793542,0.198191595772729,0.211933706681898,1.2114094765322,0.153866881246904,0.00266346759252402,0.0323805485860419,-6.04825431031155,-3.35424273337089,-2.61212037588842,-1.16562237482324,-2.76097675716275,-2.69393745395926,-0.950671158088529,-3.014123154288,-7.07058209534962,-4.57265308516637,1.14245569641627,43.8696727126697
0.0168405620725552,0.177489180697287,0.145667944619943,0.930133343061973,0.317172045264456,0.926699087672941,0.952278021026792,0.32770923052105,0.0164535105205335,0.0867594431972068,-5.44422384784743,-3.08910458009512,-3.28668455381111,-1.43268627782877,-2.50856987714099,-1.43638532923276,-1.40915720228473,-2.47588751043114,-5.46747537338751,-3.80487496513285,1.36025895435259,77.6908252763544
0.0180081992568524,0.189795359451874,0.155767803993139,0.994623962379467,0.33916310899943,0.990951593542953,1.01830403740019,0.350430888001674,0.017594311558719,0.0927748927724361,-5.44422384784743,-3.08910458009512,-3.28668455381111,-1.43268627782877,-2.50856987714099,-1.43638532923276,-1.40915720228473,-2.47588751043114,-5.46747537338751,-3.80487496513285,1.42729573731591,108.087462594187
0.0162064335629653,0.170805855690735,0.140182842862716,0.895109329729486,0.305228985675316,0.891804390644862,0.916420153600083,0.315369395007613,0.0158339563715118,0.083492531073344,-5.44422384784743,-3.08910458009512,-3.28668455381111,-1.43268627782877,-2.50856987714099,-1.43638532923276,-1.40915720228473,-2.47588751043114,-5.46747537338751,-3.80487496513285,1.32187686578337,59.3851736867
0.0168889788168932,0.177999463444831,0.146086741071185,0.932807483513892,0.318083917312465,0.929363354614436,0.955015827596673,0.328651397057,0.0165008144887088,0.0870088772577855,-5.44422384784743,-3.08910458009512,-3.28668455381111,-1.43268627782877,-2.50856987714099,-1.43638532923276,-1.40915720228473,-2.47588751043114,-5.46747537338751,-3.80487496513285,1.36312983704564,21.7699005630573
0.0126680679550246,0.13351365546279,0.109576593308694,0.699679283053494,0.23858805932566,0.697095914371633,0.716337295065909,0.246514503722832,0.0123769140527983,0.0652635296510356,-5.44422384784743,-3.08910458009512,-3.28668455381111,-1.43268627782877,-2.50856987714099,-1.43638532923276,-1.40915720228473,-2.47588751043114,-5.46747537338751,-3.80487496513285,1.075553061833,56.9578295515825
0.0121764274897908,0.128332066926967,0.105323988451799,0.672525130624243,0.229328593327961,0.670042021002021,0.688536654726684,0.236947416955738,0.0118965731038328,0.0627306894267529,-5.44422384784743,-3.08910458009512,-3.28668455381111,-1.43268627782877,-2.50856987714099,-1.43638532923276,-1.40915720228473,-2.47588751043114,-5.46747537338751,-3.80487496513285,1.03597047858241,48.7080130421011
0.00817550395422841,0.205370729698343,0.124668600911534,0.84079627492128,0.389921462782985,0.550044858675348,0.644525332964559,0.352924386623434,0.00785480837928743,0.0242517144043239,-5.95354976224538,-2.72987533946895,-3.22903309894663,-1.32034273375102,-2.08874678154085,-1.74469228677736,-1.58617799491498,-2.18843829111703,-5.99356624623963,-4.86620481093576,1.14693684392371,62.9548959041424
0.00813125289266754,0.204259131825776,0.123993814627468,0.836245347182757,0.387810958189003,0.547067663747824,0.641036749221435,0.351014133892074,0.00781229312749539,0.0241204485994181,-5.95354976224538,-2.72987533946895,-3.22903309894663,-1.32034273375102,-2.08874678154085,-1.74469228677736,-1.58617799491498,-2.18843829111703,-5.99356624623963,-4.86620481093576,1.14150950228883,66.595787714836
0.00695677366358354,0.174755916165562,0.10608413185937,0.715457960091409,0.331795492772243,0.468049138994433,0.548445317497669,0.300313606579376,0.00668388448852255,0.0206364878555885,-5.95354976224538,-2.72987533946895,-3.22903309894663,-1.32034273375102,-2.08874678154085,-1.74469228677736,-1.58617799491498,-2.18843829111703,-5.99356624623963,-4.86620481093576,0.98551029605234,86.665003381467
