"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-04-05,1,NA,NA,NA,1,NA,NA,NA
2020-04-12,3,NA,NA,NA,3,NA,NA,NA
2020-04-19,5,NA,NA,NA,5,NA,NA,NA
2020-04-26,6,NA,NA,NA,6,NA,NA,NA
2020-05-03,7,NA,NA,NA,7,NA,NA,NA
2020-05-10,8,NA,NA,NA,8,NA,NA,NA
2020-05-24,11,NA,NA,NA,11,NA,NA,NA
2020-05-31,13,NA,NA,NA,13,NA,NA,NA
2020-06-07,16,NA,NA,NA,16,NA,NA,NA
2020-06-14,21,NA,NA,NA,21,NA,NA,NA
2020-06-21,26,NA,NA,NA,26,NA,NA,NA
2020-06-28,31,NA,NA,NA,31,NA,NA,NA
2020-07-05,41,NA,NA,NA,41,NA,NA,NA
2020-07-12,52,NA,NA,NA,52,NA,NA,NA
2020-07-19,60,NA,NA,NA,60,NA,NA,NA
2020-07-26,74,NA,NA,NA,74,NA,NA,NA
2020-08-02,83,NA,NA,NA,83,NA,NA,NA
2020-08-09,90,NA,NA,NA,90,NA,NA,NA
2020-08-16,95,NA,NA,NA,95,NA,NA,NA
2020-08-23,105,NA,NA,NA,105,NA,NA,NA
2020-08-30,109,NA,NA,NA,109,NA,NA,NA
2020-09-06,113,NA,NA,NA,113,NA,NA,NA
2020-09-13,120,NA,NA,NA,120,NA,NA,NA
2020-09-20,131,NA,NA,NA,131,NA,NA,NA
2020-09-27,133,NA,NA,NA,133,NA,NA,NA
2020-10-04,135,NA,NA,NA,135,NA,NA,NA
2020-10-11,138,NA,NA,NA,138,NA,NA,NA
2020-10-18,140,NA,NA,NA,140,NA,NA,NA
2020-10-25,143,NA,NA,NA,143,NA,NA,NA
2020-11-01,145,NA,NA,NA,145,NA,NA,NA
2020-11-08,146,NA,NA,NA,146,NA,NA,NA
2020-11-15,147,NA,NA,NA,147,NA,NA,NA
2020-11-22,148,NA,NA,NA,148,NA,NA,NA
2020-12-06,150,NA,NA,NA,150,NA,NA,NA
2020-12-13,156,NA,NA,NA,156,NA,NA,NA
2020-12-20,161,NA,NA,NA,161,NA,NA,NA
2020-12-27,162,NA,NA,NA,162,NA,NA,NA
2021-01-03,164,NA,NA,NA,164,NA,NA,NA
2021-01-10,169,NA,NA,NA,169,NA,NA,NA
2021-01-17,174,NA,NA,NA,174,NA,NA,NA
2021-01-24,177,NA,NA,NA,177,NA,NA,NA
2021-01-31,185,NA,NA,NA,185,NA,NA,NA
2021-02-07,195,NA,NA,NA,195,NA,NA,NA
2021-02-14,200,NA,NA,NA,200,NA,NA,NA
2021-02-21,204,NA,NA,NA,204,NA,NA,NA
2021-02-28,212,NA,NA,NA,212,NA,NA,NA
2021-03-07,231,NA,NA,NA,231,NA,NA,NA
2021-03-14,249,NA,NA,NA,249,NA,NA,NA
2021-03-21,273,NA,NA,NA,273,NA,NA,NA
2021-03-28,301,NA,NA,NA,301,NA,NA,NA
2021-04-04,322,NA,NA,NA,322,NA,NA,NA
2021-04-11,347,NA,NA,NA,347,NA,NA,NA
2021-04-18,370,NA,NA,NA,370,NA,NA,NA
2021-04-25,379,NA,NA,NA,379,NA,NA,NA
2021-05-02,391,NA,NA,NA,391,NA,NA,NA
2021-05-09,409,NA,NA,NA,409,NA,NA,NA
2021-05-16,424,NA,NA,NA,424,NA,NA,NA
2021-05-23,440,NA,NA,NA,440,NA,NA,NA
2021-05-30,449,NA,NA,NA,449,NA,NA,NA
2021-06-06,459,NA,NA,NA,459,NA,NA,NA
2021-06-13,477,NA,NA,NA,477,NA,NA,NA
2021-06-20,497,NA,NA,NA,497,NA,NA,NA
2021-06-27,511,NA,NA,NA,511,NA,NA,NA
2021-07-04,525,NA,NA,NA,525,NA,NA,NA
2021-07-11,530,NA,NA,NA,530,NA,NA,NA
2021-07-18,534,NA,NA,NA,534,NA,NA,NA
2021-07-25,541,NA,NA,NA,541,NA,NA,NA
2021-08-01,550,NA,NA,NA,550,NA,NA,NA
2021-08-08,554,NA,NA,NA,554,NA,NA,NA
2021-08-15,557,NA,NA,NA,557,NA,NA,NA
2021-08-22,569,NA,NA,NA,568,NA,NA,NA
2021-08-29,571,NA,NA,NA,570,NA,NA,NA
2021-09-05,575,NA,NA,NA,574,NA,NA,NA
2021-09-12,580,580,572,610,576,576,576,576
2021-09-19,NA,584,574,620,NA,576,576,576
