"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-04-05,1,NA,1,NA,NA,NA
2020-04-12,2,NA,2,NA,NA,NA
2020-04-19,2,NA,2,NA,NA,NA
2020-04-26,1,NA,1,NA,NA,NA
2020-05-03,1,NA,1,NA,NA,NA
2020-05-10,1,NA,1,NA,NA,NA
2020-05-24,3,NA,3,NA,NA,NA
2020-05-31,2,NA,2,NA,NA,NA
2020-06-07,3,NA,3,NA,NA,NA
2020-06-14,5,NA,5,NA,NA,NA
2020-06-21,5,NA,5,NA,NA,NA
2020-06-28,5,NA,5,NA,NA,NA
2020-07-05,10,NA,10,NA,NA,NA
2020-07-12,11,NA,11,NA,NA,NA
2020-07-19,8,NA,8,NA,NA,NA
2020-07-26,14,NA,14,NA,NA,NA
2020-08-02,9,NA,9,NA,NA,NA
2020-08-09,7,NA,7,NA,NA,NA
2020-08-16,5,NA,5,NA,NA,NA
2020-08-23,10,NA,10,NA,NA,NA
2020-08-30,4,NA,4,NA,NA,NA
2020-09-06,4,NA,4,NA,NA,NA
2020-09-13,7,NA,7,NA,NA,NA
2020-09-20,11,NA,11,NA,NA,NA
2020-09-27,2,NA,2,NA,NA,NA
2020-10-04,2,NA,2,NA,NA,NA
2020-10-11,3,NA,3,NA,NA,NA
2020-10-18,2,NA,2,NA,NA,NA
2020-10-25,3,NA,3,NA,NA,NA
2020-11-01,2,NA,2,NA,NA,NA
2020-11-08,1,NA,1,NA,NA,NA
2020-11-15,1,NA,1,NA,NA,NA
2020-11-22,1,NA,1,NA,NA,NA
2020-12-06,2,NA,2,NA,NA,NA
2020-12-13,6,NA,6,NA,NA,NA
2020-12-20,5,NA,5,NA,NA,NA
2020-12-27,1,NA,1,NA,NA,NA
2021-01-03,2,NA,2,NA,NA,NA
2021-01-10,5,NA,5,NA,NA,NA
2021-01-17,5,NA,5,NA,NA,NA
2021-01-24,3,NA,3,NA,NA,NA
2021-01-31,8,NA,8,NA,NA,NA
2021-02-07,10,NA,10,NA,NA,NA
2021-02-14,5,NA,5,NA,NA,NA
2021-02-21,4,NA,4,NA,NA,NA
2021-02-28,8,NA,8,NA,NA,NA
2021-03-07,19,NA,19,NA,NA,NA
2021-03-14,18,NA,18,NA,NA,NA
2021-03-21,25,NA,25,NA,NA,NA
2021-03-28,28,NA,28,NA,NA,NA
2021-04-04,21,NA,21,NA,NA,NA
2021-04-11,26,NA,26,NA,NA,NA
2021-04-18,24,NA,24,NA,NA,NA
2021-04-25,9,NA,9,NA,NA,NA
2021-05-02,12,NA,12,NA,NA,NA
2021-05-09,18,NA,18,NA,NA,NA
2021-05-16,15,NA,15,NA,NA,NA
2021-05-23,16,NA,16,NA,NA,NA
2021-05-30,9,NA,9,NA,NA,NA
2021-06-06,10,NA,10,NA,NA,NA
2021-06-13,18,NA,18,NA,NA,NA
2021-06-20,21,NA,21,NA,NA,NA
2021-06-27,14,NA,14,NA,NA,NA
2021-07-04,14,NA,14,NA,NA,NA
2021-07-11,5,NA,5,NA,NA,NA
2021-07-18,4,NA,4,NA,NA,NA
2021-07-25,7,NA,7,NA,NA,NA
2021-08-01,9,NA,9,NA,NA,NA
2021-08-08,NA,4,4,NA,4,5
2021-08-15,NA,3,3,NA,3,5
2021-08-22,NA,11,11,NA,11,13
2021-08-29,NA,2,2,NA,2,4
2021-09-05,NA,4,4,NA,4,6
2021-09-12,NA,4,4,NA,4,7
2021-09-19,NA,1,1,NA,0,4
2021-09-26,NA,2,2,NA,1,7
2021-10-03,NA,2,2,NA,0,8
