"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-29,1,NA,1,NA,NA,NA
2020-04-05,2,NA,2,NA,NA,NA
2020-04-12,5,NA,5,NA,NA,NA
2020-04-19,3,NA,3,NA,NA,NA
2020-04-26,5,NA,5,NA,NA,NA
2020-05-03,7,NA,7,NA,NA,NA
2020-05-10,5,NA,5,NA,NA,NA
2020-05-17,2,NA,2,NA,NA,NA
2020-05-24,5,NA,5,NA,NA,NA
2020-05-31,7,NA,7,NA,NA,NA
2020-06-07,5,NA,5,NA,NA,NA
2020-06-14,7,NA,7,NA,NA,NA
2020-06-21,13,NA,13,NA,NA,NA
2020-06-28,9,NA,9,NA,NA,NA
2020-07-05,14,NA,14,NA,NA,NA
2020-07-12,13,NA,13,NA,NA,NA
2020-07-19,13,NA,13,NA,NA,NA
2020-07-26,16,NA,16,NA,NA,NA
2020-08-02,13,NA,13,NA,NA,NA
2020-08-09,10,NA,10,NA,NA,NA
2020-08-16,7,NA,7,NA,NA,NA
2020-08-23,11,NA,11,NA,NA,NA
2020-08-30,5,NA,5,NA,NA,NA
2020-09-06,5,NA,5,NA,NA,NA
2020-09-13,9,NA,9,NA,NA,NA
2020-09-20,14,NA,14,NA,NA,NA
2020-09-27,3,NA,3,NA,NA,NA
2020-10-04,3,NA,3,NA,NA,NA
2020-10-11,3,NA,3,NA,NA,NA
2020-10-18,2,NA,2,NA,NA,NA
2020-10-25,3,NA,3,NA,NA,NA
2020-11-01,2,NA,2,NA,NA,NA
2020-11-08,1,NA,1,NA,NA,NA
2020-11-15,1,NA,1,NA,NA,NA
2020-11-22,2,NA,2,NA,NA,NA
2020-12-06,3,NA,3,NA,NA,NA
2020-12-13,6,NA,6,NA,NA,NA
2020-12-20,5,NA,5,NA,NA,NA
2020-12-27,1,NA,1,NA,NA,NA
2021-01-03,2,NA,2,NA,NA,NA
2021-01-10,5,NA,5,NA,NA,NA
2021-01-17,5,NA,5,NA,NA,NA
2021-01-24,3,NA,3,NA,NA,NA
2021-01-31,8,NA,8,NA,NA,NA
2021-02-07,10,NA,10,NA,NA,NA
2021-02-14,5,NA,5,NA,NA,NA
2021-02-21,5,NA,5,NA,NA,NA
2021-02-28,8,NA,8,NA,NA,NA
2021-03-07,19,NA,19,NA,NA,NA
2021-03-14,18,NA,18,NA,NA,NA
2021-03-21,26,NA,26,NA,NA,NA
2021-03-28,28,NA,28,NA,NA,NA
2021-04-04,21,NA,21,NA,NA,NA
2021-04-11,26,NA,26,NA,NA,NA
2021-04-18,26,NA,26,NA,NA,NA
2021-04-25,10,NA,10,NA,NA,NA
2021-05-02,12,NA,12,NA,NA,NA
2021-05-09,18,NA,18,NA,NA,NA
2021-05-16,16,NA,16,NA,NA,NA
2021-05-23,16,NA,16,NA,NA,NA
2021-05-30,9,NA,9,NA,NA,NA
2021-06-06,10,NA,10,NA,NA,NA
2021-06-13,18,NA,18,NA,NA,NA
2021-06-20,22,NA,22,NA,NA,NA
2021-06-27,15,NA,15,NA,NA,NA
2021-07-04,14,NA,14,NA,NA,NA
2021-07-11,5,NA,5,NA,NA,NA
2021-07-18,4,NA,4,NA,NA,NA
2021-07-25,7,NA,7,NA,NA,NA
2021-08-01,9,NA,9,NA,NA,NA
2021-08-08,4,NA,4,NA,NA,NA
2021-08-15,4,NA,4,NA,NA,NA
2021-08-22,NA,11,11,NA,11,15
2021-08-29,NA,4,4,NA,4,7
2021-09-05,NA,4,4,NA,4,7
2021-09-12,NA,4,4,NA,4,7
2021-09-19,NA,0,0,NA,0,2
2021-09-26,NA,1,1,NA,1,3
2021-10-03,NA,2,2,NA,2,6
2021-10-10,NA,1,1,NA,0,5
2021-10-17,NA,1,1,NA,0,7
