"dt_sin_pri","n.casos"
2020-03-22,1
2020-03-29,4
2020-04-05,1
2020-04-26,4
2020-05-10,2
2020-05-17,2
2020-06-07,1
2020-07-05,2
2020-07-26,2
2020-08-02,1
2020-08-09,2
2020-08-16,1
2020-08-23,2
2020-08-30,1
2020-09-13,4
2020-09-20,4
2020-10-04,1
2020-10-11,1
2020-10-18,1
2020-10-25,1
2020-11-01,1
2020-11-08,1
2020-11-29,1
2020-12-06,3
2020-12-13,2
2020-12-27,3
2021-01-10,1
2021-01-17,1
2021-01-24,5
2021-01-31,1
2021-02-07,1
2021-02-14,5
2021-02-21,3
2021-03-07,3
2021-03-14,2
2021-03-21,4
2021-03-28,4
2021-04-04,4
2021-04-11,1
2021-04-18,3
2021-04-25,4
2021-05-02,3
2021-05-09,8
2021-05-16,4
2021-05-23,9
2021-05-30,13
2021-06-06,3
2021-06-13,6
2021-06-20,10
2021-06-27,4
2021-07-04,1
2021-07-11,3
2021-07-25,2
2021-08-08,2
2021-08-15,2
2021-08-22,2
2021-08-29,1
