"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.129243761470021,0.485054819163884,4.58544817771414e-05,3.44749797403614e-12,5.12361562837185e-10,4.62969700677428e-06,8.04228338857937e-06,0.0379013198509543,0.0114595555791025,7.36125329542607e-06,-1.91294891955945,-0.590387250872532,-9.85693150099977,-26.2602662585496,-21.2588844483431,-12.1499130189534,-11.5976913971846,-3.13966322858113,-4.33582523427498,-11.6861742406601,-0.133106114355555,0.227384455794142
1.59663896480025,5.99222287816836,0.000566472621064105,4.25893639569813e-11,6.32956226271357e-09,5.71938989716691e-05,9.93519755083116e-05,0.468221625578635,0.141567939131307,9.09387324197287e-05,-1.91294891955945,-0.590387250872532,-9.85693150099977,-26.2602662585496,-21.2588844483431,-12.1499130189534,-11.5976913971846,-3.13966322858113,-4.33582523427498,-11.6861742406601,2.3808496923517,0.138791790652264
0.42326512170235,0.652850128860706,0.000131492629546417,8.17240953359913e-12,3.45440065668527e-09,2.65983942898397e-05,2.84720022631163e-05,0.390836118062545,0.00876569090777584,1.0227961300505e-05,-1.90170440681738,-1.46835556354631,-9.97850763279393,-26.5722052017852,-20.5255647418669,-11.5766075848423,-11.5085372060707,-1.98141481804847,-5.77885781375673,-12.532333160024,1.04194787579999,0.233151819956155
0.363707003445026,0.781169809043163,9.93104213814974e-05,4.36192322199333e-12,1.14287919389084e-09,2.01407819434029e-05,2.68738749084202e-05,0.32359794058038,0.00620953565595155,1.68411284892014e-05,-1.90464888202987,-1.14020493858386,-10.110502254925,-27.0513502608237,-21.4829573608128,-11.7060060569944,-11.4175981472248,-2.02149566886763,-5.9749113703905,-11.8849287499317,0.893242210959279,0.0624439350670839
0.629142383509788,1.35127185050641,0.000171787715450908,7.54527888266627e-12,1.97695874233258e-09,3.48396358541351e-05,4.64865772555379e-05,0.559761505022466,0.0107412890762904,2.9131877083286e-05,-1.90464888202987,-1.14020493858386,-10.110502254925,-27.0513502608237,-21.4829573608128,-11.7060060569944,-11.4175981472248,-2.02149566886763,-5.9749113703905,-11.8849287499317,1.44125119901193,0.048087189114998
0.539934008966121,1.15967012646136,0.000147429313817795,6.47540649408821e-12,1.69663861041027e-09,2.98995978504925e-05,3.98950772966091e-05,0.480390896231819,0.00921824284047024,2.50011628441532e-05,-1.90464888202987,-1.14020493858386,-10.110502254925,-27.0513502608237,-21.4829573608128,-11.7060060569944,-11.4175981472248,-2.02149566886763,-5.9749113703905,-11.8849287499317,1.28834052952004,0.213531531053604
1.1729069603775,0.475219431607867,0.000214299237007594,2.23937068394242e-11,2.20482704881965e-09,3.60343329157561e-05,5.3766252381123e-05,0.333127356830624,0.0173503050777935,2.58577359167369e-05,-1.2731043409933,-2.17656821019162,-9.88072680573753,-25.954830731061,-21.3652063568859,-11.6636279717318,-11.2634541566323,-2.53181999902594,-5.48673477886195,-11.995490329863,1.43258958985258,0.360478348465732
1.26130014633433,0.511033150007911,0.000230449360544351,2.40813522876896e-11,2.37098829938145e-09,3.87499698740597e-05,5.78182108957154e-05,0.358232663043624,0.0186578672246287,2.78064392124996e-05,-1.2731043409933,-2.17656821019162,-9.88072680573753,-25.954830731061,-21.3652063568859,-11.6636279717318,-11.2634541566323,-2.53181999902594,-5.48673477886195,-11.995490329863,1.50524739212295,0.208403823132852
1.40834321611362,1.32900383038648,0.00107872004992444,9.40656448417573e-11,1.15303740180981e-08,0.00041843978420658,3.56778438272974e-05,0.191415399851065,0.0340185056853042,8.16440107947737e-05,-1.69019951584305,-1.74818384343441,-8.86459358495563,-25.1196417333288,-20.3108945698196,-9.81159106851643,-12.273594188246,-3.68592284952619,-5.4134641228916,-11.4457555987331,2.03261350531823,0.261181825770675
0.319702686793561,0.301692151793781,0.000244876173870889,2.13534875922266e-11,2.61746675891484e-09,9.49884387140533e-05,8.09909289162069e-06,0.0434524886589237,0.00772241279246264,1.85336992524597e-05,-1.69019951584305,-1.74818384343441,-8.86459358495563,-25.1196417333288,-20.3108945698196,-9.81159106851643,-12.273594188246,-3.68592284952619,-5.4134641228916,-11.4457555987331,0.549835697000119,0.142629650618077
