"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.0709681388996782,0.604516873289448,0.458556967734008,9.40642837156697e-06,0.0464800868697809,1.89435101239889e-08,5.20111142702955e-08,0.0173785734608372,0.946842147176706,0.00273782864891932,-3.40982401235984,-1.26762545832348,-1.54397050875674,-12.3384169949144,-3.83303105927873,-18.5461041995533,-17.5361081670457,-4.81681700367672,-0.818922648747024,-6.66488989845542,0.764299761809695,10.4377715712504
0.0929795240208517,0.792013035884772,0.600782396965837,1.2323913889878e-05,0.0608962898084349,2.48190044422972e-08,6.81428134318474e-08,0.0227686890709399,1.24051346889372,0.00358699000106263,-3.40982401235984,-1.26762545832348,-1.54397050875674,-12.3384169949144,-3.83303105927873,-18.5461041995533,-17.5361081670457,-4.81681700367672,-0.818922648747024,-6.66488989845542,1.03444803047079,4.11669076621534
0.0691640213886545,0.460264994250198,0.432501243631366,1.78784843386824e-05,0.0104074742493977,9.9088509185954e-08,6.87593285311526e-08,0.00679030413889739,0.902790536033224,0.00175646934968311,-3.30450873284856,-1.40918714006364,-1.4714043363205,-11.5651468194964,-5.19846531228776,-16.7604866131936,-17.125887681033,-5.62549380538978,-0.735498976153264,-6.97768379521884,0.633234259154404,8.47305121437547
0.0491570373499152,0.327124754445335,0.307392186865517,1.27067990662071e-05,0.00739691808145566,7.04253085521192e-08,4.88694094544857e-08,0.00482608193496131,0.641641524132299,0.00124837780818392,-3.30450873284856,-1.40918714006364,-1.4714043363205,-11.5651468194964,-5.19846531228776,-16.7604866131936,-17.125887681033,-5.62549380538978,-0.735498976153264,-6.97768379521884,0.291773471286778,9.64670692010569
0.0723990380438724,0.481793021283881,0.452730673593047,1.87147167243137e-05,0.0108942642286322,1.03723187319488e-07,7.19754164412227e-08,0.00710790780829495,0.94501686066853,0.00183862489076529,-3.30450873284856,-1.40918714006364,-1.4714043363205,-11.5651468194964,-5.19846531228776,-16.7604866131936,-17.125887681033,-5.62549380538978,-0.735498976153264,-6.97768379521884,0.678946466482985,9.92136350051587
0.0660603205336467,0.439610832917427,0.413092966716589,1.70761962991192e-05,0.00994044404962356,9.464196191315e-08,6.56737880656455e-08,0.00648559263805462,0.862278262421573,0.00167764866642971,-3.30450873284856,-1.40918714006364,-1.4714043363205,-11.5651468194964,-5.19846531228776,-16.7604866131936,-17.125887681033,-5.62549380538978,-0.735498976153264,-6.97768379521884,0.587321725976651,18.5989345949994
0.0519324582671949,0.422348341998305,0.502444048584327,3.49222554323776e-05,0.0372418621013366,2.61609816991054e-07,1.11468441891581e-07,0.0139091601535878,0.600451286027379,0.0010818569605297,-3.4460503263846,-1.35016389270619,-1.17651003358095,-10.7506252827543,-3.77856086733395,-15.644650733575,-16.4977633607017,-4.76344669426971,-0.998312805336867,-7.31731534866945,0.488239042231764,10.0080812759227
0.0774635251649106,0.629983492220139,0.749455899068379,5.20907560081797e-05,0.0555507291265156,3.90222595233385e-07,1.66268625473797e-07,0.0207471899758081,0.89564551452914,0.00161372014118123,-3.4460503263846,-1.35016389270619,-1.17651003358095,-10.7506252827543,-3.77856086733395,-15.644650733575,-16.4977633607017,-4.76344669426971,-0.998312805336867,-7.31731534866945,0.888102229941156,4.82834558498491
0.107723448881118,0.561151931578353,0.318382588661843,6.08541412697766e-05,0.0952337286992081,1.68114689959586e-07,1.51504688595492e-07,0.0128824062492393,1.32139066576589,0.000511416890074252,-3.11085466463127,-1.46043025751919,-2.02716818052981,-10.5896973539964,-3.23408777704457,-16.4812860823028,-16.5853159348225,-5.2345594253333,-0.603981953480455,-8.46099213869432,0.882666670171691,18.3383255659479
0.13761190729536,0.716846595509516,0.406719574340235,7.77384546627075e-05,0.121656846130221,2.1475902758403e-07,1.93540490750754e-07,0.0164567001235534,1.68801771282876,0.000653312295485885,-3.11085466463127,-1.46043025751919,-2.02716818052981,-10.5896973539964,-3.23408777704457,-16.4812860823028,-16.5853159348225,-5.2345594253333,-0.603981953480455,-8.46099213869432,1.12753684298113,14.1221423351668
