"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-06-14,1,NA,NA,NA,1,NA,NA,NA
2020-08-30,5,NA,NA,NA,5,NA,NA,NA
2020-09-20,6,NA,NA,NA,6,NA,NA,NA
2020-09-27,7,NA,NA,NA,7,NA,NA,NA
2020-10-25,8,NA,NA,NA,8,NA,NA,NA
2020-11-01,9,NA,NA,NA,9,NA,NA,NA
2020-12-13,10,NA,NA,NA,10,NA,NA,NA
2020-12-20,11,NA,NA,NA,11,NA,NA,NA
2020-12-27,12,NA,NA,NA,12,NA,NA,NA
2021-02-07,13,NA,NA,NA,13,NA,NA,NA
2021-02-21,14,NA,NA,NA,14,NA,NA,NA
2021-02-28,15,NA,NA,NA,15,NA,NA,NA
2021-03-07,18,NA,NA,NA,18,NA,NA,NA
2021-03-14,19,NA,NA,NA,19,NA,NA,NA
2021-03-28,21,NA,NA,NA,21,NA,NA,NA
2021-04-04,23,NA,NA,NA,23,NA,NA,NA
2021-04-11,28,NA,NA,NA,28,NA,NA,NA
2021-04-25,31,NA,NA,NA,31,NA,NA,NA
2021-05-02,33,NA,NA,NA,33,NA,NA,NA
2021-05-09,35,NA,NA,NA,35,NA,NA,NA
2021-05-16,36,NA,NA,NA,36,NA,NA,NA
2021-05-23,38,NA,NA,NA,38,NA,NA,NA
2021-05-30,43,NA,NA,NA,43,NA,NA,NA
2021-06-06,46,NA,NA,NA,46,NA,NA,NA
2021-06-13,51,NA,NA,NA,51,NA,NA,NA
2021-06-27,52,NA,NA,NA,52,NA,NA,NA
2021-07-04,56,NA,NA,NA,56,NA,NA,NA
2021-07-11,56,NA,NA,NA,56,NA,NA,NA
2021-07-18,56,NA,NA,NA,56,NA,NA,NA
2021-07-25,56,NA,NA,NA,56,NA,NA,NA
2021-08-01,56,NA,NA,NA,56,NA,NA,NA
2021-08-08,56,NA,NA,NA,56,NA,NA,NA
2021-08-15,57,NA,NA,NA,57,NA,NA,NA
2021-08-22,57,NA,NA,NA,57,NA,NA,NA
2021-08-29,57,NA,NA,NA,57,NA,NA,NA
2021-09-05,58,58,58,66,58,58,58,58
2021-09-12,NA,58,58,69,NA,58,58,58
