"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-22,1,NA,NA,NA,1,NA,NA,NA
2020-03-29,5,NA,NA,NA,5,NA,NA,NA
2020-04-05,6,NA,NA,NA,6,NA,NA,NA
2020-04-26,10,NA,NA,NA,10,NA,NA,NA
2020-05-10,12,NA,NA,NA,12,NA,NA,NA
2020-05-17,14,NA,NA,NA,14,NA,NA,NA
2020-06-07,15,NA,NA,NA,15,NA,NA,NA
2020-07-05,17,NA,NA,NA,17,NA,NA,NA
2020-07-26,19,NA,NA,NA,19,NA,NA,NA
2020-08-02,20,NA,NA,NA,20,NA,NA,NA
2020-08-09,22,NA,NA,NA,22,NA,NA,NA
2020-08-16,23,NA,NA,NA,23,NA,NA,NA
2020-08-23,25,NA,NA,NA,25,NA,NA,NA
2020-08-30,26,NA,NA,NA,26,NA,NA,NA
2020-09-13,30,NA,NA,NA,30,NA,NA,NA
2020-09-20,34,NA,NA,NA,34,NA,NA,NA
2020-10-04,35,NA,NA,NA,35,NA,NA,NA
2020-10-11,36,NA,NA,NA,36,NA,NA,NA
2020-10-18,37,NA,NA,NA,37,NA,NA,NA
2020-10-25,38,NA,NA,NA,38,NA,NA,NA
2020-11-01,39,NA,NA,NA,39,NA,NA,NA
2020-11-08,40,NA,NA,NA,40,NA,NA,NA
2020-11-29,41,NA,NA,NA,41,NA,NA,NA
2020-12-06,44,NA,NA,NA,44,NA,NA,NA
2020-12-13,46,NA,NA,NA,46,NA,NA,NA
2020-12-27,49,NA,NA,NA,49,NA,NA,NA
2021-01-10,50,NA,NA,NA,50,NA,NA,NA
2021-01-17,51,NA,NA,NA,51,NA,NA,NA
2021-01-24,56,NA,NA,NA,56,NA,NA,NA
2021-01-31,57,NA,NA,NA,57,NA,NA,NA
2021-02-07,58,NA,NA,NA,58,NA,NA,NA
2021-02-14,63,NA,NA,NA,63,NA,NA,NA
2021-02-21,66,NA,NA,NA,66,NA,NA,NA
2021-03-07,69,NA,NA,NA,69,NA,NA,NA
2021-03-14,71,NA,NA,NA,71,NA,NA,NA
2021-03-21,75,NA,NA,NA,75,NA,NA,NA
2021-03-28,79,NA,NA,NA,79,NA,NA,NA
2021-04-04,83,NA,NA,NA,83,NA,NA,NA
2021-04-11,84,NA,NA,NA,84,NA,NA,NA
2021-04-18,87,NA,NA,NA,87,NA,NA,NA
2021-04-25,91,NA,NA,NA,91,NA,NA,NA
2021-05-02,94,NA,NA,NA,94,NA,NA,NA
2021-05-09,102,NA,NA,NA,102,NA,NA,NA
2021-05-16,106,NA,NA,NA,106,NA,NA,NA
2021-05-23,115,NA,NA,NA,115,NA,NA,NA
2021-05-30,128,NA,NA,NA,128,NA,NA,NA
2021-06-06,131,NA,NA,NA,131,NA,NA,NA
2021-06-13,137,NA,NA,NA,137,NA,NA,NA
2021-06-20,147,NA,NA,NA,147,NA,NA,NA
2021-06-27,151,NA,NA,NA,151,NA,NA,NA
2021-07-04,152,NA,NA,NA,152,NA,NA,NA
2021-07-11,155,NA,NA,NA,155,NA,NA,NA
2021-07-18,157,NA,NA,NA,155,NA,NA,NA
2021-07-25,157,NA,NA,NA,157,NA,NA,NA
2021-08-01,159,NA,NA,NA,157,NA,NA,NA
2021-08-08,161,NA,NA,NA,159,NA,NA,NA
2021-08-15,163,NA,NA,NA,161,NA,NA,NA
2021-08-22,164,NA,NA,NA,163,NA,NA,NA
2021-08-29,164,NA,NA,NA,164,NA,NA,NA
2021-09-05,164,NA,NA,NA,164,NA,NA,NA
2021-09-12,164,NA,NA,NA,164,NA,NA,NA
2021-09-19,165,165,164,181,165,165,165,165
2021-09-26,NA,165,164,184,NA,165,165,165
