"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-06-14,1,NA,1,NA,NA,NA
2020-08-30,4,NA,4,NA,NA,NA
2020-09-20,1,NA,1,NA,NA,NA
2020-09-27,1,NA,1,NA,NA,NA
2020-10-25,1,NA,1,NA,NA,NA
2020-11-01,1,NA,1,NA,NA,NA
2020-12-13,1,NA,1,NA,NA,NA
2020-12-20,1,NA,1,NA,NA,NA
2020-12-27,1,NA,1,NA,NA,NA
2021-02-07,1,NA,1,NA,NA,NA
2021-02-21,1,NA,1,NA,NA,NA
2021-02-28,1,NA,1,NA,NA,NA
2021-03-07,3,NA,3,NA,NA,NA
2021-03-14,1,NA,1,NA,NA,NA
2021-03-28,2,NA,2,NA,NA,NA
2021-04-04,2,NA,2,NA,NA,NA
2021-04-11,5,NA,5,NA,NA,NA
2021-04-25,3,NA,3,NA,NA,NA
2021-05-02,2,NA,2,NA,NA,NA
2021-05-09,2,NA,2,NA,NA,NA
2021-05-16,1,NA,1,NA,NA,NA
2021-05-23,2,NA,2,NA,NA,NA
2021-05-30,5,NA,5,NA,NA,NA
2021-06-06,3,NA,3,NA,NA,NA
2021-06-13,5,NA,5,NA,NA,NA
2021-06-27,1,NA,1,NA,NA,NA
2021-07-04,4,NA,4,NA,NA,NA
2021-07-11,NA,0,0,NA,0,0
2021-07-18,NA,0,0,NA,0,0
2021-07-25,NA,0,0,NA,0,0
2021-08-01,NA,0,0,NA,0,0
2021-08-08,NA,0,0,NA,0,1
2021-08-15,NA,1,1,NA,1,2
2021-08-22,NA,0,0,NA,0,1
2021-08-29,NA,0,0,NA,0,1
2021-09-05,NA,1,1,NA,1,5
