"dt_evoluca","n.casos"
2020-03-29,1
2020-04-19,2
2020-04-26,2
2020-05-10,1
2020-05-17,6
2020-05-24,5
2020-06-07,5
2020-06-14,2
2020-06-21,3
2020-06-28,2
2020-07-05,3
2020-07-19,5
2020-07-26,3
2020-08-02,3
2020-08-09,2
2020-08-16,3
2020-08-23,2
2020-08-30,2
2020-09-06,5
2020-09-13,5
2020-09-20,3
2020-09-27,2
2020-10-04,3
2020-10-11,4
2020-10-18,4
2020-10-25,3
2020-11-01,1
2020-11-08,4
2020-11-15,2
2020-11-22,1
2020-11-29,1
2020-12-06,1
2020-12-13,2
2020-12-20,6
2020-12-27,4
2021-01-03,2
2021-01-10,2
2021-01-17,4
2021-01-24,3
2021-01-31,6
2021-02-07,5
2021-02-14,3
2021-02-21,6
2021-02-28,14
2021-03-07,9
2021-03-14,21
2021-03-21,23
2021-03-28,13
2021-04-04,9
2021-04-11,13
2021-04-18,9
2021-04-25,10
2021-05-02,9
2021-05-09,3
2021-05-16,7
2021-05-23,7
2021-05-30,12
2021-06-06,14
2021-06-13,10
2021-06-20,14
2021-06-27,5
2021-07-04,8
2021-07-11,14
2021-07-18,6
2021-07-25,4
2021-08-01,8
2021-08-08,7
2021-08-15,2
2021-08-22,1
2021-08-29,1
2021-09-12,2
2021-09-19,2
2021-09-26,1
