"dt_sin_pri","n.casos"
2020-03-08,1
2020-03-29,2
2020-04-19,2
2020-04-26,1
2020-05-10,2
2020-05-17,1
2020-05-24,1
2020-05-31,1
2020-06-07,1
2020-06-14,3
2020-06-21,1
2020-06-28,3
2020-07-05,3
2020-07-12,2
2020-07-26,7
2020-08-02,4
2020-08-09,6
2020-08-16,7
2020-08-23,6
2020-08-30,5
2020-09-06,2
2020-09-13,2
2020-09-20,5
2020-09-27,5
2020-10-04,4
2020-10-11,6
2020-10-18,3
2020-10-25,4
2020-11-01,2
2020-11-08,1
2020-11-15,3
2020-11-22,3
2020-11-29,3
2020-12-06,8
2020-12-13,7
2020-12-20,9
2020-12-27,6
2021-01-03,11
2021-01-10,11
2021-01-17,15
2021-01-24,15
2021-01-31,24
2021-02-07,23
2021-02-14,25
2021-02-21,43
2021-02-28,42
2021-03-07,33
2021-03-14,43
2021-03-21,50
2021-03-28,25
2021-04-04,10
2021-04-11,10
2021-04-18,17
2021-04-25,11
2021-05-02,14
2021-05-09,22
2021-05-16,32
2021-05-23,29
2021-05-30,51
2021-06-06,37
2021-06-13,23
2021-06-20,26
2021-06-27,31
2021-07-04,22
2021-07-11,12
2021-07-18,5
2021-07-25,9
2021-08-01,11
2021-08-08,3
2021-08-15,4
2021-08-29,4
2021-09-05,1
2021-09-12,3
2021-09-19,2
2021-09-26,1
2021-10-10,1
